META; english/non-league/national-league/macclesfield-v-york; 2017-03-25 18:26:53 GMT+2; 2017-03-28 19:45; Nothing; Xlenovo
Macclesfield; ; ; ; ; ; ; ; ; ; ; ; ; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
York; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-25 22:22:14 GMT+2; 2017-03-28 19:45; Nothing; Xlenovo
Macclesfield; ; 4/5; 13/20; ; ; ; ; ; ; ; ; ; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 11/4; 13/5; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
York; ; 14/5; 4; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-26 02:24:57 GMT+2; 2017-03-28 19:45; Nothing; Xlenovo
Macclesfield; ; 4/5; 13/20; ; ; ; ; 8/13; ; ; ; ; 13/20; ; ; ; ; ; 4/6; ; ; ; 4/6; ; 4/6; ; ; ; 
Draw; ; 11/4; 13/5; ; ; ; ; 13/5; ; ; ; ; 5/2; ; ; ; ; ; 12/5; ; ; ; 12/5; ; 12/5; ; ; ; 
York; ; 14/5; 4; ; ; ; ; 4; ; ; ; ; 9/2; ; ; ; ; ; 21/5; ; ; ; 17/4; ; 17/4; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-26 06:23:31 GMT+2; 2017-03-28 19:45; Nothing; Xlenovo
Macclesfield; ; 4/5; 13/20; ; ; ; ; 8/13; ; ; ; 8/13; 13/20; ; ; ; ; ; 4/6; ; ; ; 4/6; ; 4/6; ; ; ; 
Draw; ; 11/4; 13/5; ; ; ; ; 13/5; ; ; ; 23/10; 5/2; ; ; ; ; ; 12/5; ; ; ; 12/5; ; 12/5; ; ; ; 
York; ; 14/5; 4; ; ; ; ; 4; ; ; ; 4; 9/2; ; ; ; ; ; 21/5; ; ; ; 17/4; ; 17/4; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-26 10:22:55 GMT+2; 2017-03-28 19:45; Nothing; Xlenovo
Macclesfield; ; 4/5; 11/20; ; ; ; ; 8/15; ; ; ; 4/7; 13/20; ; ; ; ; ; 4/7; ; ; ; 3/5; ; 3/5; ; ; ; 
Draw; ; 11/4; 11/4; ; ; ; ; 11/4; ; ; ; 13/5; 5/2; ; ; ; ; ; 5/2; ; ; ; 5/2; ; 5/2; ; ; ; 
York; ; 14/5; 19/4; ; ; ; ; 9/2; ; ; ; 4; 9/2; ; ; ; ; ; 23/5; ; ; ; 19/4; ; 19/4; ; ; ; 
META; english/non-league/national-league/macclesfield-v-york; 2017-03-26 14:24:59 GMT+2; 2017-03-28 19:45; Nothing; Xlenovo
Macclesfield; ; 17/20; 3/4; 5/6; ; ; ; 4/6; ; ; ; 3/4; 13/20; ; ; ; ; ; 8/11; ; 41/50; ; 8/11; ; 8/11; ; ; ; 
Draw; ; 5/2; 49/20; 13/5; ; ; ; 12/5; ; ; ; 9/4; 5/2; ; ; ; ; ; 12/5; ; 13/5; ; 27/11; ; 27/11; ; ; ; 
