META; english/non-league/national-league/dover-v-eastleigh; 2017-02-19 02:25:40 GMT+2; 2017-02-25 15:00; Nothing; Xlenovo
Dover; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-eastleigh; 2017-02-19 06:22:34 GMT+2; 2017-02-25 15:00; Nothing; Xlenovo
Dover; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-eastleigh; 2017-02-19 10:24:01 GMT+2; 2017-02-25 15:00; Nothing; Xlenovo
Dover; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-eastleigh; 2017-02-19 14:24:30 GMT+2; 2017-02-25 15:00; Nothing; Xlenovo
Dover; 4/5; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; 7/2; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-eastleigh; 2017-02-19 18:26:17 GMT+2; 2017-02-25 15:00; Nothing; Xlenovo
Dover; 4/5; 10/11; ; ; 4/5; ; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; 13/5; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; 7/2; 5/2; ; ; 10/3; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-eastleigh; 2017-02-19 22:23:14 GMT+2; 2017-02-25 15:00; Nothing; Xlenovo
Dover; 4/5; 5/6; ; ; 4/5; ; 4/5; ; ; ; ; 8/11; 10/13; ; ; 4/5; 14/19; ; ; 14/19; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; 13/5; ; 13/5; ; ; ; ; 13/5; 49/20; ; ; 5/2; 27/11; ; ; 27/11; ; ; ; ; ; ; ; 
Eastleigh; 7/2; 3; ; ; 10/3; ; 17/5; ; ; ; ; 3; 7/2; ; ; 10/3; 33/10; ; ; 33/10; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dover-v-eastleigh; 2017-02-20 02:23:38 GMT+2; 2017-02-25 15:00; Nothing; Xlenovo
Dover; 4/5; 5/6; ; ; 4/5; ; 4/5; ; ; ; ; 8/11; 10/13; ; ; 4/5; 14/19; ; ; 14/19; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; 13/5; ; 13/5; ; ; ; ; 13/5; 49/20; ; ; 5/2; 27/11; ; ; 27/11; ; ; ; ; ; ; ; 
