META; english/non-league/national-league/sutton-v-southport; 2017-04-02 14:53:43 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 5; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-02 19:05:46 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; ; ; 1/2; ; 1/2; ; 1/2; ; ; ; 12/25; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; 14/5; ; ; 16/5; ; 33/10; ; 10/3; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Southport; 5; 4; ; ; 11/2; ; 21/4; ; 5; ; ; ; 21/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-02 23:04:40 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; ; ; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 12/25; ; ; 8/15; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-04 18:24:35 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 1/2; 4/9; 12/25; 4/9; ; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; ; 7/15; ; 7/15; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 33/10; ; 10/3; ; 3; 14/5; 16/5; 3; ; 16/5; 16/5; 3; 3; 16/5; 7/2; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 4; 5; ; 11/2; ; 21/4; ; 5; ; 5; 5; 21/4; 5; ; 5; 49/10; 19/4; 5; 49/10; 28/5; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-04 22:27:13 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; 1/2; ; 1/2; ; 1/2; ; 1/2; ; 1/2; 4/9; 12/25; 4/9; ; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; ; 7/15; ; 7/15; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 33/10; ; 10/3; ; 3; 14/5; 16/5; 3; ; 16/5; 13/4; 3; 3; 13/4; 7/2; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 4; 5; ; 11/2; ; 21/4; ; 5; ; 5; 5; 21/4; 5; ; 5; 63/13; 19/4; 5; 63/13; 28/5; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-05 02:22:42 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; 1/2; ; 1/2; ; 1/2; 4/9; 1/2; ; 1/2; 4/9; 12/25; 4/9; ; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; ; 7/15; ; 7/15; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 33/10; 16/5; 10/3; ; 3; 14/5; 16/5; 3; ; 16/5; 16/5; 3; 3; 16/5; 7/2; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 4; 5; ; 11/2; ; 21/4; 5; 5; ; 5; 5; 21/4; 5; ; 5; 49/10; 19/4; 5; 49/10; 28/5; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-05 06:22:43 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; 1/2; ; 1/2; ; 1/2; 4/9; 1/2; ; 1/2; 4/9; 12/25; 4/9; ; 1/2; 7/15; 5/11; 4/9; 7/15; 8/15; ; 7/15; ; 7/15; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 10/3; 16/5; 10/3; ; 3; 14/5; 16/5; 3; ; 16/5; 13/4; 3; 3; 13/4; 7/2; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 4; 5; ; 11/2; ; 21/4; 5; 5; ; 5; 5; 21/4; 5; ; 5; 49/10; 19/4; 5; 49/10; 28/5; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-05 10:23:58 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 4/7; 1/2; ; 1/2; ; 1/2; 4/9; 1/2; ; 1/2; 4/9; 12/25; 4/9; ; 1/2; 10/21; 5/11; 4/9; 10/21; 8/15; ; 7/15; ; 7/15; ; ; ; 
Draw; 10/3; 14/5; 3; ; 10/3; ; 10/3; 16/5; 10/3; ; 3; 14/5; 16/5; 3; ; 16/5; 16/5; 3; 3; 16/5; 7/2; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 4; 5; ; 11/2; ; 21/4; 5; 5; ; 5; 5; 21/4; 5; ; 5; 49/10; 19/4; 5; 49/10; 28/5; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-05 14:25:10 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 1/2; 40/85; ; 9/20; ; 9/20; 2/5; 1/2; ; 1/2; 4/9; 12/25; 4/9; ; 4/9; 10/21; 5/11; 4/9; 10/21; 8/15; ; 7/15; ; 7/15; ; ; ; 
Draw; 10/3; 10/3; 31/10; ; 10/3; ; 10/3; 16/5; 10/3; ; 3; 14/5; 16/5; 3; ; 10/3; 16/5; 3; 3; 16/5; 7/2; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 5; 5; ; 6; ; 6; 11/2; 21/4; ; 5; 5; 21/4; 5; ; 11/2; 49/10; 19/4; 5; 49/10; 28/5; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-05 18:21:47 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 1/2; 1/2; 40/85; ; 9/20; ; 9/20; 2/5; 1/2; ; 1/2; 4/9; 12/25; 4/9; ; 4/9; 10/21; 5/11; 4/9; ; 8/15; ; 7/15; ; 7/15; ; ; ; 
Draw; 10/3; 10/3; 31/10; ; 10/3; ; 10/3; 16/5; 10/3; ; 3; 14/5; 16/5; 3; ; 10/3; 33/10; 3; 3; ; 7/2; ; 16/5; ; 16/5; ; ; ; 
Southport; 5; 5; 5; ; 6; ; 6; 11/2; 21/4; ; 5; 5; 21/4; 5; ; 11/2; 96/19; 19/4; 5; ; 28/5; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-05 22:22:21 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 9/20; 1/2; 40/85; ; 1/2; ; 9/20; 2/5; 1/2; 1/2; 1/2; 4/9; 9/20; 4/9; ; 4/9; 4/9; 5/11; 4/9; 4/9; 8/15; ; 7/15; ; 7/15; ; ; ; 
Draw; 7/2; 10/3; 31/10; ; 10/3; ; 17/5; 16/5; 10/3; 10/3; 16/5; 14/5; 10/3; 16/5; ; 10/3; 17/5; 3; 3; 17/5; 7/2; ; 16/5; ; 16/5; ; ; ; 
Southport; 11/2; 5; 5; ; 11/2; ; 11/2; 11/2; 21/4; 5; 11/2; 5; 11/2; 5; ; 11/2; 91/17; 19/4; 5; 91/17; 28/5; ; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-06 02:21:43 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 9/20; 1/2; 40/85; ; 1/2; ; 9/20; 2/5; 1/2; 1/2; 4/9; 4/9; 9/20; 4/9; ; 4/9; 10/21; 5/11; 4/9; 10/21; 8/15; 6/13; 7/15; ; 7/15; ; ; ; 
Draw; 7/2; 10/3; 31/10; ; 10/3; ; 17/5; 16/5; 10/3; 10/3; 16/5; 14/5; 10/3; 3; ; 10/3; 13/4; 3; 3; 13/4; 7/2; 33/10; 16/5; ; 16/5; ; ; ; 
Southport; 11/2; 5; 5; ; 11/2; ; 11/2; 11/2; 21/4; 11/2; 11/2; 5; 11/2; 5; ; 11/2; 67/13; 19/4; 5; 67/13; 28/5; 9/2; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-06 06:21:58 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 9/20; 1/2; 40/85; ; 1/2; ; 9/20; 2/5; 1/2; 1/2; 4/9; 4/9; 9/20; 4/9; ; 4/9; 10/21; 5/11; 4/9; 10/21; 8/15; 6/13; 10/21; ; 10/21; ; ; ; 
Draw; 7/2; 10/3; 31/10; ; 10/3; ; 17/5; 16/5; 10/3; 10/3; 16/5; 14/5; 10/3; 3; ; 10/3; 13/4; 3; 3; 13/4; 7/2; 33/10; 31/10; ; 31/10; ; ; ; 
Southport; 11/2; 5; 5; ; 11/2; ; 11/2; 11/2; 21/4; 11/2; 11/2; 5; 11/2; 5; ; 11/2; 67/13; 19/4; 5; 67/13; 28/5; 9/2; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-06 10:22:47 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 9/20; 1/2; 40/85; ; 1/2; ; 9/20; 2/5; 1/2; 10/21; 4/9; 4/9; 9/20; 4/9; 9/20; 4/9; 3/7; 5/11; 4/9; 3/7; 8/15; 6/13; 10/21; ; 10/21; ; ; ; 
Draw; 7/2; 16/5; 31/10; ; 10/3; ; 17/5; 16/5; 10/3; 16/5; 16/5; 14/5; 10/3; 3; 10/3; 10/3; 17/5; 3; 3; 17/5; 7/2; 33/10; 31/10; ; 31/10; ; ; ; 
Southport; 11/2; 11/2; 5; ; 11/2; ; 11/2; 11/2; 21/4; 11/2; 11/2; 5; 11/2; 5; 11/2; 11/2; 57/10; 19/4; 5; 57/10; 28/5; 9/2; 5; ; 5; ; ; ; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-06 14:22:22 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 2/5; 1/2; 4/9; ; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; 9/20; 2/5; 4/9; 4/9; 3/8; 5/11; 4/9; 3/8; 12/25; 5/12; 10/21; ; 10/21; ; ; 4/9; 
Draw; 15/4; 16/5; 16/5; ; 10/3; 16/5; 17/5; 16/5; 7/2; 10/3; 13/4; 3; 10/3; 16/5; 7/2; 10/3; 7/2; 3; 3; 7/2; 15/4; 17/5; 31/10; ; 31/10; ; ; 3; 
Southport; 6; 11/2; 11/2; ; 13/2; 5; 6; 11/2; 11/2; 6; 6; 6; 11/2; 11/2; 11/2; 6; 27/4; 19/4; 5; 27/4; 6; 49/10; 5; ; 5; ; ; 26/5; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-06 18:24:00 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 2/5; 4/9; 4/9; ; 2/5; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; 21/50; 2/5; 4/9; 2/5; ; 5/11; 4/11; 4/11; 12/25; 5/11; 7/18; ; 7/18; ; ; 2/5; 
Draw; 15/4; 10/3; 16/5; ; 7/2; 3; 17/5; 16/5; 7/2; 10/3; 13/4; 3; 7/2; 16/5; 7/2; 7/2; ; 3; 7/2; 18/5; 15/4; 39/11; 7/2; ; 7/2; ; ; 3; 
Southport; 6; 11/2; 11/2; ; 13/2; 5; 6; 11/2; 11/2; 6; 6; 6; 11/2; 11/2; 11/2; 6; ; 19/4; 6; 27/4; 6; 26/5; 6; ; 6; ; ; 26/5; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-06 22:22:11 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 2/5; 4/9; 4/9; ; 4/9; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; 21/50; 2/5; 4/9; 2/5; 4/11; 5/11; 4/11; 4/11; 12/25; 5/11; 7/18; ; 7/18; ; ; 2/5; 
Draw; 15/4; 10/3; 16/5; ; 10/3; 3; 17/5; 16/5; 7/2; 10/3; 13/4; 3; 7/2; 16/5; 7/2; 7/2; 18/5; 3; 7/2; 18/5; 15/4; 39/11; 7/2; ; 7/2; ; ; 3; 
Southport; 6; 11/2; 11/2; ; 13/2; 5; 6; 11/2; 11/2; 6; 6; 6; 11/2; 11/2; 11/2; 6; 7; 19/4; 6; 7; 6; 26/5; 6; ; 6; ; ; 26/5; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-07 02:22:44 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 2/5; 4/9; 4/9; ; 2/5; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; ; 2/5; 4/9; 2/5; 4/11; 2/5; 4/11; ; 12/25; 5/11; 7/18; ; 7/18; ; ; 2/5; 
Draw; 15/4; 10/3; 16/5; ; 7/2; 16/5; 17/5; 10/3; 7/2; 10/3; 13/4; 3; ; 16/5; 7/2; 7/2; 18/5; 16/5; 7/2; ; 15/4; 39/11; 7/2; ; 7/2; ; ; 3; 
Southport; 6; 11/2; 11/2; ; 13/2; 5; 6; 6; 11/2; 6; 6; 11/2; ; 11/2; 11/2; 6; 7; 21/4; 6; ; 6; 26/5; 6; ; 6; ; ; 26/5; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-07 06:21:57 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 2/5; 4/9; 4/9; ; 2/5; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; 21/50; 2/5; 4/9; 2/5; 4/11; 2/5; 4/11; 4/11; 12/25; 5/11; 7/18; ; 7/18; ; ; ; 
Draw; 15/4; 10/3; 16/5; ; 7/2; 16/5; 17/5; 10/3; 7/2; 10/3; 13/4; 3; 7/2; 16/5; 7/2; 7/2; 18/5; 16/5; 7/2; 18/5; 15/4; 39/11; 7/2; ; 7/2; ; ; 27/10; 
Southport; 6; 11/2; 11/2; ; 13/2; 5; 6; 6; 11/2; 6; 6; 6; 11/2; 11/2; 11/2; 6; 7; 21/4; 6; 7; 6; 26/5; 6; ; 6; ; ; 21/5; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-07 10:24:13 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 2/5; 4/9; 4/9; ; 2/5; 2/5; 4/9; 2/5; 4/9; 2/5; 4/9; 2/5; 21/50; 2/5; 4/9; 2/5; 4/11; 2/5; 4/11; 4/11; 12/25; 4/9; 7/18; ; 7/18; ; ; 2/7; 
Draw; 15/4; 10/3; 16/5; ; 7/2; 16/5; 17/5; 10/3; 7/2; 10/3; 13/4; 3; 7/2; 16/5; 7/2; 7/2; 18/5; 16/5; 7/2; 18/5; 15/4; 18/5; 7/2; ; 7/2; ; ; 11/4; 
Southport; 6; 11/2; 11/2; ; 13/2; 5; 6; 6; 11/2; 13/2; 6; 11/2; 11/2; 11/2; 11/2; 6; 27/4; 21/4; 6; 27/4; 6; 53/10; 6; ; 6; ; ; 21/5; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-07 14:21:51 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 2/5; 4/9; 4/9; ; 2/5; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; 21/50; 2/5; 4/9; 4/9; 3/8; 2/5; 4/11; 3/8; 9/20; 4/9; 7/18; ; 7/18; ; ; 2/5; 
Draw; 15/4; 10/3; 16/5; ; 7/2; 16/5; 17/5; 10/3; 7/2; 10/3; 13/4; 3; 7/2; 16/5; 7/2; 10/3; 39/11; 16/5; 7/2; 39/11; 15/4; 18/5; 7/2; ; 7/2; ; ; 3; 
Southport; 6; 11/2; 11/2; ; 13/2; 5; 6; 6; 11/2; 13/2; 6; 11/2; 11/2; 11/2; 11/2; 6; 13/2; 21/4; 6; 13/2; 34/5; 53/10; 6; ; 6; ; ; 26/5; 
META; english/non-league/national-league/sutton-v-southport; 2017-04-07 18:24:11 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Sutton; 2/5; 4/9; 4/9; ; 2/5; 2/5; 4/9; 2/5; 4/9; 4/9; 4/9; 2/5; 21/50; 2/5; 4/9; 2/5; 3/8; 2/5; 4/11; 3/8; 47/100; 4/9; 7/18; ; 7/18; ; ; 1/3; 
