META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 02:23:52 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Forest Green; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 06:23:04 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Forest Green; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 10:25:32 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Forest Green; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dagenham & Redbridge; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 14:25:47 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Forest Green; 6/4; 11/8; ; ; ; ; 6/4; ; ; ; 29/20; ; ; ; ; ; 16/11; ; 6/4; 16/11; ; ; ; ; ; ; ; 
Dagenham & Redbridge; 17/10; 17/10; ; ; ; ; 7/4; ; ; ; 33/20; ; ; ; ; ; 8/5; ; 13/8; 8/5; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; ; 9/4; ; ; ; ; ; 9/4; ; 9/4; 9/4; ; ; ; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 18:23:01 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Forest Green; 6/4; 11/8; ; ; 6/4; ; 6/4; ; 6/4; ; 29/20; 11/8; ; ; ; ; 16/11; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
Dagenham & Redbridge; 17/10; 17/10; ; ; 17/10; ; 7/4; ; 13/8; ; 33/20; 8/5; ; ; ; ; 8/5; ; 13/8; 8/5; ; ; 28/17; ; ; ; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; ; 12/5; ; 9/4; 23/10; ; ; ; ; 9/4; ; 9/4; 9/4; ; ; 9/4; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-forest-green; 2017-03-05 22:22:33 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Forest Green; 6/4; 11/8; 6/4; ; 6/4; ; 6/4; ; 6/4; ; 29/20; 11/8; ; ; ; ; 16/11; ; 6/4; 16/11; ; ; 6/4; ; ; ; ; 
