META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-17 22:21:57 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 5/4; ; ; 6/5; ; 6/5; ; 6/5; ; ; ; 6/5; ; ; 5/4; 15/13; ; ; 15/13; ; ; ; ; ; ; ; ; 
Wrexham; 11/5; 19/10; ; ; 21/10; ; 11/5; ; 11/5; ; ; ; 21/10; ; ; 2; 21/10; ; ; 21/10; ; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 23/10; ; 12/5; ; 12/5; ; ; ; 47/20; ; ; 12/5; 23/10; ; ; 23/10; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-18 02:21:31 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 5/4; ; ; 5/4; ; 5/4; ; 5/4; ; ; ; 6/5; ; ; 5/4; 15/13; ; ; 15/13; ; ; ; ; ; ; ; ; 
Wrexham; 11/5; 19/10; ; ; 2; ; 21/10; ; 2; ; ; ; 21/10; ; ; 2; 21/10; ; ; 21/10; ; ; ; ; ; ; ; ; 
Draw; 12/5; 12/5; ; ; 23/10; ; 12/5; ; 12/5; ; ; ; 47/20; ; ; 12/5; 23/10; ; ; 23/10; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-18 06:21:28 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 5/4; ; ; 5/4; ; 5/4; 6/5; 5/4; ; ; 23/20; 6/5; ; ; 5/4; 15/13; ; 23/20; 15/13; ; ; 7/6; ; 7/6; ; ; ; 
Wrexham; 11/5; 19/10; ; ; 2; ; 85/40; 2; 2; ; ; 2; 21/10; ; ; 2; 21/10; ; 2; 21/10; ; ; 39/19; ; 39/19; ; ; ; 
Draw; 12/5; 12/5; ; ; 23/10; ; 12/5; 23/10; 12/5; ; ; 9/4; 47/20; ; ; 12/5; 23/10; ; 23/10; 23/10; ; ; 40/17; ; 40/17; ; ; ; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-18 10:21:32 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 5/4; ; 5/4; 6/5; ; 5/4; 6/5; 5/4; ; ; 23/20; 6/5; ; ; 5/4; 15/13; ; 6/5; 15/13; ; ; 6/5; ; 6/5; ; ; ; 
Wrexham; 11/5; 19/10; ; 8/5; 21/10; ; 85/40; 2; 2; ; ; 2; 21/10; ; ; 2; 39/19; ; 2; 39/19; ; ; 2; ; 2; ; ; ; 
Draw; 12/5; 12/5; ; 12/5; 23/10; ; 12/5; 23/10; 12/5; ; ; 9/4; 47/20; ; ; 12/5; 40/17; ; 23/10; 40/17; ; ; 40/17; ; 40/17; ; ; ; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-18 14:21:37 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 5/4; 6/5; 5/4; 5/4; ; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; ; ; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; ; 6/5; ; 6/5; ; ; ; 
Wrexham; 11/5; 19/10; 41/20; 8/5; 2; ; 21/10; 2; 2; 2; 19/10; 19/10; 21/10; ; ; 2; 2; 19/10; 2; 2; 23/10; ; 2; ; 2; ; ; ; 
Draw; 12/5; 12/5; 47/20; 12/5; 23/10; ; 12/5; 23/10; 12/5; 12/5; 23/10; 11/5; 47/20; ; ; 12/5; 23/10; 11/5; 23/10; 23/10; 13/5; ; 40/17; ; 40/17; ; ; ; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-18 18:21:37 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 5/4; 6/5; 5/4; 6/5; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; ; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; ; 6/5; ; 6/5; ; ; 6/5; 
Wrexham; 11/5; 19/10; 2; 21/10; 21/10; 15/8; 21/10; 2; 2; 2; 2; 15/8; 21/10; ; 21/10; 2; 2; 19/10; 2; 2; 23/10; ; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 12/5; 47/20; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 47/20; ; 23/10; 12/5; 23/10; 11/5; 23/10; 23/10; 13/5; ; 40/17; ; 40/17; ; ; 11/5; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-18 22:21:30 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 5/4; 6/5; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 6/5; 5/4; 19/17; 6/5; ; 6/5; ; ; 6/5; 
Wrexham; 11/5; 2; 41/20; 21/10; 21/10; 15/8; 21/10; 2; 2; 21/10; 2; 15/8; 21/10; 2; 21/10; 11/5; 2; 19/10; 2; 2; 23/10; 39/19; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 12/5; 47/20; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 47/20; 21/10; 23/10; 12/5; 23/10; 11/5; 23/10; 23/10; 13/5; 23/10; 40/17; ; 40/17; ; ; 11/5; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-19 02:21:23 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 5/4; 6/5; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; ; 5/4; 19/17; 6/5; ; 6/5; ; ; 23/20; 
Wrexham; 11/5; 2; 41/20; 21/10; 21/10; 15/8; 21/10; 2; 2; 21/10; 2; 15/8; 21/10; 2; 21/10; 11/5; 2; 19/10; 2; ; 23/10; 39/19; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 12/5; 47/20; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 47/20; 21/10; 23/10; 12/5; 23/10; 11/5; 23/10; ; 13/5; 23/10; 40/17; ; 40/17; ; ; 11/5; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-19 06:21:23 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 5/4; 6/5; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 6/5; 5/4; 19/17; 6/5; ; 6/5; ; ; 23/20; 
Wrexham; 11/5; 2; 41/20; 21/10; 21/10; 15/8; 21/10; 2; 2; 21/10; 2; 15/8; 21/10; 2; 21/10; 11/5; 2; 19/10; 2; 2; 23/10; 39/19; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 12/5; 47/20; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 47/20; 21/10; 23/10; 12/5; 23/10; 11/5; 23/10; 23/10; 13/5; 23/10; 40/17; ; 40/17; ; ; 11/5; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-19 10:21:22 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 5/4; 6/5; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 6/5; 5/4; 19/17; 6/5; ; 6/5; ; ; 23/20; 
Wrexham; 11/5; 2; 41/20; 21/10; 21/10; 15/8; 21/10; 2; 2; 21/10; 2; 15/8; 21/10; 2; 21/10; 11/5; 2; 19/10; 2; 2; 23/10; 39/19; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 12/5; 47/20; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 47/20; 21/10; 23/10; 12/5; 23/10; 11/5; 23/10; 23/10; 13/5; 23/10; 40/17; ; 40/17; ; ; 11/5; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-19 14:21:23 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 5/4; 6/5; 23/20; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 6/5; 5/4; 19/17; 6/5; ; 6/5; ; ; 6/5; 
Wrexham; 11/5; 2; 41/20; 21/10; 21/10; 15/8; 21/10; 2; 2; 21/10; 2; 15/8; 21/10; 2; 21/10; 21/10; 2; 19/10; 2; 2; 23/10; 39/19; 2; ; 2; ; ; 19/10; 
Draw; 12/5; 12/5; 47/20; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 47/20; 21/10; 23/10; 12/5; 40/17; 11/5; 23/10; 40/17; 13/5; 23/10; 40/17; ; 40/17; ; ; 11/5; 
META; english/non-league/national-league/wrexham-v-dagenham-redbridge; 2017-04-19 18:21:25 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
