META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-11 22:23:19 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 10/11; 1; ; 10/11; ; ; 19/20; ; ; ; 11/10; ; 10/11; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; ; ; 13/5; ; ; ; 11/5; ; 51/20; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; ; ; 27/10; ; ; ; 2; ; 27/10; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 02:21:58 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 10/11; 1; ; 10/11; ; ; 20/21; ; ; ; 11/10; ; 10/11; ; ; 1; 13/15; ; ; 13/15; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; ; ; 13/5; ; ; ; 11/5; ; 51/20; ; ; 5/2; 28/11; ; ; 28/11; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; ; ; 27/10; ; ; ; 2; ; 27/10; ; ; 5/2; 14/5; ; ; 14/5; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 06:21:58 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 10/11; 1; ; 10/11; 10/11; ; 20/21; 10/11; ; ; 11/10; 10/11; 10/11; ; ; 19/20; 10/11; ; ; 10/11; ; ; ; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; 13/5; ; 13/5; 12/5; ; ; 11/5; 12/5; 51/20; ; ; 5/2; 28/11; ; ; 28/11; ; ; ; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; 14/5; ; 27/10; 11/4; ; ; 2; 12/5; 27/10; ; ; 13/5; 11/4; ; ; 11/4; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 10:22:54 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 10/11; 1; ; 10/11; 10/11; ; 37/40; 5/6; ; ; 11/10; 10/11; 10/11; ; ; 10/11; 10/11; ; 5/6; 10/11; ; ; 8/9; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; 13/5; ; 13/5; 5/2; ; ; 11/5; 5/2; 51/20; ; ; 13/5; 28/11; ; 5/2; 28/11; ; ; 5/2; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; 29/10; ; 14/5; 11/4; ; ; 2; 12/5; 27/10; ; ; 27/10; 11/4; ; 27/10; 11/4; ; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 14:22:45 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 10/11; 1; ; 10/11; 19/20; ; 19/20; 5/6; ; ; 11/10; 10/11; 10/11; ; ; 19/20; 10/11; ; 5/6; 10/11; 1; ; 8/9; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; 5/2; ; 13/5; 5/2; ; ; 11/5; 5/2; 51/20; ; ; 5/2; 28/11; ; 5/2; 28/11; 13/5; ; 5/2; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; 29/10; ; 27/10; 11/4; ; ; 2; 12/5; 27/10; ; ; 13/5; 11/4; ; 27/10; 11/4; 61/20; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 18:22:01 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 10/11; 1; ; 10/11; 19/20; ; 19/20; 5/6; ; ; 11/10; 10/11; 10/11; ; 1; 19/20; 10/11; ; 5/6; 10/11; 1; ; 8/9; ; ; ; ; 
Draw; 13/5; 12/5; ; 5/2; 5/2; ; 13/5; 5/2; ; ; 11/5; 5/2; 51/20; ; 12/5; 5/2; 28/11; ; 5/2; 28/11; 13/5; ; 5/2; ; ; ; ; 
Sutton Utd; 14/5; 5/2; ; 5/2; 14/5; ; 11/4; 11/4; ; ; 2; 12/5; 27/10; ; 13/5; 13/5; 11/4; ; 27/10; 11/4; 61/20; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-12 22:23:18 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 19/20; 1; 1; 10/11; 20/21; ; 1; 10/11; ; 1; 11/10; 10/11; 19/20; ; 1; 1; 19/20; ; 5/6; 19/20; 1; ; 8/9; ; ; ; 20/21; 
Draw; 13/5; 12/5; 47/20; 5/2; 5/2; ; 5/2; 5/2; ; 5/2; 11/5; 12/5; 5/2; ; 12/5; 5/2; 27/11; ; 5/2; 27/11; 13/5; ; 5/2; ; ; ; 21/10; 
Sutton Utd; 13/5; 5/2; 13/5; 5/2; 11/4; ; 13/5; 13/5; ; 5/2; 2; 12/5; 13/5; ; 13/5; 5/2; 45/17; ; 27/10; 45/17; 61/20; ; 27/10; ; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 02:23:07 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 19/20; 1; 1; 10/11; 1; ; 1; 10/11; ; 1; 11/10; 20/21; 19/20; ; 1; 1; 19/20; ; 5/6; 19/20; 1; ; 8/9; ; ; ; 20/21; 
Draw; 13/5; 5/2; 47/20; 5/2; 5/2; ; 5/2; 5/2; ; 5/2; 11/5; 23/10; 5/2; ; 12/5; 5/2; 27/11; ; 5/2; 27/11; 13/5; ; 5/2; ; ; ; 9/4; 
Sutton Utd; 13/5; 13/5; 13/5; 5/2; 13/5; ; 13/5; 13/5; ; 13/5; 2; 12/5; 13/5; ; 13/5; 5/2; 45/17; ; 27/10; 45/17; 61/20; ; 27/10; ; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 06:25:26 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 19/20; 1; 1; 10/11; 1; ; 1; 10/11; ; 1; 11/10; 20/21; 19/20; ; 1; 1; 1; ; 1; 1; 1; ; 1; ; ; ; 20/21; 
Draw; 13/5; 5/2; 23/10; 5/2; 12/5; ; 5/2; 12/5; ; 12/5; 11/5; 9/4; 5/2; ; 5/2; 5/2; 27/11; ; 5/2; 27/11; 13/5; ; 5/2; ; ; ; 11/5; 
Sutton Utd; 13/5; 13/5; 13/5; 5/2; 11/4; ; 13/5; 13/5; ; 13/5; 2; 5/2; 13/5; ; 5/2; 5/2; 5/2; ; 23/10; 5/2; 61/20; ; 40/17; ; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 10:21:33 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 19/20; 1; 1; 1; 1; ; 1; 10/11; ; 1; 11/10; 20/21; 19/20; ; 1; 1; 19/20; 19/20; 1; 19/20; 1; ; 1; ; ; ; 20/21; 
Draw; 13/5; 5/2; 23/10; 23/10; 12/5; ; 5/2; 12/5; ; 12/5; 11/5; 21/10; 12/5; ; 5/2; 12/5; 12/5; 9/4; 5/2; 12/5; 13/5; ; 5/2; ; ; ; 11/5; 
Sutton Utd; 13/5; 13/5; 13/5; 5/2; 11/4; ; 27/10; 13/5; ; 11/4; 2; 13/5; 53/20; ; 5/2; 13/5; 27/10; 12/5; 23/10; 27/10; 61/20; ; 40/17; ; ; ; 5/2; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 14:24:09 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 1; 1; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; ; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 1; 28/29; ; ; ; 21/20; 
Draw; 13/5; 5/2; 9/4; 12/5; 12/5; 11/5; 12/5; 12/5; ; 12/5; 11/5; 11/5; 47/20; ; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 40/17; 9/4; ; ; ; 21/10; 
Sutton Utd; 5/2; 13/5; 49/20; 13/5; 13/5; 23/10; 5/2; 13/5; ; 5/2; 2; 12/5; 13/5; ; 13/5; 5/2; 13/5; 12/5; 27/10; 13/5; 68/25; 23/10; 27/10; ; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 18:25:28 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; ; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 11/10; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; ; 23/10; 11/5; 11/5; 47/20; ; 23/10; 12/5; 23/10; 9/4; 9/4; 23/10; 5/2; 28/11; 9/4; ; 9/4; ; ; 21/10; 
Sutton Utd; 5/2; 5/2; 12/5; 13/5; 13/5; 9/4; 5/2; 13/5; ; 13/5; 2; 23/10; 13/5; ; 13/5; 5/2; 45/17; 12/5; 27/10; 45/17; 68/25; 11/5; 27/10; ; 27/10; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-13 22:22:35 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 11/10; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 23/10; 11/5; 11/5; 47/20; ; 23/10; 12/5; 40/17; 9/4; 9/4; 40/17; 5/2; 28/11; 9/4; ; 9/4; ; ; 21/10; 
Sutton Utd; 5/2; 5/2; 12/5; 13/5; 13/5; 9/4; 5/2; 13/5; 13/5; 13/5; 2; 23/10; 13/5; ; 13/5; 5/2; 45/17; 12/5; 27/10; 45/17; 68/25; 11/5; 27/10; ; 27/10; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 02:24:11 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 11/10; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 23/10; 11/5; 11/5; 47/20; ; 23/10; 12/5; 40/17; 9/4; 9/4; 40/17; 5/2; 28/11; 9/4; ; 9/4; ; ; 21/10; 
Sutton Utd; 5/2; 5/2; 12/5; 13/5; 13/5; 9/4; 5/2; 13/5; 13/5; 13/5; 2; 23/10; 13/5; ; 13/5; 5/2; 45/17; 12/5; 27/10; 45/17; 68/25; 11/5; 27/10; ; 27/10; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 06:21:47 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 1; 21/20; 21/20; 21/20; 21/20; 19/20; 11/10; 10/11; 21/20; 21/20; 11/10; 1; 1; ; 21/20; 21/20; 1; 19/20; 20/21; 1; 28/25; 11/10; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 23/10; 11/5; 11/5; 47/20; ; 23/10; 12/5; 40/17; 9/4; 9/4; 40/17; 5/2; 28/11; 9/4; ; 9/4; ; ; 21/10; 
Sutton Utd; 5/2; 5/2; 49/20; 13/5; 13/5; 23/10; 5/2; 13/5; 13/5; 13/5; 2; 23/10; 13/5; ; 13/5; 5/2; 45/17; 12/5; 27/10; 45/17; 68/25; 11/5; 27/10; ; 27/10; ; ; 12/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 10:22:37 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 1; 19/20; 1; 21/20; 1; 10/11; 20/21; 10/11; 1; 1; 11/10; 20/21; 1; ; 1; 1; 1; 19/20; 20/21; 1; 21/20; 1; 28/29; ; 28/29; ; ; 1; 
Draw; 13/5; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 11/5; 9/4; 47/20; ; 12/5; 12/5; 12/5; 9/4; 23/10; 12/5; 63/25; 28/11; 40/17; ; 40/17; ; ; 5/2; 
Sutton Utd; 5/2; 11/4; 27/10; 13/5; 11/4; 12/5; 14/5; 13/5; 13/5; 13/5; 2; 5/2; 13/5; ; 13/5; 13/5; 45/17; 12/5; 5/2; 45/17; 147/50; 27/11; 28/11; ; 28/11; ; ; 27/10; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 14:25:13 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 1; 19/20; 1; 21/20; 1; 10/11; 20/21; 10/11; 1; 1; 11/10; 20/21; 1; ; 1; 1; 19/20; 19/20; 20/21; 19/20; 51/50; 1; 28/29; ; 28/29; ; ; 1; 
Draw; 13/5; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 11/5; 11/5; 47/20; ; 12/5; 12/5; 12/5; 9/4; 23/10; 12/5; 13/5; 28/11; 40/17; ; 40/17; ; ; 5/2; 
Sutton Utd; 5/2; 11/4; 27/10; 13/5; 11/4; 12/5; 14/5; 13/5; 13/5; 11/4; 2; 13/5; 13/5; ; 13/5; 13/5; 27/10; 12/5; 5/2; 27/10; 59/20; 5/2; 28/11; ; 28/11; ; ; 14/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 18:22:07 GMT+2; 2017-03-14 19:45; Nothing; Xlenovo
Forest Green; 1; 21/20; 21/20; 21/20; 1; 19/20; 21/20; 10/11; 21/20; 21/20; 11/10; 1; 1; ; 1; 21/20; 1; 19/20; 20/21; 1; 51/50; 15/14; 28/29; ; 28/29; ; ; 21/20; 
Draw; 13/5; 23/10; 9/4; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 12/5; 11/5; 11/5; 47/20; ; 12/5; 12/5; 40/17; 9/4; 23/10; 40/17; 13/5; 28/11; 40/17; ; 40/17; ; ; 12/5; 
Sutton Utd; 5/2; 5/2; 5/2; 13/5; 11/4; 23/10; 13/5; 13/5; 13/5; 5/2; 2; 12/5; 13/5; ; 13/5; 5/2; 28/11; 12/5; 5/2; 28/11; 59/20; 9/4; 28/11; ; 28/11; ; ; 13/5; 
META; english/non-league/national-league/sutton-utd-v-forest-green; 2017-03-14 22:21:54 GMT+2; 2017-03-14 19:45; In Play; Xlenovo
