META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 14:52:59 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 4; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-02 19:05:06 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-05 10:23:32 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 2/3; 4/6; ; 8/13; ; 13/20; 4/7; 8/13; ; 4/6; 8/13; 4/6; 8/13; ; 4/6; 11/17; 11/17; 8/13; 11/17; 18/25; ; 11/17; ; 11/17; ; ; ; 
Draw; 14/5; 11/4; 49/20; ; 11/4; ; 14/5; 13/5; 14/5; ; 5/2; 5/2; 11/4; 5/2; ; 11/4; 27/10; 13/5; 27/10; 27/10; 3; ; 27/10; ; 27/10; ; ; ; 
Torquay; 4; 10/3; 17/4; ; 9/2; ; 17/4; 4; 4; ; 21/5; 15/4; 15/4; 4; ; 4; 50/13; 10/3; 7/2; 50/13; 21/5; ; 19/5; ; 19/5; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-05 14:24:35 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 4/6; 4/6; ; 8/13; ; 4/6; 4/7; 8/13; ; 4/6; 8/13; 4/6; 8/13; ; 4/6; 11/17; 11/17; 8/13; 11/17; 18/25; ; 11/17; ; 11/17; ; ; ; 
Draw; 14/5; 11/4; 49/20; ; 11/4; ; 13/5; 13/5; 14/5; ; 5/2; 12/5; 11/4; 5/2; ; 27/10; 27/10; 13/5; 27/10; 27/10; 3; ; 27/10; ; 27/10; ; ; ; 
Torquay; 4; 4; 17/4; ; 9/2; ; 22/5; 4; 4; ; 21/5; 4; 15/4; 4; ; 4; 50/13; 10/3; 7/2; 50/13; 21/5; ; 19/5; ; 19/5; ; ; ; 
META; english/non-league/national-league/aldershot-v-torquay; 2017-04-05 18:21:22 GMT+3; 2017-04-08 15:00; Nothing; Xlenovo
Aldershot; 4/6; 4/6; 4/6; ; 8/13; ; 4/6; 4/7; 8/13; ; 4/6; 8/13; 4/6; 8/13; ; 4/6; 11/17; 11/17; 8/13; ; 18/25; ; 11/17; ; 11/17; ; ; ; 
