META; english/premier-league/brighton-v-west-brom; 2017-08-16 20:02:28 GMT+3; 2017-09-09 15:00; e70300-dr003
Brighton; ; ; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; 11/8; ; ; 7/5; ; ; ; 7/5; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; 9/4; ; ; ; 23/10; ; ; ; ; 
West Brom; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 19/10; ; ; 61/25; ; ; ; 2; ; ; ; ; 
META; english/premier-league/brighton-v-west-brom; 2017-08-25 20:13:03 GMT+3; 2017-09-09 15:00; e70300-dr003
Brighton; 6/4; 8/5; ; ; ; 27/20; 17/10; 11/8; 16/11; 17/11; 31/20; 13/8; 8/5; 13/8; 13/8; 8/5; 11/8; 7/5; 17/11; 17/10; 53/35; 16/11; ; 8/5; 6/4; ; 6/4; ; 
West Brom; 15/8; 7/4; ; ; ; 19/10; 19/10; 17/10; 19/10; 9/5; 7/4; 19/10; 37/20; 15/8; 9/5; 19/10; 19/10; 19/10; 7/4; 197/100; 30/17; 19/10; ; 15/8; 15/8; ; 7/4; ; 
Draw; 11/5; 11/5; ; ; ; 11/5; 85/40; 23/10; 9/4; 19/10; 15/8; 2; 21/10; 21/10; 11/5; 9/4; 9/4; 9/4; 11/5; 9/4; 28/13; 9/4; ; 11/5; 11/5; ; 21/10; ; 
META; english/premier-league/brighton-v-west-brom; 2017-08-28 14:19:01 GMT+3; 2017-09-09 15:00; e70300-dr003
Brighton; 6/4; 8/5; ; 8/5; 6/4; 13/8; 13/8; 7/5; 17/11; 6/4; 6/4; 31/20; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 17/11; 13/8; 7/5; 17/11; 8/5; 8/5; 8/5; ; 6/4; ; 
West Brom; 15/8; 7/4; ; 2; 15/8; 39/20; 85/40; 2; 37/19; 19/10; 15/8; 19/10; 2; 19/10; 2; 9/5; 37/19; 19/10; 37/19; 21/10; 19/10; 37/19; 15/8; 2; 2; ; 2; ; 
Draw; 11/5; 11/5; ; 19/10; 2; 11/5; 2; 11/5; 21/10; 28/15; 9/5; 21/10; 21/10; 21/10; 2; 2; 11/5; 21/10; 2; 11/5; 28/13; 21/10; 9/4; 85/40; 2; ; 2; ; 
META; english/premier-league/brighton-v-west-brom; 2017-09-04 20:13:37 GMT+3; 2017-09-09 15:00; e70300-dr003
Brighton; 8/5; 6/4; 31/20; 8/5; 6/4; 13/8; 8/5; 6/4; 17/11; 6/4; 31/20; 31/20; 31/20; 8/5; 8/5; 16/11; 16/11; 6/4; 6/4; 79/50; 6/4; 17/11; 11/8; 8/5; 8/5; ; 8/5; ; 6/4
Draw; 2; 2; 41/20; 19/10; 2; 21/10; 21/10; 2; 21/10; 2; 2; 19/10; 2; 2; 2; 19/10; 21/10; 21/10; 39/19; 109/50; 21/10; 21/10; 2; 2; 2; ; 2; ; 21/10
West Brom; 15/8; 2; 2; 2; 15/8; 21/10; 21/10; 21/10; 37/19; 2; 2; 2; 2; 2; 2; 19/10; 37/19; 19/10; 2; 11/5; 9/5; 37/19; 9/4; 2; 2; ; 2; ; 21/10
META; english/premier-league/brighton-v-west-brom; 2017-09-07 19:14:25 GMT+3; 2017-09-09 15:00; e70300-dr003
Brighton; 8/5; 6/4; 13/8; 8/5; 6/4; 5/3; 17/10; 8/5; 12/7; 17/11; 8/5; 8/5; 31/20; 13/8; 8/5; 28/17; 8/5; 13/8; 28/17; 167/100; 14/9; 28/17; 11/8; 8/5; 8/5; ; 13/8; 13/8; 17/10
Draw; 2; 19/10; 2; 19/10; 2; 41/20; 21/10; 21/10; 39/19; 19/10; 2; 19/10; 2; 2; 2; 37/19; 2; 2; 2; 85/40; 39/19; 2; 2; 2; 2; ; 2; 2; 2
West Brom; 15/8; 2; 2; 2; 2; 41/20; 21/10; 15/8; 39/19; 2; 2; 2; 2; 2; 2; 2; 2; 2; 2; 85/40; 21/10; 2; 9/4; 2; 2; ; 19/10; 2; 21/10
META; english/premier-league/brighton-v-west-brom; 2017-09-08 10:15:02 GMT+3; 2017-09-09 15:00; e70300-dr003
Brighton; 17/10; 13/8; 13/8; 8/5; 13/8; 5/3; 17/10; 8/5; 12/7; 17/11; 8/5; 8/5; 13/8; 13/8; 8/5; 28/17; 8/5; 13/8; 28/17; 42/25; 14/9; 28/17; 11/8; 8/5; 8/5; ; 13/8; 13/8; 17/10
Draw; 21/10; 2; 2; 19/10; 2; 41/20; 21/10; 21/10; 39/19; 19/10; 2; 19/10; 2; 2; 11/5; 37/19; 2; 2; 2; 54/25; 39/19; 2; 2; 2; 2; ; 2; 2; 2
West Brom; 2; 19/10; 2; 2; 2; 41/20; 2; 15/8; 39/19; 2; 2; 2; 2; 19/10; 2; 2; 2; 2; 2; 52/25; 21/10; 2; 9/4; 2; 2; ; 19/10; 2; 21/10
