META; english/premier-league/chelsea-v-arsenal; 2017-08-25 20:13:45 GMT+3; 2017-09-17 13:30; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 17/20; ; ; ; ; 1; ; ; ; 15/13; ; ; 11/10; ; ; ; ; 1; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; 23/10; ; ; ; 23/10; ; ; 49/20; ; ; ; ; 23/10; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 16/5; ; ; ; ; 57/20; ; ; ; 23/10; ; ; 3; ; ; ; ; 29/10; ; ; ; 
META; english/premier-league/chelsea-v-arsenal; 2017-08-28 14:19:41 GMT+3; 2017-09-17 13:30; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 5/6; 11/13; ; ; ; 17/20; ; ; 11/13; 10/11; 5/6; ; 9/10; ; 11/13; ; 9/10; 20/23; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; 13/5; ; ; ; 51/20; ; ; 5/2; 12/5; 13/5; ; 27/10; ; 13/5; ; 13/5; 12/5; ; ; ; 
Arsenal; ; ; ; ; ; ; ; 16/5; 16/5; ; ; ; 16/5; ; ; 10/3; 3; 3; ; 18/5; ; 16/5; ; 10/3; 16/5; ; ; ; 
META; english/premier-league/chelsea-v-arsenal; 2017-09-04 20:14:18 GMT+3; 2017-09-17 13:30; e70300-dr003
Chelsea; 3/4; 4/5; ; ; 17/20; 4/5; 5/6; 5/6; 11/13; 3/4; 8/11; 3/4; 8/11; 4/5; 3/4; 3/4; 3/4; 5/6; 10/13; 4/5; 3/4; 11/13; ; 4/5; 4/5; ; 4/7; ; 
Draw; 13/5; 5/2; ; ; 5/2; 14/5; 27/10; 12/5; 13/5; 13/5; 13/5; 14/5; 57/20; 11/4; 14/5; 27/11; 13/5; 13/5; 27/10; 57/20; 27/10; 13/5; ; 14/5; 13/5; ; 21/10; ; 
Arsenal; 15/4; 7/2; ; ; 10/3; 10/3; 15/4; 16/5; 16/5; 16/5; 16/5; 10/3; 7/2; 18/5; 15/4; 33/10; 7/2; 3; 17/5; 4; 41/13; 16/5; ; 7/2; 10/3; ; 14/5; ; 
META; english/premier-league/chelsea-v-arsenal; 2017-09-07 19:15:05 GMT+3; 2017-09-17 13:30; e70300-dr003
Chelsea; 3/4; 4/5; 4/5; ; 8/11; 4/5; 5/6; 5/6; 8/11; 3/4; 8/11; 3/4; 10/13; 3/4; 3/4; 3/4; 3/4; 8/11; 14/19; 4/5; 3/4; 8/11; ; 4/5; 4/5; ; 8/11; ; 
Draw; 13/5; 5/2; 11/4; ; 11/4; 14/5; 27/10; 12/5; 13/5; 13/5; 13/5; 14/5; 11/4; 14/5; 14/5; 13/5; 13/5; 13/5; 27/10; 57/20; 27/10; 13/5; ; 14/5; 11/4; ; 13/5; ; 
Arsenal; 15/4; 7/2; 10/3; ; 7/2; 10/3; 15/4; 16/5; 4; 16/5; 3; 10/3; 10/3; 19/5; 15/4; 33/10; 7/2; 4; 7/2; 4; 41/13; 4; ; 7/2; 10/3; ; 7/2; ; 
