META; english/premier-league/burnley-v-man-utd; 2018-01-07 12:12:03 GMT+2; 2018-01-20 15:00; e70300-dr003
Man Utd; 11/20; 3/5; ; 6/10; 31/50; 4/7; 3/5; 4/7; 4/7; ; ; 8/13; ; 8/13; 13/20; 8/13; 4/7; 11/18; 4/7; 11/18; 4/7; 4/7; 3/5; 11/20; 11/18; ; 8/13; ; 
Draw; 3; 11/4; ; 11/4; 33/10; 29/10; 29/10; 11/4; 3; ; ; 13/5; ; 11/4; 14/5; 3; 29/10; 37/13; 29/10; 27/10; 3; 3; 3; 29/10; 29/10; ; 13/5; ; 
Burnley; 19/4; 5; ; 5; 51/10; 11/2; 5; 11/2; 19/4; ; ; 5; ; 5; 9/2; 5; 23/5; 50/11; 23/5; 43/10; 23/5; 21/4; 11/2; 21/4; 23/5; ; 7/2; ; 
META; english/premier-league/burnley-v-man-utd; 2018-01-10 12:17:50 GMT+2; ; e70300-dr003
Man Utd; 11/20; 3/5; 3/5; 6/10; 61/100; 4/7; 4/7; 4/7; 4/7; 4/7; ; 6/10; ; 8/13; 13/20; 4/7; 4/7; 4/7; 4/7; 11/18; 4/7; 4/7; 3/5; 11/20; 4/7; ; 4/7; ; 
Draw; 3; 11/4; 27/10; 11/4; 61/20; 29/10; 29/10; 11/4; 3; 13/5; ; 11/4; ; 11/4; 14/5; 13/5; 29/10; 37/13; 29/10; 27/10; 3; 3; 29/10; 29/10; 29/10; ; ; ; 
Burnley; 19/4; 5; 5; 5; 29/5; 11/2; 11/2; 11/2; 19/4; 5; ; 5; ; 5; 9/2; 9/2; 23/5; 96/19; 23/5; 43/10; 23/5; 21/4; 11/2; 21/4; 51/10; ; 24/5; ; 
META; english/premier-league/burnley-v-man-utd; 2018-01-10 13:39:04 GMT+2; 2018-01-20 15:00; e70300-dr003
Man Utd; 11/20; 3/5; 3/5; 6/10; 61/ 100; 4/7; 4/7; 4/7; 4/7; 4/7; ; 6/10; ; 8/13; 13/20; 4/7; 4/7; 4/7; 4/7; 11/18; 4/7; 4/7; 3/5; 11/20; 4/7; 4/7; ; 
Draw; 3; 11/4; 27/10; 11/4; 61/20; 29/10; 29/10; 11/4; 3; 13/5; ; 11/4; ; 11/4; 14/5; 13/5; 29/10; 37/13; 29/10; 27/10; 3; 3; 29/10; 29/10; 29/10; ; ; 
Burnley; 19/4; 5; 5; 5; 29/5; 11/2; 11/2; 11/2; 19/4; 5; ; 5; ; 5; 9/2; 9/2; 23/5; 96/19; 23/5; 43/10; 23/5; 21/4; 11/2; 21/4; 51/10; 24/5; ; 
META; english/premier-league/burnley-v-man-utd; 2018-01-18 18:16:25 GMT+2; 2018-01-20 15:00; e70300-dr003
Man Utd ; 8/15; 4/7; 4/7; 4/7; 61/ 100; 4/7; 8/15; 8/15; 10/17; 4/7; 4/7; 4/7; 1/2; 4/7; 4/7; 4/7; 4/7; 10/17; 4/7; 4/7; 5/9; 4/7; 3/5; 4/7; 10/17; 4/7; 4/7; 4/7
Draw; 14/5; 11/4; 13/5; 11/4; 73/25; 14/5; 14/5; 11/4; 29/10; 27/10; 11/4; 13/5; 14/5; 29/10; 14/5; 11/4; 29/10; 11/4; 29/10; 37/13; 37/13; 14/5; 14/5; 14/5; 14/5; 14/5; 14/5; 14/5
Burnley; 11/2; 11/2; 11/2; 5; 31/5; 6; 11/2; 6; 25/4; 11/2; 11/2; 11/2; 13/2; 13/2; 11/2; 11/2; 11/2; 59/10; 11/2; 29/5; 6; 11/2; 13/2; 6; 113/ 19; 6; 28/5; 6
META; english/premier-league/burnley-v-man-utd; 2018-01-19 12:12:34 GMT+2; 2018-01-20 15:00; e70300-dr003
Man Utd ; 4/7; 3/5; 4/7; 4/7; 61/100; 4/7; 8/15; 8/15; 10/17; 4/7; 4/7; 4/7; 1/2; 6/10; 3/5; 4/7; 4/7; 10/17; 4/7; 4/7; 5/9; 4/7; 3/5; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 29/10; 13/5; 13/5; 11/4; 73/25; 29/10; 14/5; 11/4; 29/10; 13/5; 11/4; 11/4; 14/5; 14/5; 14/5; 13/5; 29/10; 11/4; 29/10; 37/13; 37/13; 14/5; 29/10; 14/5; 11/4; ; 14/5; 14/5; 14/5
Burnley; 13/2; 5; 11/2; 5; 31/5; 13/2; 11/2; 6; 25/4; 11/2; 11/2; 6; 13/2; 13/2; 6; 6; 11/2; 113/19; 11/2; 29/5; 6; 11/2; 6; 6; 6; ; 31/5; 29/5; 13/2
META; english/premier-league/burnley-v-man-utd; 2018-01-19 12:44:14 GMT+2; 2018-01-20 15:00; e70300-dr003
Man Utd ; 4/7; 3/5; 4/7; 4/7; 8/13; 4/7; 8/15; 8/15; 10/17; 4/7; 4/7; 8/13; 1/2; 6/10; 3/5; 8/13; 4/7; 10/17; 4/7; 4/7; 5/9; 4/7; 3/5; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 29/10; 13/5; 27/10; 11/4; 59/20; 29/10; 14/5; 11/4; 29/10; 13/5; 11/4; 13/5; 14/5; 14/5; 14/5; 13/5; 29/10; 11/4; 29/10; 37/13; 37/13; 14/5; 29/10; 14/5; 11/4; ; 14/5; 14/5; 14/5
Burnley; 13/2; 5; 11/2; 5; 6; 13/2; 11/2; 6; 25/4; 11/2; 11/2; 11/2; 13/2; 13/2; 6; 11/2; 11/2; 59/10; 11/2; 29/5; 6; 11/2; 6; 6; 6; ; 31/5; 29/5; 13/2
META; english/premier-league/burnley-v-man-utd; 2018-01-19 14:02:14 GMT+2; 2018-01-20 15:00; e70300-dr003
Man Utd ; 4/7; 3/5; 4/7; 4/7; 8/13; 4/7; 8/15; 8/15; 10/17; 4/7; 4/7; 8/13; 1/2; 6/10; 3/5; 4/7; 4/7; 10/17; 4/7; 4/7; 5/9; 4/7; 3/5; 4/7; 10/17; ; 4/7; 4/7; 4/7
Draw; 29/10; 13/5; 27/10; 14/5; 59/20; 29/10; 14/5; 11/4; 29/10; 13/5; 11/4; 13/5; 14/5; 14/5; 14/5; 13/5; 29/10; 11/4; 29/10; 37/13; 37/13; 14/5; 29/10; 14/5; 11/4; ; 14/5; 14/5; 14/5
