META; english/premier-league/man-city-v-burnley; 2017-10-18 11:59:17 GMT+3; 2017-10-21 15:00; e70300-dr003
Man City; 1/12; 1/10; 1/11; 1/10; 1/11; 1/10; 1/14; 1/12; 1/9; 1/11; 1/10; 1/10; 1/16; 1/12; 1/10; 1/11; 1/12; 1/10; 3/25; 1/11; 1/9; 1/10; 1/14; 1/11; 1/10; ; 1/9; 1/12; 2/15
Draw; 10; 17/2; 10; 8; 10; 10; 10; 10; 10; 10; 17/2; 17/2; 11; 10; 9; 17/2; 9; 10; 11; 21/2; 19/2; 10; 21/2; 17/2; 10; ; 52/5; 17/2; 49/5
Burnley; 25; 20; 25; 25; 25; 25; 20; 25; 22; 25; 20; 25; 25; 25; 22; 19; 22; 25; 25; 25; 20; 25; 21; 25; 101/4; ; 28; 21; 22
