META; english/premier-league/man-city-v-arsenal; 2017-10-18 12:00:26 GMT+3; 2017-11-05 14:15; e70300-dr003
Man City; ; ; ; ; ; ; ; 3/5; ; ; ; ; ; 13/20; ; 4/7; ; ; 61/100; ; ; 8/13; ; 3/5; ; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; 14/5; ; 3; ; ; 13/4; ; ; 3; ; 57/20; ; ; 23/10; ; 
Arsenal; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; 9/2; ; 5; ; ; 53/10; ; ; 19/4; ; 19/4; ; ; 6/5; ; 
META; english/premier-league/man-city-v-arsenal; 2017-10-24 12:24:27 GMT+3; 2017-11-05 14:15; e70300-dr003
Man City; 1/2; 4/7; 8/15; ; ; 1/2; 4/7; 3/5; 1/2; 8/15; 1/2; 11/20; ; ; 4/7; ; 1/2; 8/15; 29/50; 1/2; 1/2; 8/15; 4/7; 8/15; 8/15; ; 1/2; ; 
Draw; 10/3; 3; 17/5; ; ; 7/2; 10/3; 13/5; 16/5; 10/3; 7/2; 10/3; ; ; 10/3; ; 16/5; 33/10; 17/5; 62/17; 16/5; 7/2; 18/5; 7/2; 57/17; ; 9/4; ; 
Arsenal; 5; 9/2; 17/4; ; ; 5; 9/2; 9/2; 11/2; 17/4; 5; 9/2; ; ; 9/2; ; 5; 79/17; 11/2; 4; 27/5; 9/2; 19/4; 9/2; 47/10; ; 23/5; ; 
META; english/premier-league/man-city-v-arsenal; 2017-10-27 12:14:22 GMT+3; 2017-11-05 14:15; e70300-dr003
Man City; 9/20; 1/2; 1/2; ; ; 1/2; 1/2; 1/2; 1/2; 1/2; 9/20; 4/9; ; ; 9/20; ; 5/11; 4/9; 1/2; 6/13; 1/2; 1/2; 1/2; 4/9; 5/11; ; 4/9; ; 
Draw; 7/2; 16/5; 18/5; ; ; 18/5; 7/2; 7/2; 16/5; 7/2; 18/5; 7/2; ; ; 15/4; ; 57/17; 62/17; 4; 50/13; 16/5; 4; 19/5; 15/4; 37/10; ; 3; ; 
Arsenal; 11/2; 11/2; 5; ; ; 5; 11/2; 5; 11/2; 24/5; 11/2; 11/2; ; ; 11/2; ; 11/2; 91/17; 57/10; 43/10; 27/5; 21/4; 11/2; 21/4; 27/5; ; 5; ; 
META; english/premier-league/man-city-v-arsenal; 2017-11-01 13:15:54 GMT+2; 2017-11-05 14:15; e70300-dr003
Man City; 1/2; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 7/15; 1/2; 9/20; 1/2; 7/20; 1/2; 1/2; 1/2; 4/9; 7/15; 51/100; 10/21; 7/15; 1/2; 1/2; 12/25; 10/21; ; 4/9; 4/9; 4/9
Draw ; 10/3; 15/4; 7/2; 15/4; ; 15/4; 7/2; 7/2; 75/19; 18/5; 18/5; 10/3; 9/2; 7/2; 15/4; 18/5; 7/2; 37/10; 79/20; 19/5; 39/10; 4; 4; 15/4; 37/10; ; 7/2; 7/2; 7/2
Arsenal; 5; 17/4; 19/4; 9/2; ; 11/2; 5; 5; 11/2; 19/4; 11/2; 5; 13/2; 19/4; 19/4; 5; 11/2; 53/10; 28/5; 41/10; 27/5; 19/4; 5; 19/4; 91/17; ; 26/5; 27/5; 29/5
META; english/premier-league/man-city-v-arsenal; 2017-11-02 12:16:45 GMT+2; 2017-11-05 14:15; e70300-dr003
Man City; 4/9; 4/9; 4/9; 4/9; ; 4/9; 4/9; 2/5; 5/12; 4/9; 4/9; 4/9; 7/20; 4/9; 9/20; 4/9; 4/9; 7/17; 23/50; 4/9; 2/5; 4/9; 4/9; 21/50; 5/12; ; 2/5; 4/9; 4/9
Draw ; 7/2; 4; 19/5; 19/5; ; 4; 15/4; 4; 21/5; 19/5; 4; 15/4; 9/2; 19/5; 15/4; 19/5; 7/2; 75/19; 21/5; 21/5; 41/10; 17/4; 21/5; 4; 4; ; 4; 4; 7/2
Arsenal; 11/2; 5; 11/2; 11/2; ; 6; 6; 6; 7; 11/2; 6; 5; 13/2; 11/2; 11/2; 11/2; 11/2; 13/2; 31/5; 51/10; 7; 21/4; 6; 21/4; 13/2; ; 32/5; 32/5; 29/5
