META; english/premier-league/arsenal-v-man-city; 2018-02-12 20:46:13 GMT+2; 2018-03-01 19:45; e70300-dr003
Man City; 10/11; 10/11; ; 10/11; 49/50; 19/20; ; 10/11; 19/20; ; ; 20/21; 19/20; 19/20; 10/11; ; 19/20; 10/11; 9/10; 19/20; 10/11; 20/21; ; 19/20; ; 10/11; ; 
Arsenal; 11/4; 13/5; ; 5/2; 69/25; 3; ; 11/4; 45/17; ; ; 14/5; 13/5; 13/5; 11/4; ; 13/5; 14/5; 12/5; 45/17; 13/5; 14/5; ; 13/5; ; 13/5; ; 
Draw; 13/5; 29/10; ; 3; 31/10; 29/10; ; 13/5; 45/17; ; ; 5/2; 14/5; 14/5; 14/5; ; 11/4; 27/10; 37/13; 45/17; 3; 29/10; ; 14/5; ; 27/10; ; 
META; english/premier-league/arsenal-v-man-city; 2018-02-16 18:35:17 GMT+2; 2018-03-01 19:45; e70300-dr003
Man City; 10/11; 10/11; 10/11; 10/11; 47/50; 10/11; 10/11; 10/11; 19/20; 10/11; 19/20; 10/11; 19/20; 19/20; 10/11; ; ; 9/10; 9/10; 19/20; 10/11; 19/20; ; ; ; 5/6; ; 
Arsenal; 11/4; 13/5; 13/5; 5/2; 143/ 50; 11/4; 11/4; 13/5; 45/17; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; ; 27/10; 14/5; 12/5; 45/17; 11/4; 11/4; ; ; ; 13/5; ; 
Draw; 13/5; 29/10; 14/5; 3; 63/20; 29/10; 14/5; 11/4; 45/17; 11/4; 11/4; 14/5; 14/5; 14/5; 14/5; ; 14/5; 14/5; 37/13; 45/17; 3; 3; ; 14/5; ; 11/4; ; 
META; english/premier-league/arsenal-v-man-city; 2018-02-19 16:15:38 GMT+2; 2018-03-01 19:45; e70300-dr003
Man City; 10/11; 17/20; 13/15; 10/11; 24/25; 10/11; 10/11; 10/11; 13/15; 20/23; 10/11; 10/11; 10/11; 10/11; 10/11; ; 13/15; 9/10; 9/10; 13/15; 10/11; 9/10; ; ; ; 9/10; ; 
Arsenal; 11/4; 11/4; 13/5; 5/2; 11/4; 11/4; 11/4; 13/5; 45/17; 13/5; 11/4; 11/4; 11/4; 27/10; 13/5; ; 45/17; 11/4; 12/5; 45/17; 11/4; 29/10; ; ; ; 13/5; ; 
Draw; 13/5; 3; 14/5; 3; 16/5; 29/10; 29/10; 11/4; 56/19; 14/5; 3; 11/4; 14/5; 29/10; 3; ; 37/13; 29/10; 37/13; 56/19; 3; 31/10; ; 37/13; ; 11/4; ; 
META; english/premier-league/arsenal-v-man-city; 2018-02-20 12:14:36 GMT+2; 2018-03-01 19:45; e70300-dr003
Man City; 10/11; 17/20; 13/15; 10/11; 19/20; 10/11; 10/11; 10/11; 13/15; 20/23; 10/11; 10/11; 19/20; 10/11; 10/11; ; 13/15; 9/10; 9/10; 13/15; 10/11; 9/10; ; ; ; 9/10; ; 
Arsenal; 11/4; 11/4; 13/5; 5/2; 139/ 50; 11/4; 11/4; 13/5; 45/17; 13/5; 11/4; 11/4; 11/4; 27/10; 13/5; ; 45/17; 11/4; 12/5; 45/17; 11/4; 29/10; ; ; ; 13/5; ; 
Draw; 13/5; 3; 14/5; 3; 16/5; 29/10; 29/10; 11/4; 56/19; 14/5; 3; 11/4; 14/5; 29/10; 3; ; 37/13; 29/10; 37/13; 56/19; 3; 31/10; ; 29/10; ; 11/4; ; 
META; english/premier-league/arsenal-v-man-city; 2018-02-24 12:13:35 GMT+2; 2018-03-01 19:45; e70300-dr003
Man City; 10/11; 17/20; 13/15; 10/11; 93/100; 9/10; ; 10/11; 13/15; 20/23; 10/11; 10/11; 10/11; 9/10; 17/20; 4/5; 13/15; 13/15; 11/13; 13/15; 9/10; 10/11; 17/20; 13/15; ; 5/6; ; 
Arsenal; 11/4; 11/4; 27/10; 5/2; 141/50; 11/4; ; 13/5; 27/10; 27/10; 11/4; 11/4; 14/5; 11/4; 14/5; 5/2; 45/17; 14/5; 5/2; 27/10; 14/5; 29/10; 27/10; 27/10; ; 11/4; ; 
Draw; 13/5; 3; 14/5; 3; 13/4; 3; ; 11/4; 58/19; 14/5; 3; 11/4; 3; 29/10; 3; 11/4; 37/13; 29/10; 56/19; 3; 3; 3; 3; 29/10; ; 3; ; 
META; english/premier-league/arsenal-v-man-city; 2018-02-27 18:13:01 GMT+2; 2018-03-01 19:45; e70300-dr003
Man City; 8/11; 3/4; 4/5; 8/11; 4/5; 4/5; 4/5; 8/11; 4/5; 4/5; 8/11; 3/4; 4/6; 4/5; 3/4; 4/5; 4/5; 7/9; 4/5; 13/17; 5/6; 10/13; 4/5; ; 4/5; 4/5; 4/5
Draw; 3; 3; 29/10; 14/5; 31/10; 31/10; 29/10; 11/4; 58/19; 3; 3; 3; 13/4; 31/10; 3; 14/5; 29/10; 14/5; 3; 56/19; 3; ; 56/19; ; 14/5; 3; 3
Arsenal; 7/2; 16/5; 3; 7/2; 73/20; 7/2; 10/3; 16/5; 39/11; 3; 7/2; 3; 17/5; 16/5; 100/30; 16/5; 57/17; 17/5; 13/4; 7/2; 33/10; 10/3; 17/5; ; 10/3; 7/2; 10/3
META; english/premier-league/arsenal-v-man-city; 2018-03-01 15:49:38 GMT+2; ; e70300-dr003
