META; english/premier-league/stoke-v-burnley; 2018-04-03 18:15:08 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 13/10; 6/4; 13/10; 11/8; 13/10; 11/8
Draw; 11/5; 11/5; 28/13; 21/10; 28/13; 21/10
Burnley; 11/5; 23/10; 11/5; 9/4; 11/5; 11/5
META; english/premier-league/stoke-v-burnley; 2018-04-04 08:14:43 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 13/10; 6/4; 13/10; 11/8; 13/10; 11/8
Draw; 11/5; 11/5; 28/13; 21/10; 28/13; 21/10
Burnley; 11/5; 23/10; 11/5; 9/4; 11/5; 11/5
META; english/premier-league/stoke-v-burnley; 2018-04-04 18:15:52 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 13/10; 31/20; 13/10; 7/5; 13/10; 11/8
Burnley; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5
Draw; 11/5; 111/0; 28/13; 11/5; 28/13; 21/10
META; english/premier-league/stoke-v-burnley; 2018-04-05 13:09:21 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 13/10; 31/20; 13/10; 7/5; 13/10
Burnley; 11/5; 11/5; 11/5; 21/10; 11/5
Draw; 11/5; 111/50; 28/13; 11/5; 28/13
META; english/premier-league/stoke-v-burnley; 2018-04-06 08:14:43 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 13/10; 7/5; 13/10; 11/8; 7/5; 13/10
Burnley; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5
Draw; 11/5; 21/10; 28/13; 21/10; 21/10; 28/13
META; english/premier-league/stoke-v-burnley; 2018-04-07 12:15:35 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 13/10; 31/20; 7/5; 13/10; 11/8; 7/5; 13/10
Burnley; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 11/5
Draw; 11/5; 111/50; 21/10; 28/13; 21/10; 21/10; 28/13
META; english/premier-league/stoke-v-burnley; 2018-04-10 08:13:51 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 11/8; 13/10; 29/20; 151/100; 11/8; 7/5; 11/8; 16/11; 29/20; 29/20; 29/20; 6/4; 7/5; 7/5; 7/5; 11/8; 16/11; 31/20; 7/5; 13/10
Burnley; 19/10; 11/5; 21/10; 111/50; 15/8; 21/10; 15/8; 2; 2; 21/10; 21/10; 2; 39/19; 25/14; 2; 85/40; 39/19; 13/8; ; 
Draw; 23/10; 11/5; 2; 113/50; 19/10; 11/5; 15/8; 11/5; 2; 21/10; 21/10; 41/20; 11/5; 21/10; 28/13; 21/10; 11/5; 85/40; 28/13; 13/8
META; english/premier-league/stoke-v-burnley; 2018-04-11 12:51:18 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 11/8; 13/10; 29/20; 38/25; 11/8; 7/5; 11/8; 16/11; 29/20; 7/5; 29/20; 6/4; 7/5; 11/8; 7/5; 11/8; 16/11; 31/20; 7/5; 6/5
Burnley; 19/10; 11/5; 21/10; 109/50; 15/8; 2; 15/8; 2; 2; 21/10; 21/10; 2; 39/19; 25/14; 2; 85/40; 39/19; 13/8; ; 
Draw; 23/10; 11/5; 2; 57/25; 19/10; 11/5; 15/8; 11/5; 2; 11/5; 21/10; 41/20; 11/5; 11/5; 28/13; 21/10; 11/5; 85/40; 28/13; 13/8
META; english/premier-league/stoke-v-burnley; 2018-04-11 16:46:30 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 11/8; 13/10; 29/20; 29/20; 38/25; 11/8; 7/5; 11/8; 16/11; 29/20; 29/20; 29/20; 6/4; 7/5; 7/5; 7/5; 11/8; 16/11; 31/20; 7/5; 6/5
Burnley; 19/10; 11/5; 21/10; 21/10; 111/50; 15/8; 2; 15/8; 2; 2; 21/10; 21/10; 2; 39/19; 25/14; 2; 85/40; 39/19; 13/8; ; 
Draw; 23/10; 11/5; 2; 9/4; 19/10; 11/5; 15/8; 11/5; 2; 21/10; 21/10; 41/20; 11/5; 21/10; 28/13; 21/10; 11/5; 85/40; 28/13; 13/8; 
META; english/premier-league/stoke-v-burnley; 2018-04-11 20:15:16 GMT+3; 2018-04-22 13:30; e70300-dr003
Stoke; 11/8; 13/10; 29/20; 29/20; 38/25; 11/8; 7/5; 11/8; 16/11; 29/20; 29/20; 29/20; 6/4; 7/5; 7/5; 7/5; 11/8; 16/11; 31/20; 7/5; 6/5
Burnley; 19/10; 11/5; 21/10; 21/10; 109/0; 15/8; 2; 15/8; 2; 2; 21/10; 21/10; 2; 39/19; 25/14; 2; 85/40; 39/19; 13/8; ; 
Draw; 23/10; 11/5; 2; 57/25; 19/10; 11/5; 15/8; 11/5; 2; 21/10; 21/10; 41/20; 11/5; 21/10; 28/13; 21/10; 11/5; 85/40; 28/13; 13/8; 
META; english/premier-league/stoke-v-burnley; 2018-04-12 10:42:37 GMT+3; 2018-04-22 13:30; e70300-dr003
