META; english/premier-league/west-brom-v-man-utd; 2017-12-07 10:52:33 GMT+2; 2017-12-17 14:15; e70300-dr003
Man Utd; ; ; ; ; ; 4/9; 1/2; 4/9; ; ; ; 4/9; ; ; ; 1/2; 1/2; ; 8/15; ; ; ; ; 4/9; ; ; 4/9; ; 
Draw; ; ; ; ; ; 7/2; 16/5; 7/2; ; ; ; 7/2; ; ; ; 10/3; 16/5; ; 67/20; ; ; ; ; 16/5; ; ; 3; ; 
West Brom; ; ; ; ; ; 7; 6; 7; ; ; ; 11/2; ; ; ; 6; 23/4; ; 13/2; ; ; ; ; 7; ; ; 33/5; ; 
META; english/premier-league/west-brom-v-man-utd; 2017-12-08 12:10:46 GMT+2; 2017-12-17 14:15; e70300-dr003
Man Utd; ; ; ; ; ; 4/9; 7/15; 4/9; ; ; ; 4/9; ; ; ; 4/9; 1/2; ; 49/100; ; ; 4/9; ; 21/50; ; ; 2/5; ; 
Draw; ; ; ; ; ; 7/2; 10/3; 7/2; ; ; ; 7/2; ; ; ; 7/2; 16/5; ; 71/20; ; ; 10/3; ; 10/3; ; ; 3; ; 
West Brom; ; ; ; ; ; 7; 13/2; 7; ; ; ; 11/2; ; ; ; 13/2; 23/4; ; 7; ; ; 13/2; ; 7; ; ; 31/5; ; 
META; english/premier-league/west-brom-v-man-utd; 2017-12-11 18:11:23 GMT+2; 2017-12-17 14:15; e70300-dr003
Man Utd; 1/2; 3/5; 4/7; 11/20; 8/15; 4/7; 5/9; 8/15; 8/15; 4/7; 9/20; 4/7; ; 6/10; 4/7; 4/7; 8/15; 8/15; 14/25; 4/7; 8/15; 8/15; 4/7; 8/15; 5/9; ; 1/2; ; 4/7
Draw; 16/5; 11/4; 14/5; 3; 31/10; 31/10; 3; 3; 31/10; 27/10; 10/3; 11/4; ; 14/5; 3; 3; 31/10; 58/19; 10/3; 29/10; 31/10; 3; 3; 3; 58/19; ; 3; ; 3
West Brom; 21/4; 5; 11/2; 5; 19/4; 6; 5; 11/2; 21/4; 5; 6; 11/2; ; 5; 5; 11/2; 19/4; 94/19; 6; 43/10; 51/10; 21/4; 6; 21/4; 5; ; 23/5; ; 26/5
META; english/premier-league/west-brom-v-man-utd; 2017-12-12 10:55:57 GMT+2; 2017-12-17 14:15; e70300-dr003
Man Utd; 1/2; 3/5; 4/7; 11/20; 4/7; 4/7; 5/9; 8/15; 8/15; 4/7; 9/20; 4/7; ; 6/10; 4/7; 4/7; 4/7; 8/15; 14/25; 4/7; 8/15; 8/15; 4/7; 8/15; 5/9; ; 1/2; ; 
Draw; 16/5; 11/4; 14/5; 3; 3; 31/10; 3; 3; 31/10; 27/10; 10/3; 14/5; ; 14/5; 3; 3; 3; 3; 10/3; 29/10; 31/10; 3; 3; 3; 58/19; ; 3; ; 
West Brom; 21/4; 5; 11/2; 5; 5; 6; 5; 11/2; 21/4; 5; 6; 5; ; 5; 5; 11/2; 5; 94/19; 6; 43/10; 51/10; 21/4; 6; 21/4; 5; ; 23/5; ; 
