META; english/premier-league/stoke-v-bournemouth; 2017-10-18 11:59:23 GMT+3; 2017-10-21 15:00; e70300-dr003
Stoke ; 23/20; 11/10; 15/13; 1; 11/10; 21/20; 11/10; 11/10; 15/13; 23/20; 23/20; 23/20; 19/20; 11/10; 23/20; 11/10; 1; 15/13; 6/5; 8/7; 15/13; 11/10; 23/20; 11/10; 15/13; ; 21/20; 10/9; 23/20
Draw; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 47/20; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 47/20; 12/5; ; 12/5; 23/10; 12/5
Bournemouth; 23/10; 12/5; 12/5; 13/5; 13/5; 14/5; 12/5; 13/5; 28/11; 12/5; 5/2; 49/20; 14/5; 13/5; 12/5; 12/5; 27/10; 5/2; 66/25; 27/11; 28/11; 5/2; 13/5; 5/2; 28/11; ; 12/5; 23/10; 13/5
