META; english/premier-league/everton-v-west-ham; 2017-11-28 14:34:39 GMT+2; 2017-11-29 20:00; e70300-dr003
Everton; 11/8; 13/10; 5/4; 13/10; ; 11/8; 13/10; 13/10; 4/3; 5/4; 7/5; 13/10; 11/10; 27/20; 11/8; 11/8; 13/10; 13/10; 34/25; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; ; 13/10; 27/20; 11/8
Draw ; 23/10; 23/10; 23/10; 23/10; ; 12/5; 9/4; 23/10; 40/17; 23/10; 9/4; 23/10; 47/20; 47/20; 9/4; 9/4; 23/10; 23/10; 59/25; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; ; 11/5; 9/4; 23/10
West Ham; 23/10; 23/10; 21/10; 23/10; ; 23/10; 11/5; 11/5; 43/18; 11/5; 23/10; 9/4; 49/20; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 11/5; 40/17; 9/4; 12/5; 9/4; 23/10; ; 9/4; 9/4; 23/10
META; english/premier-league/everton-v-west-ham; 2017-11-29 12:11:10 GMT+2; 2017-11-29 20:00; e70300-dr003
Everton; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 11/8; 13/10; 13/10; 13/10; 34/25; 17/13; 5/4; 13/10; 13/10; 13/10; 13/10; ; 13/10; 13/10; 11/8
Draw ; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; 9/4; 23/10; 40/17; 23/10; 12/5; 9/4; 9/4; 47/20; 9/4; 12/5; 23/10; 23/10; 59/25; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; ; 11/5; 9/4; 23/10
West Ham; 12/5; 23/10; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 27/11; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 40/17; ; 23/10; 23/10; 12/5
