META; english/premier-league/huddersfield-v-swansea; 2018-02-27 18:13:36 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 16/11; 29/20; 38/25; 29/20; 6/4; 7/5; 16/11; 29/20; 6/4; 6/4; ; 31/20; 7/5; 7/5; 16/11; 6/4; 11/8; 16/11; 6/4; ; 16/11; ; 7/5; ; 
Draw; 11/5; 11/5; 2; 2; 107/50; 21/10; 21/10; 21/10; 39/19; 2; 11/5; 2; ; 41/20; 21/10; 21/10; 21/10; 11/5; 28/13; 39/19; 21/10; ; 21/10; ; 19/10; ; 
Swansea; 15/8; 2; 21/10; 21/10; 117/50; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 21/10; ; 2; 11/5; 2; 2; 37/19; 23/12; 21/10; 11/5; ; 39/19; ; 19/10; ; 
META; english/premier-league/huddersfield-v-swansea; 2018-03-01 15:54:23 GMT+2; ; e70300-dr003
Huddersfield; 6/4; 7/5; 29/20; 29/20; 38/25; 29/20; 6/4; 7/5; 16/11; 29/20; 6/4; 29/20; 31/20; 7/5; 7/5; 6/4; 16/11; 11/8; 16/11; 6/4; 6/4; 6/4
Draw; 11/5; 11/5; 2; 109/50; 21/10; 21/10; 21/10; 39/19; 2; 11/5; 21/10; 41/20; 21/10; 21/10; 28/13; 11/5; 28/13; 39/19; 21/10; 11/5; 19/10; 
Swansea; 15/8; 2; 21/10; 23/10; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 41/20; 11/5; 2; 19/10; 2; 23/12; 21/10; 11/5; 19/10; 19/10; 
META; english/premier-league/huddersfield-v-swansea; 2018-03-02 08:16:38 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 6/4; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 29/20; 6/4; 29/20; 31/20; 7/5; 7/5; 6/4; 16/11; 11/8; 16/11; 6/4; 6/4; 6/4
Draw; 11/5; 11/5; 2; 109/50; 21/10; 21/10; 21/10; 39/19; 2; 11/5; 2; 41/20; 21/10; 21/10; 28/13; 11/5; 28/13; 39/19; 21/10; 11/5; 19/10; 
Swansea; 15/8; 2; 21/10; 56/25; 21/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 41/20; 11/5; 2; 19/10; 2; 23/12; 21/10; 11/5; 19/10; 19/10; 
META; english/premier-league/huddersfield-v-swansea; 2018-03-02 13:55:43 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 6/4; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 29/20; 6/4; 29/20; 31/20; 7/5; 7/5; 16/11; 16/11; 11/8; 16/11; 6/4; 6/4; 6/4
Draw; 11/5; 11/5; 2; 109/50; 21/10; 21/10; 21/10; 39/19; 2; 11/5; 2; 41/20; 21/10; 21/10; 21/10; 11/5; 28/13; 39/19; 21/10; 21/10; 19/10; 
Swansea; 15/8; 2; 21/10; 56/25; 21/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 41/20; 11/5; 2; 37/19; 2; 23/12; 21/10; 11/5; 2; 19/10; 
META; english/premier-league/huddersfield-v-swansea; 2018-03-03 12:14:55 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 6/4; 29/20; 31/20; 6/4; 6/4; 7/5; 16/11; 29/20; 6/4; 29/20; 6/4; 31/20; 7/5; 7/5; 16/11; 16/11; 11/8; 16/11; 6/4; 6/4; 6/4
Swansea; 15/8; 2; 21/10; 56/25; 21/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 2; 41/20; 11/5; 2; 37/19; 2; 23/12; 21/10; 11/5; 2; 19/10; 
Draw; 11/5; 11/5; 2; 109/50; 21/10; 21/10; 21/10; 39/19; 2; 11/5; 2; 23/10; 41/20; 21/10; 21/10; 21/10; 21/10; 28/13; 39/19; 21/10; 21/10; 19/10; 
META; english/premier-league/huddersfield-v-swansea; 2018-03-05 20:13:37 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 7/5; 29/20; 77/50; 29/20; 6/4; 7/5; 6/4; 7/5; 6/4; 7/5; 31/20; 29/20; 7/5; 7/5; 16/11; 6/4; 17/12; 6/4; 6/4; 29/20; 16/11; 7/5; 7/5; 7/5
Draw; 11/5; 21/10; 2; 111/50; 21/10; 21/10; 21/10; 39/19; 2; 2; 41/20; 21/10; 2; 21/10; 21/10; 28/13; 39/19; 21/10; 21/10; 21/10; 2; 21/10; 21/10; ; ; 
Swansea; 15/8; 21/10; 21/10; 21/10; 111/50; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 43/20; 11/5; 2; 21/10; 21/10; 11/5; 21/10; 9/4; 2; 21/10; 2; 21/10; 21/10
META; english/premier-league/huddersfield-v-swansea; 2018-03-06 14:59:18 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 6/4; 7/5; 7/5; 29/20; 77/50; 29/20; 6/4; 7/5; 6/4; 7/5; 6/4; 7/5; 31/20; 29/20; 7/5; 7/5; 16/11; 6/4; 13/9; 6/4; 29/20; 16/11; 7/5; 6/4; 7/5
Draw; 11/5; 21/10; 2; 111/0; 21/10; 21/10; 21/10; 39/19; 2; 2; 41/20; 21/10; 2; 21/10; 21/10; 28/13; 39/19; 21/10; 21/10; 2; 21/10; 21/10; ; ; 
Swansea; 15/8; 21/10; 21/10; 21/10; 111/0; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 11/5; 11/5; 2; 21/10; 21/10; 28/13; 21/10; 2; 21/10; 2; 11/5; 21/10
META; english/premier-league/huddersfield-v-swansea; 2018-03-08 10:11:13 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 29/20; 7/5; 29/20; 29/20; 79/50; 31/20; 6/4; 7/5; 11/7; 29/20; 6/4; 7/5; 31/20; 29/20; 7/5; 7/5; 6/4; 6/4; 13/9; 17/11; 6/4; 29/20; 6/4; 6/4; 7/5; 6/4; 6/4
Draw; 21/10; 21/10; 2; 85/40; 21/10; 2; 21/10; 2; 21/10; 2; 41/20; 21/10; 2; 39/19; 21/10; 28/13; 39/19; 21/10; 21/10; 21/10; 2; 19/10; 2; 21/10; ; ; 
Swansea; 2; 21/10; 21/10; 21/10; 9/4; 9/4; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 2; 43/20; 11/5; 2; 28/13; 21/10; 28/13; 28/13; 9/4; 2; 28/13; 21/10; 11/5; 11/5; 9/4
META; english/premier-league/huddersfield-v-swansea; 2018-03-08 12:14:29 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 29/20; 7/5; 29/20; 29/20; 79/50; 31/20; 6/4; 7/5; 11/7; 29/20; 6/4; 7/5; 31/20; 29/20; 7/5; 7/5; 6/4; 6/4; 13/9; 17/11; 6/4; 29/20; 17/11; 6/4; 7/5; 6/4; 6/4
Draw; 21/10; 21/10; 2; 85/40; 21/10; 2; 21/10; 2; 21/10; 2; 41/20; 21/10; 2; 21/10; 21/10; 28/13; 39/19; 21/10; 21/10; 21/10; 2; 21/10; 21/10; ; ; ; 
Swansea; 2; 21/10; 21/10; 21/10; 9/4; 9/4; 21/10; 21/10; 11/5; 21/10; 2; 21/10; 2; 43/20; 11/5; 21/10; 21/10; 21/10; 28/13; 28/13; 9/4; 11/5; 28/13; 21/10; 11/5; 11/5; 9/4
META; english/premier-league/huddersfield-v-swansea; 2018-03-09 12:13:48 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 29/20; 7/5; 29/20; 29/20; 39/25; 31/20; 6/4; 6/4; 17/11; 29/20; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 6/4; 6/4; 17/12; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4
Draw; 21/10; 2; 2; 85/40; 21/10; 2; 21/10; 2; 21/10; 19/10; 2; 41/20; 21/10; 2; 21/10; 21/10; 28/13; 39/19; 2; 2; 21/10; 21/10; ; ; 
Swansea; 2; 21/10; 21/10; 21/10; 57/25; 9/4; 21/10; 21/10; 9/4; 21/10; 11/5; 11/5; 2; 43/20; 11/5; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 11/5; 11/5
META; english/premier-league/huddersfield-v-swansea; 2018-03-09 14:03:15 GMT+2; 2018-03-10 15:00; e70300-dr003
Huddersfield; 31/20; 7/5; 29/20; 29/20; 39/25; 31/20; 6/4; 6/4; 17/11; 29/20; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 6/4; 6/4; 17/12; 6/4; 6/4; 6/4; 17/11; 6/4; 7/5; 6/4; 6/4
Draw; 21/10; 21/10; 2; 85/40; 21/10; 2; 21/10; 2; 21/10; 19/10; 2; 41/20; 21/10; 2; 21/10; 21/10; 28/13; 39/19; 21/10; 2; 21/10; 2; 21/10; 21/10; ; ; 
