META; english/premier-league/bournemouth-v-crystal-palace; 2018-03-18 14:13:59 GMT+2; 2018-04-07 15:00; e70300-dr003
Bournemouth; 13/10; 13/10; 71/50; 6/5; 13/10; 11/8; 13/10; 13/10; 23/17; 9/7; 11/8; 27/20; 23/17
Crystal Palace; 11/5; 2; 23/10; 15/8; 19/10; 2; 21/10; 21/10; 2; 9/5; 85/40; 2; 
Draw; 11/5; 12/5; 117/50; 11/5; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 12/5; 23/10; 23/10
META; english/premier-league/bournemouth-v-crystal-palace; 2018-03-19 08:13:06 GMT+2; 2018-04-07 15:00; e70300-dr003
Bournemouth; 13/10; 13/10; 71/50; 6/5; 6/5; 13/10; 11/8; 13/10; 13/10; 23/17; 9/7; 13/10; 11/8; 27/20; 23/17
Crystal Palace; 11/5; 2; 23/10; 19/10; 15/8; 19/10; 2; 21/10; 21/10; 37/19; 9/5; 21/10; 85/40; 2; 37/19
Draw; 11/5; 12/5; 117/50; 11/5; 11/5; 12/5; 47/20; 12/5; 12/5; 23/10; 5/2; 40/17; 12/5; 23/10; 23/10
META; english/premier-league/bournemouth-v-crystal-palace; 2018-03-20 08:13:24 GMT+2; 2018-04-07 15:00; e70300-dr003
Bournemouth; 13/10; 13/10; 11/8; 7/5; 6/5; 6/5; 13/10; 7/5; 13/10; 11/8; 23/17; 13/10; 9/7; 13/10; 11/8; 27/20; 23/17; 10/9; 
Crystal Palace; 11/5; 2; 19/10; 113/50; 19/10; 15/8; 19/10; 2; 21/10; 2; 11/5; 9/5; 21/10; 85/40; 2; 39/19; 7/4; ; 
Draw; 11/5; 12/5; 12/5; 121/50; 11/5; 11/5; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; 2
META; english/premier-league/bournemouth-v-crystal-palace; 2018-03-21 14:14:15 GMT+2; 2018-04-07 15:00; e70300-dr003
Bournemouth; 13/10; 13/10; 11/8; 7/5; 6/5; 6/5; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 9/7; 13/10; 11/8; 27/20; 23/17; 6/5; 
Crystal Palace; 11/5; 2; 19/10; 113/0; 19/10; 15/8; 19/10; 2; 21/10; 2; 39/19; 11/5; 9/5; 21/10; 85/40; 2; 39/19; 9/5; 
Draw; 11/5; 12/5; 12/5; 121/0; 11/5; 11/5; 23/10; 12/5; 47/20; 12/5; 23/10; 9/4; 23/10; 5/2; 23/10; 12/5; 23/10; 9/4; 2
META; english/premier-league/bournemouth-v-crystal-palace; 2018-03-22 12:33:15 GMT+2; 2018-04-07 15:00; e70300-dr003
Bournemouth; 13/10; 13/10; 11/8; 6/4; 6/5; 7/5; 6/5; 7/5; 6/4; 13/10; 13/10; 7/5; 23/17; 9/7; 13/10; 11/8; 7/5; 7/5; 6/5; 
Crystal Palace; 11/5; 2; 19/10; 85/40; 19/10; 2; 15/8; 2; 15/8; 21/10; 2; 37/19; 21/10; 9/5; 21/10; 85/40; 39/20; 37/19; 9/5; 
Draw; 11/5; 12/5; 12/5; 12/5; 11/5; 23/10; 11/5; 23/10; 9/4; 23/10; 12/5; 9/4; 9/4; 23/10; 5/2; 23/10; 12/5; 23/10; 9/4; 11/5
META; english/premier-league/bournemouth-v-crystal-palace; 2018-03-23 14:39:48 GMT+2; 2018-04-07 15:00; e70300-dr003
Bournemouth; 13/10; 7/5; 11/8; 6/4; 6/5; 7/5; 6/5; 7/5; 6/4; 7/5; 11/8; 7/5; 23/17; 9/7; 13/10; 29/20; 7/5; 7/5; 6/5
Crystal Palace; 11/5; 19/10; 19/10; 85/40; 19/10; 2; 15/8; 2; 15/8; 2; 19/10; 37/19; 21/10; 9/5; 21/10; 2; 39/20; 37/19; 9/5
Draw; 11/5; 12/5; 12/5; 12/5; 11/5; 23/10; 11/5; 23/10; 9/4; 23/10; 12/5; 9/4; 9/4; 23/10; 5/2; 23/10; 5/2; 23/10; 11/5
META; english/premier-league/bournemouth-v-crystal-palace; 2018-03-26 12:13:40 GMT+3; 2018-04-07 15:00; e70300-dr003
Bournemouth; 13/10; 7/5; 29/20; 38/25; 6/5; 7/5; 6/5; 11/8; 29/20; 6/4; 7/5; 13/10; 7/5; 7/5; 9/7; 13/10; 29/20; 7/5; 7/5; 27/20
