META; english/premier-league/arsenal-v-newcastle; 2017-12-07 10:52:17 GMT+2; 2017-12-16 15:00; e70300-dr003
Arsenal; ; ; ; ; 1/4; 1/3; 3/10; 1/3; ; ; ; ; ; ; ; ; 1/4; ; 8/25; ; ; ; ; 2/7; ; ; 2/9; ; 
Draw; ; ; ; ; 5; 4; 17/4; 4; ; ; ; ; ; ; ; ; 5; ; 23/5; ; ; ; ; 4; ; ; 7/2; ; 
Newcastle; ; ; ; ; 11; 10; 10; 10; ; ; ; ; ; ; ; ; 11; ; 23/2; ; ; ; ; 11; ; ; 12/5; ; 
META; english/premier-league/arsenal-v-newcastle; 2017-12-08 12:10:31 GMT+2; 2017-12-16 15:00; e70300-dr003
Arsenal; ; ; ; ; 1/4; 1/3; 3/10; 1/3; ; ; ; ; ; ; ; 3/10; 1/4; ; 8/25; ; ; 3/10; ; 2/7; ; ; 1/4; ; 
Draw; ; ; ; ; 5; 4; 17/4; 4; ; ; ; ; ; ; ; 9/2; 5; ; 23/5; ; ; 17/4; ; 4; ; ; 7/2; ; 
Newcastle; ; ; ; ; 11; 10; 10; 10; ; ; ; ; ; ; ; 11; 11; ; 23/2; ; ; 10; ; 11; ; ; 13/5; ; 
META; english/premier-league/arsenal-v-newcastle; 2017-12-11 18:11:07 GMT+2; 2017-12-16 15:00; e70300-dr003
Arsenal; 1/4; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; ; ; 2/7; 2/7; 2/7; 2/9; 1/4; 29/100; 4/17; ; 1/4; 2/7; 2/9; 1/4; ; 1/4; ; 1/4
Draw; 9/2; 17/4; 19/4; 5; ; 5; 5; 5; 9/2; 9/2; 9/2; ; ; 9/2; 9/2; 9/2; 5; 63/13; 24/5; 47/10; ; 19/4; 19/4; 9/2; 49/10; ; 9/2; ; 5
Newcastle; 14; 9; 12; 10; 21/2; 13; 11; 12; 13; 10; 14; 10; ; 10; 10; 12; 21/2; 23/2; 14; 19/2; ; 11; 12; 14; 23/2; ; 57/5; ; 57/5
META; english/premier-league/arsenal-v-newcastle; 2017-12-12 10:55:42 GMT+2; 2017-12-16 15:00; e70300-dr003
Arsenal; 1/4; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; ; ; 2/7; 2/7; 2/7; 5/19; 1/4; 29/100; 4/17; ; 1/4; 2/7; 2/9; 1/4; ; 1/4; ; 2/7
Draw; 9/2; 17/4; 19/4; 5; 19/4; 5; 5; 5; 9/2; 9/2; 9/2; ; ; 9/2; 9/2; 9/2; 19/4; 63/13; 49/10; 47/10; ; 19/4; 19/4; 9/2; 49/10; ; 9/2; ; 
Newcastle; 14; 17/2; 12; 10; 23/2; 13; 11; 12; 13; 10; 14; 10; ; 10; 10; 12; 23/2; 45/4; 27/2; 19/2; ; 11; 12; 14; 45/4; ; 57/5; ; 
