META; english/premier-league/man-utd-v-everton; 2017-08-25 20:13:48 GMT+3; 2017-09-17 16:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 4/11; ; ; ; ; 4/11; ; ; ; 2/5; ; ; 2/5; ; ; ; ; 4/11; ; ; ; 
Draw; ; ; ; ; ; ; ; 10/3; ; ; ; ; 15/4; ; ; ; 7/2; ; ; 21/5; ; ; ; ; 7/2; ; ; ; 
Everton; ; ; ; ; ; ; ; 15/2; ; ; ; ; 8; ; ; ; 13/2; ; ; 41/5; ; ; ; ; 15/2; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-08-28 14:19:44 GMT+3; 2017-09-17 16:00; e70300-dr003
Man Utd; ; ; ; ; ; ; ; 2/5; 2/5; ; ; ; 4/11; ; ; 2/5; 2/5; 2/5; ; 2/5; ; 2/5; ; 2/5; 2/5; ; ; ; 
Draw; ; ; ; ; ; ; ; 7/2; 15/4; ; ; ; 15/4; ; ; 15/4; 7/2; 7/2; ; 21/5; ; 37/10; ; 19/5; 7/2; ; ; ; 
Everton; ; ; ; ; ; ; ; 15/2; 7; ; ; ; 8; ; ; 15/2; 13/2; 13/2; ; 41/5; ; 13/2; ; 15/2; 7; ; ; ; 
META; english/premier-league/man-utd-v-everton; 2017-09-04 20:14:21 GMT+3; 2017-09-17 16:00; e70300-dr003
Man Utd; 3/10; 4/11; ; ; 4/11; 7/20; 1/3; 4/11; 3/10; 3/10; 3/10; 1/3; 3/10; 3/10; 1/3; 3/10; 6/17; 3/10; 3/10; 9/25; 1/3; 3/10; ; 1/3; 1/3; ; 1/20; ; 
Draw; 4; 7/2; ; ; 19/5; 17/4; 4; 10/3; 21/5; 19/5; 15/4; 15/4; 4; 4; 4; 7/2; 15/4; 21/5; 77/19; 21/5; 39/10; 21/5; ; 17/4; 4; ; 19/10; ; 
Everton; 19/2; 8; ; ; 8; 9; 21/2; 15/2; 10; 17/2; 17/2; 9; 9; 11; 9; 8; 29/4; 19/2; 37/4; 21/2; 7; 19/2; ; 17/2; 17/2; ; 4/11; ; 
META; english/premier-league/man-utd-v-everton; 2017-09-07 19:15:07 GMT+3; 2017-09-17 16:00; e70300-dr003
Man Utd; 3/10; 4/11; 1/3; ; 3/10; 7/20; 1/3; 3/10; 3/10; 3/10; 3/10; 1/3; 3/10; 3/10; 1/3; 3/10; 6/17; 3/10; 3/10; 9/25; 1/3; 3/10; ; 1/3; 3/10; ; 2/7; ; 
Draw; 4; 7/2; 4; ; 4; 17/4; 4; 4; 21/5; 19/5; 15/4; 15/4; 4; 4; 4; 15/4; 15/4; 21/5; 77/19; 21/5; 39/10; 21/5; ; 17/4; 4; ; 7/2; ; 
Everton; 19/2; 8; 9; ; 9; 9; 21/2; 11; 10; 9; 17/2; 9; 10; 11; 9; 8; 29/4; 19/2; 37/4; 21/2; 7; 19/2; ; 9; 9; ; 10; ; 
