META; english/premier-league/west-ham-v-liverpool; 2017-10-18 12:00:16 GMT+3; 2017-11-04 17:30; e70300-dr003
Liverpool; ; ; ; ; ; ; ; 4/6; ; ; ; ; ; 4/6; ; 7/10; ; ; 73/100; ; ; 4/6; ; 13/20; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; 16/5; ; 16/5; ; ; 17/5; ; ; 3; ; 16/5; ; ; 9/4; ; 
West Ham; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; 15/4; ; 15/4; ; ; 15/4; ; ; 7/2; ; 15/4; ; ; 1/20; ; 
META; english/premier-league/west-ham-v-liverpool; 2017-10-24 12:24:21 GMT+3; 2017-11-04 17:30; e70300-dr003
Liverpool; 3/5; 2/3; 4/6; ; 4/6; 4/6; 4/6; 4/6; 11/17; 4/6; 4/6; 4/6; ; ; 4/6; ; 11/17; 8/13; 17/25; 11/17; 11/17; 8/13; 7/10; 13/20; 11/17; ; 4/7; ; 
Draw; 3; 3; 3; ; 3; 3; 16/5; 16/5; 3; 3; 3; 3; ; ; 16/5; ; 29/10; 3; 17/5; 3; 3; 3; 3; 3; 58/19; ; 11/4; ; 
West Ham; 17/4; 18/5; 15/4; ; 4; 4; 4; 16/5; 4; 18/5; 4; 15/4; ; ; 15/4; ; 15/4; 75/19; 21/5; 7/2; 4; 19/5; 17/4; 4; 4; ; 10/3; ; 
META; english/premier-league/west-ham-v-liverpool; 2017-10-27 12:14:16 GMT+3; 2017-11-04 17:30; e70300-dr003
Liverpool; 3/5; 2/3; 11/18; ; 4/6; 8/13; 4/6; 8/13; 11/17; 8/13; 8/13; 8/13; ; ; 4/6; ; 11/17; 8/13; 69/ 100; 7/11; 11/17; 8/13; 8/13; 13/20; 11/17; ; 4/7; ; 
Draw; 3; 3; 3; ; 3; 3; 16/5; 3; 3; 3; 3; 16/5; ; ; 16/5; ; 29/10; 58/19; 10/3; 31/10; 3; 3; 10/3; 3; 31/10; ; 14/5; ; 
West Ham; 17/4; 18/5; 19/5; ; 4; 9/2; 4; 9/2; 4; 19/5; 9/2; 4; ; ; 15/4; ; 15/4; 75/19; 21/5; 17/5; 4; 19/5; 9/2; 4; 4; ; 4; ; 
META; english/premier-league/west-ham-v-liverpool; 2017-11-01 13:15:49 GMT+2; 2017-11-04 17:30; e70300-dr003
Liverpool; 7/10; 7/10; 7/10; 8/11; 3/4; 3/4; 7/10; 4/6; 7/10; 7/10; 8/13; 7/10; 13/20; 8/11; 7/10; 7/10; 13/18; 5/7; 71/100; 7/10; 7/10; 4/6; 7/10; 4/6; 5/7; ; 8/11; ; 4/6
Draw; 14/5; 3; 29/10; 3; 3; 16/5; 29/10; 3; 3; 29/10; 3; 14/5; 10/3; 29/10; 14/5; 14/5; 29/10; 56/19; 63/20; 56/19; 56/19; 3; 31/10; 3; 3; ; 14/5; ; 3
West Ham; 15/4; 18/5; 18/5; 10/3; 7/2; 15/4; 15/4; 7/2; 4; 18/5; 7/2; 15/4; 7/2; 18/5; 4; 7/2; 10/3; 75/19; 43/10; 41/13; 39/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 21/5
META; english/premier-league/west-ham-v-liverpool; 2017-11-02 12:16:40 GMT+2; 2017-11-04 17:30; e70300-dr003
Liverpool; 8/13; 8/13; 11/18; 4/6; 3/4; 4/6; 13/20; 8/13; 11/17; 8/13; 7/10; 8/13; 13/20; 13/20; 8/13; 8/13; 8/13; 8/13; 33/50; 5/8; 8/13; 8/13; 13/20; 3/5; 8/13; ; 8/13; 4/7; 4/6
Draw; 3; 3; 3; 3; 3; 31/10; 3; 3; 13/4; 3; 10/3; 3; 10/3; 3; 3; 3; 3; 31/10; 33/10; 16/5; 16/5; 3; 16/5; 3; 41/13; ; 3; 3; 3
West Ham; 4; 4; 4; 18/5; 7/2; 9/2; 4; 9/2; 9/2; 4; 7/2; 4; 7/2; 4; 9/2; 15/4; 4; 9/2; 23/5; 4; 22/5; 17/4; 9/2; 17/4; 50/11; ; 9/2; 9/2; 21/5
META; english/premier-league/west-ham-v-liverpool; 2017-11-03 11:14:52 GMT+2; 2017-11-04 17:30; e70300-dr003
Liverpool; 4/6; 8/13; 11/18; 8/13; 4/6; 4/6; 13/20; 8/13; 7/11; 8/13; 7/10; 4/6; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 33/50; 5/8; 11/18; 8/13; 13/20; 8/13; 8/13; ; 8/13; 8/13; 4/6
Draw; 10/3; 3; 3; 16/5; 3; 10/3; 16/5; 16/5; 33/10; 3; 10/3; 16/5; 10/3; 3; 3; 3; 31/10; 41/13; 10/3; 13/4; 16/5; 3; 33/10; 16/5; 16/5; ; 3; 3; 3
West Ham; 17/4; 19/5; 4; 4; 4; 4; 4; 4; 9/2; 21/5; 7/2; 4; 7/2; 4; 4; 15/4; 4; 22/5; 9/2; 41/10; 22/5; 17/4; 9/2; 17/4; 49/11; ; 21/5; 21/5; 21/5
