META; english/premier-league/west-brom-v-crystal-palace; 2017-12-01 10:22:40 GMT+2; 2017-12-02 15:00; e70300-dr003
West Brom; 6/4; 7/5; 7/5; 29/20; 7/5; 29/20; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; ; 29/20; 7/5; 7/5; 7/5; 6/4; 157/100; 13/9; 16/11; 6/4; 29/20; 29/20; 6/4; ; 7/5; 7/5; 
Draw; 11/5; 21/10; 2; 2; 21/10; 21/10; 21/10; 21/10; 28/13; 2; 11/5; 2; ; 21/10; 2; 21/10; 21/10; 21/10; 85/40; 21/10; 21/10; 85/40; 11/5; 21/10; 21/10; ; 2; ; 
Crystal Palace; 11/5; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 9/4; 21/10; 11/5; 21/10; ; 21/10; 23/10; 21/10; 11/5; 21/10; 113/50; 11/5; 11/5; 11/5; 23/10; 11/5; 28/13; ; 21/10; 21/10; 
META; english/premier-league/west-brom-v-crystal-palace; 2017-12-01 18:21:36 GMT+2; 2017-12-02 15:00; e70300-dr003
West Brom; 6/4; 7/5; 16/11; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 7/5; 6/4; 8/5; 6/4; 6/4; 6/4; 157/100; 53/35; 16/11; 6/4; 31/20; 29/20; 6/4; ; 7/5; 7/5; 6/4
Draw; 11/5; 21/10; 2; 21/10; 21/10; 11/5; 21/10; 11/5; 28/13; 2; 11/5; 2; ; 41/20; 21/10; 21/10; 21/10; 21/10; 43/20; 21/10; 21/10; 85/40; 85/40; 21/10; 21/10; ; 2; 2; 21/10
Crystal Palace; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 9/4; 21/10; 11/5; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 56/25; 28/13; 11/5; 85/40; 11/5; 11/5; 28/13; ; 21/10; 21/10; 23/10
