META; english/premier-league/tottenham-v-swansea; 2017-08-25 20:13:42 GMT+3; 2017-09-16 17:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 1/5; ; ; ; ; 2/9; ; ; ; 1/4; ; ; 13/50; ; ; ; ; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; 19/4; ; ; ; 9/2; ; ; 11/2; ; ; ; ; 5; ; ; ; 
Swansea; ; ; ; ; ; ; ; 13; ; ; ; ; 14; ; ; ; 10; ; ; 14; ; ; ; ; 12; ; ; ; 
META; english/premier-league/tottenham-v-swansea; 2017-08-28 14:19:39 GMT+3; 2017-09-16 17:30; e70300-dr003
Tottenham; ; ; ; ; ; ; ; 1/5; 3/11; ; ; ; 2/9; ; ; 1/4; 1/4; 1/4; ; 13/50; ; 3/11; ; 1/4; 2/9; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; 9/2; ; ; ; 19/4; ; ; 5; 9/2; 9/2; ; 11/2; ; 9/2; ; 5; 5; ; ; ; 
Swansea; ; ; ; ; ; ; ; 13; 10; ; ; ; 14; ; ; 12; 10; 19/2; ; 14; ; 19/2; ; 12; 11; ; ; ; 
META; english/premier-league/tottenham-v-swansea; 2017-09-04 20:14:16 GMT+3; 2017-09-16 17:30; e70300-dr003
Tottenham; 1/5; 1/5; ; ; 1/4; 1/4; 2/9; 1/5; 1/5; 2/9; 2/9; 2/9; 1/5; 1/5; 2/9; 1/5; 1/4; 1/5; 3/14; 1/4; 2/9; 1/5; ; 1/4; 1/5; ; 1/4; ; 
Draw; 11/2; 11/2; ; ; 5; 11/2; 11/2; 5; 6; 19/4; 9/2; 9/2; 5; 11/2; 11/2; 23/5; 9/2; 6; 21/4; 29/5; 5; 6; ; 11/2; 11/2; ; 19/10; ; 
Swansea; 12; 12; ; ; 11; 12; 14; 12; 12; 12; 11; 12; 14; 14; 11; 21/2; 10; 23/2; 47/4; 27/2; 19/2; 23/2; ; 11; 11; ; 4/11; ; 
META; english/premier-league/tottenham-v-swansea; 2017-09-07 19:15:02 GMT+3; 2017-09-16 17:30; e70300-dr003
Tottenham; 1/5; 1/5; 1/4; ; 2/9; 5/19; 1/4; 2/9; 1/5; 1/4; 2/9; 1/4; 2/9; 2/9; 1/4; 1/5; 1/4; 1/5; 3/14; 1/4; 4/17; 1/5; ; 1/4; 2/9; ; 2/9; ; 
Draw; 11/2; 11/2; 19/4; ; 5; 5; 11/2; 5; 6; 9/2; 9/2; 9/2; 5; 5; 5; 51/10; 9/2; 6; 21/4; 29/5; 24/5; 6; ; 21/4; 5; ; 24/5; ; 
Swansea; 12; 12; 11; ; 11; 11; 12; 13; 12; 11; 10; 10; 12; 13; 10; 21/2; 10; 23/2; 23/2; 27/2; 17/2; 23/2; ; 10; 11; ; 59/5; ; 
META; english/premier-league/tottenham-v-swansea; 2017-09-15 11:50:00 GMT+3; 2017-09-16 17:30; e70300-dr003
Tottenham; 2/9; 2/9; 2/9; 1/4; 2/9; 2/9; 2/9; 2/9; 4/17; 2/9; 2/9; 2/9; 1/5; 2/9; 2/9; 2/9; 2/9; 2/9; 2/9; 1/4; 3/14; ; 1/5; 1/4; 2/9; ; 2/9; 2/9; 1/4
Draw ; 6; 5; 5; 5; 11/2; 11/2; 6; 11/2; 57/10; 5; 5; 5; 5; 6; 11/2; 11/2; 11/2; 11/2; 96/17; 29/5; 51/10; ; 5; 11/2; 11/2; ; 28/5; 28/5; 28/5
Swansea; 14; 11; 13; 10; 12; 12; 14; 12; 27/2; 14; 14; 12; 14; 14; 12; 14; 23/2; 13; 13; 27/2; 10; ; 16; 12; 11; ; 69/5; 13; 67/5
