META; english/premier-league/stoke-v-watford; 2018-01-07 12:12:45 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; ; ; ; ; 6/4; ; ; 13/10; ; ; ; ; ; ; ; ; 7/5; ; 7/5; ; ; 7/5; ; 11/8; ; ; ; ; 
Watford; ; ; ; ; 52/25; ; ; 2; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; ; 85/40; ; 21/10; ; ; ; ; 
Draw; ; ; ; ; 49/20; ; ; 9/4; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 9/4; ; 11/5; ; ; ; ; 
META; english/premier-league/stoke-v-watford; 2018-01-10 12:18:32 GMT+2; ; e70300-dr003
Stoke; ; ; ; ; 6/4; 11/8; ; 11/8; ; ; ; ; ; ; ; ; 7/5; ; 7/5; ; ; 7/5; ; 11/8; ; ; 5/6; ; 
Watford; ; ; ; ; 52/25; 21/10; ; 21/10; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; ; 85/40; ; 21/10; ; ; 1/25; ; 
Draw; ; ; ; ; 49/20; 23/10; ; 23/10; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 9/4; ; 11/5; ; ; 2; ; 
META; english/premier-league/stoke-v-watford; 2018-01-10 13:39:46 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; ; ; ; ; 6/4; 11/8; ; 11/8; ; ; ; ; ; ; ; ; 7/5; ; 7/5; ; ; 7/5; ; 11/8; ; 5/6; ; 
Watford; ; ; ; ; 52/25; 21/10; ; 21/10; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; ; 85/40; ; 21/10; ; 1/25; ; 
Draw; ; ; ; ; 49/20; 23/10; ; 23/10; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 9/4; ; 11/5; ; 2; ; 
META; english/premier-league/stoke-v-watford; 2018-01-17 12:23:00 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; 5/4; 5/4; 13/10; 13/10; 141/ 100; 5/4; 13/10; 5/4; 13/10; 13/10; ; 13/10; ; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 23/20; ; 
Watford; 9/4; 21/10; 2; 21/10; 111/ 50; 11/5; 21/10; 11/5; 11/5; 2; ; 21/10; ; 43/20; 11/5; 2; 11/5; 21/10; 11/5; 27/14; 11/5; 85/40; 11/5; 21/10; 21/10; 19/10; ; 
Draw; 11/5; 12/5; 23/10; 23/10; 123/ 50; 12/5; 23/10; 12/5; 11/5; 23/10; ; 23/10; ; 47/20; 23/10; 21/10; 23/10; 9/4; 23/10; 5/2; 11/5; 12/5; 5/2; 23/10; 23/10; 19/10; ; 
META; english/premier-league/stoke-v-watford; 2018-01-18 18:17:06 GMT+2; 2018-01-31 20:00; e70300-dr003
Stoke; 5/4; 5/4; 13/10; 13/10; 141/ 100; 5/4; 13/10; 5/4; 13/10; 13/10; ; 13/10; ; 13/10; 13/10; 5/4; 13/10; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; ; 
Watford; 9/4; 21/10; 2; 21/10; 111/ 50; 11/5; 21/10; 11/5; 11/5; 2; ; 21/10; ; 21/10; 11/5; 2; 11/5; 21/10; 11/5; 27/14; 11/5; 85/40; 9/4; 21/10; 21/10; 2; ; 
