META; english/premier-league/crystal-palace-v-tottenham; 2018-02-05 12:43:50 GMT+2; 2018-02-26 20:00; e70300-dr003
Tottenham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/19; ; ; ; ; ; ; 14/19; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; 11/4; ; ; ; 
Crystal Palace; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 39/11; ; ; ; ; ; ; 18/5; ; ; ; 
META; english/premier-league/crystal-palace-v-tottenham; 2018-02-07 14:12:45 GMT+2; 2018-02-26 20:00; e70300-dr003
Tottenham; 4/7; 8/13; 11/18; 3/4; 63/ 100; 8/13; ; 4/7; 3/5; 6/10; ; ; ; 13/20; 8/13; 8/13; 10/17; 8/13; 8/13; 3/5; 8/13; 13/20; 3/5; 10/17; ; 4/7; ; 
Draw; 3; 3; 29/10; 14/5; 13/4; 16/5; ; 3; 3; 29/10; ; ; ; 3; 3; 3; 58/19; 29/10; 58/19; 3; 3; 3; 3; 58/19; ; 14/5; ; 
Crystal Palace; 19/4; 4; 17/4; 17/5; 5; 9/2; ; 9/2; 9/2; 21/5; ; ; ; 17/4; 9/2; 4; 49/11; 19/4; 62/17; 22/5; 9/2; 19/4; 9/2; 9/2; ; 4; ; 
META; english/premier-league/crystal-palace-v-tottenham; 2018-02-12 20:46:10 GMT+2; 2018-02-26 20:00; e70300-dr003
Tottenham; 4/9; 8/15; 1/2; 4/7; 13/25; 8/15; 1/2; 1/2; 1/2; 1/2; ; 1/2; 8/15; 8/15; 8/15; 4/9; 7/15; 7/15; 10/21; 1/2; 1/2; ; 9/20; 7/15; ; 1/2; 4/9; 
Draw; 16/5; 16/5; 16/5; 14/5; 7/2; 10/3; 10/3; 16/5; 57/17; 16/5; ; 3; 10/3; 16/5; 100/30; 3; 13/4; 7/2; 57/17; 33/10; 7/2; ; 10/3; 33/10; ; 3; 14/5; 
Crystal Palace; 13/2; 5; 11/2; 9/2; 32/5; 6; 6; 11/2; 11/2; 11/2; ; 11/2; 11/2; 11/2; 5; 5; 76/13; 11/2; 47/10; 27/5; 11/2; 6; 6; 59/10; ; 11/2; 24/5; 
META; english/premier-league/crystal-palace-v-tottenham; 2018-02-16 18:35:15 GMT+2; 2018-02-26 20:00; e70300-dr003
Tottenham; 4/9; 8/15; 1/2; 3/4; 27/50; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; ; 8/15; 1/2; 1/2; 4/9; 10/21; 1/2; 10/21; 1/2; 1/2; ; 9/20; 10/21; ; 1/2; 4/9; 1/2
Draw; 16/5; 16/5; 16/5; 14/5; 7/2; 10/3; 10/3; 10/3; 57/17; 16/5; 10/3; 16/5; 10/3; 16/5; 100/ 30; 3; 13/4; 16/5; 57/17; 33/10; 100/ 30; 7/2; 10/3; 33/10; ; 3; 14/5; 10/3
Crystal Palace; 13/2; 5; 11/2; 17/5; 6; 6; 11/2; 6; 11/2; 11/2; 6; ; 11/2; 11/2; 11/2; 5; 96/17; 6; 47/10; 27/5; 11/2; 6; 6; 57/10; ; 29/5; 24/5; 29/5
META; english/premier-league/crystal-palace-v-tottenham; 2018-02-19 16:15:33 GMT+2; 2018-02-25 12:00; e70300-dr003
Tottenham; 4/9; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; ; 8/15; 8/15; 8/15; 4/9; 8/15; 1/2; 18/35; 1/2; 1/2; ; 9/20; 8/15; ; 1/2; 4/9; 1/2
Draw; 10/3; 16/5; 16/5; 16/5; 7/2; 10/3; 16/5; 3; 57/17; 16/5; 7/2; 3; 10/3; 16/5; 100/30; 3; 57/17; 16/5; 57/17; 33/10; 100/30; 17/5; 10/3; 57/17; ; 3; 14/5; 
Crystal Palace; 6; 11/2; 11/2; 11/2; 61/10; 6; 11/2; 5; 11/2; 11/2; 6; ; 11/2; 11/2; 5; 5; 96/17; 6; 28/5; 27/5; 11/2; 13/2; 6; 57/10; ; 29/5; ; 
META; english/premier-league/crystal-palace-v-tottenham; 2018-02-20 12:14:31 GMT+2; 2018-02-25 12:00; e70300-dr003
Tottenham; 4/9; 1/2; 1/2; 1/2; 8/15; 1/2; 1/2; 4/9; 1/2; 1/2; 1/2; ; 1/2; 1/2; 8/15; 4/9; 18/35; 1/2; 18/35; 1/2; 1/2; ; 9/20; 8/15; ; 1/2; 4/9; 1/2
Draw; 10/3; 16/5; 16/5; 16/5; 7/2; 10/3; 10/3; 3; 57/17; 16/5; 7/2; 3; 10/3; 16/5; 100/ 30; 3; 17/5; 16/5; 57/17; 33/10; 100/ 30; 7/2; 10/3; 17/5; ; 3; ; 10/3
Crystal Palace; 6; 11/2; 11/2; 11/2; 61/10; 6; 11/2; 5; 11/2; 11/2; 6; ; 11/2; 11/2; 5; 5; 23/4; 6; 28/5; 27/5; 11/2; 6; 6; 29/5; ; 29/5; ; 29/5
META; english/premier-league/crystal-palace-v-tottenham; 2018-02-24 12:13:29 GMT+2; 2018-02-25 12:00; e70300-dr003
Tottenham ; 1/2; 4/9; 4/9; 1/2; 12/25; 1/2; 7/15; 4/9; 10/21; 4/9; 9/20; 4/9; 4/9; 4/9; 1/2; 2/5; 1/2; 10/21; 10/21; 6/13; 4/9; 9/20; 9/20; 1/2; ; 4/9; 4/9; 1/2
Draw; 7/2; 7/2; 10/3; 16/5; 15/4; 18/5; 7/2; 3; 37/10; 10/3; 7/2; 7/2; 7/2; 18/5; 7/2; 3; 38/11; 13/4; 62/17; 18/5; 7/2; 15/4; 7/2; 7/2; ; 10/3; 7/2; 10/3
Crystal Palace; 13/2; 11/2; 6; 11/2; 34/5; 13/2; 6; 5; 108/17; 6; 13/2; 13/2; 6; 13/2; 6; 11/2; 59/10; 25/4; 28/5; 6; 6; 7; 13/2; 113/19; ; 32/5; 33/5; 32/5
