META; english/premier-league/bournemouth-v-stoke; 2018-01-22 12:12:29 GMT+2; 2018-02-03 15:00; e70300-dr003
Bournemouth; 21/20; 21/20; ; ; 27/25; 23/20; 11/10; 11/10; 11/10; ; ; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 11/10; 17/16; 11/10; 11/10; 11/10; 11/10; 11/10; ; ; 
Stoke; 5/2; 12/5; ; ; 53/20; 27/10; 12/5; 13/5; 5/2; ; ; 5/2; ; ; 12/5; 13/5; 14/5; 40/17; 14/5; 28/13; 5/2; 5/2; 13/5; 49/20; 12/5; ; ; 
Draw; 12/5; 5/2; ; ; 71/25; 13/5; 5/2; 5/2; 40/17; ; ; 12/5; ; ; 13/5; 13/5; 11/5; 12/5; 11/5; 13/5; 40/17; 13/5; 13/5; 49/20; 12/5; ; ; 
META; english/premier-league/bournemouth-v-stoke; 2018-01-23 02:12:03 GMT+2; 2018-02-03 15:00; e70300-dr003
Bournemouth; 21/20; 21/20; ; 21/20; 113/ 100; 23/20; 11/10; 11/10; 11/10; ; ; 11/10; ; 23/20; 11/10; 11/10; 11/10; 21/20; 11/10; 17/16; 11/10; 11/10; 11/10; 11/10; 11/10; ; ; 
Draw; 12/5; 5/2; ; 5/2; 67/25; 13/5; 12/5; 5/2; 40/17; ; ; 12/5; ; 49/20; 13/5; 13/5; 11/5; 12/5; 11/5; 28/11; 40/17; 13/5; 5/2; 49/20; 12/5; ; ; 
Stoke; 5/2; 12/5; ; 5/2; 53/20; 27/10; 5/2; 13/5; 5/2; ; ; 5/2; ; 12/5; 12/5; 13/5; 14/5; 5/2; 14/5; 28/13; 5/2; 5/2; 27/10; 49/20; 5/2; ; ; 
META; english/premier-league/bournemouth-v-stoke; 2018-01-23 17:18:07 GMT+2; 2018-02-03 15:00; e70300-dr003
Bournemouth; 21/20; 21/20; ; 21/20; 113/ 100; 11/10; 11/10; 11/10; 11/10; ; ; 11/10; ; 23/20; 11/10; 21/20; 11/10; 21/20; 11/10; 17/16; 11/10; 11/10; 11/10; 11/10; 11/10; ; ; 
Draw; 12/5; 5/2; ; 5/2; 67/25; 5/2; 12/5; 5/2; 40/17; ; ; 12/5; ; 49/20; 13/5; 12/5; 11/5; 12/5; 11/5; 28/11; 40/17; 13/5; 5/2; 49/20; 12/5; ; ; 
Stoke; 5/2; 12/5; ; 5/2; 53/20; 13/5; 5/2; 13/5; 5/2; ; ; 5/2; ; 12/5; 12/5; 5/2; 14/5; 5/2; 14/5; 28/13; 5/2; 5/2; 27/10; 49/20; 5/2; ; ; 
META; english/premier-league/bournemouth-v-stoke; 2018-01-24 12:13:31 GMT+2; 2018-02-03 15:00; e70300-dr003
Bournemouth; 21/20; 21/20; ; 21/20; 113/ 100; 11/10; 11/10; 11/10; 11/10; ; ; 11/10; ; 23/20; 11/10; 21/20; 11/10; 21/20; 11/10; 17/16; 11/10; 11/10; 11/10; 11/10; 11/10; ; ; ; 
Draw; 12/5; 5/2; ; 5/2; 67/25; 5/2; 12/5; 5/2; 40/17; ; ; 12/5; ; 49/20; 13/5; 12/5; 11/5; 12/5; 11/5; 28/11; 40/17; 13/5; 13/5; 49/20; 12/5; ; ; ; 
Stoke; 5/2; 12/5; ; 5/2; 53/20; 13/5; 5/2; 13/5; 5/2; ; ; 5/2; ; 12/5; 12/5; 5/2; 14/5; 27/11; 14/5; 28/13; 5/2; 5/2; 13/5; 49/20; 5/2; ; ; ; 
META; english/premier-league/bournemouth-v-stoke; 2018-01-30 12:14:57 GMT+2; 2018-02-03 15:00; e70300-dr003
Bournemouth; 21/20; 11/10; 21/20; 21/20; 57/50; 21/20; 11/10; 1; 21/20; 11/10; 11/10; 11/10; ; 23/20; 11/10; 21/20; 11/10; ; 11/10; 10/9; 21/20; 11/10; 11/10; 11/10; 11/10; ; 21/20; ; 
Draw; 12/5; 5/2; 12/5; 5/2; 129/ 50; 13/5; 12/5; 5/2; 27/11; 5/2; 12/5; 12/5; ; 5/2; 13/5; 23/10; 5/2; 27/11; 5/2; 28/11; 27/11; 13/5; 13/5; 49/20; 5/2; ; 21/10; ; 
Stoke; 5/2; 12/5; 12/5; 5/2; 68/25; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; ; 12/5; 12/5; 23/10; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 49/20; 28/11; ; 12/5; ; 
