META; english/premier-league/bournemouth-v-tottenham; 2018-02-27 18:13:51 GMT+2; 2018-03-11 16:00; e70300-dr003
Tottenham; 4/7; 8/13; 3/5; 8/13; 63/100; 1/2; 3/5; 1/2; 6/11; 6/10; 3/5; 8/13; ; 6/10; 8/13; 8/13; 4/7; 3/5; 10/17; 6/11; 8/13; ; 10/17; ; 4/7; ; 
Draw; 3; 3; 3; 16/5; 7/2; 3; 16/5; 3; 3; 3; 10/3; 3; ; 31/10; 3; 3; 41/13; 3; 41/13; 3; 31/10; ; 16/5; ; 14/5; ; 
Bournemouth; 19/4; 17/4; 17/4; 4; 23/5; 4; 9/2; 4; 5; 21/5; 9/2; 4; ; 17/4; 9/2; 4; 74/17; 47/10; 62/17; 24/5; 5; ; 74/17; ; 7/2; ; 
META; english/premier-league/bournemouth-v-tottenham; 2018-03-01 15:54:42 GMT+2; ; e70300-dr003
Tottenham; 4/7; 3/5; 6/10; 8/13; 63/100; 1/2; 3/5; 1/2; 6/11; 4/7; 3/5; 8/13; 6/10; 8/13; 4/7; 10/17; 3/5; 10/17; 6/11; 8/13; 10/17
Draw; 3; 3; 16/5; 7/2; 3; 16/5; 3; 3; 10/3; 3; 31/10; 3; 3; 41/13; 3; 31/10; 58/19; 14/5; ; ; 
Bournemouth; 19/4; 17/4; 17/4; 4; 23/5; 4; 17/4; 4; 17/4; 9/2; 4; 9/2; 9/2; 9/2; 49/11; 47/10; 62/17; 24/5; 5; 9/2; 
META; english/premier-league/bournemouth-v-tottenham; 2018-03-02 08:16:56 GMT+2; 2018-03-11 16:00; e70300-dr003
Tottenham; 4/7; 3/5; 6/10; 8/13; 63/100; 1/2; 3/5; 1/2; 6/11; 4/7; 3/5; 8/13; 6/10; 8/13; 4/7; 10/17; 3/5; 10/17; 6/11; 4/7; 10/17
Draw; 3; 3; 16/5; 7/2; 3; 16/5; 3; 3; 10/3; 3; 31/10; 3; 3; 41/13; 3; 17/5; 58/19; 14/5; ; ; 
Bournemouth; 19/4; 17/4; 17/4; 4; 23/5; 4; 17/4; 4; 17/4; 9/2; 4; 9/2; 9/2; 9/2; 49/11; 47/10; 62/17; 24/5; 5; 9/2; 
META; english/premier-league/bournemouth-v-tottenham; 2018-03-02 13:56:02 GMT+2; 2018-03-11 16:00; e70300-dr003
Tottenham; 4/7; 3/5; 6/10; 8/13; 63/100; 1/2; 3/5; 1/2; 6/11; 4/7; 3/5; 8/13; 6/10; 8/13; 4/7; 4/7; 3/5; 10/17; 6/11; 4/7; 10/17
Draw; 3; 3; 16/5; 7/2; 3; 16/5; 3; 3; 10/3; 3; 31/10; 3; 41/13; 3; 41/13; 3; 17/5; 16/5; 14/5; ; 
Bournemouth; 19/4; 17/4; 17/4; 4; 23/5; 4; 17/4; 4; 17/4; 9/2; 4; 9/2; 9/2; 9/2; 74/17; 47/10; 62/17; 24/5; 5; 17/4; 
META; english/premier-league/bournemouth-v-tottenham; 2018-03-03 12:15:14 GMT+2; 2018-03-11 16:00; e70300-dr003
