META; english/premier-league/leicester-v-crystal-palace; 2017-12-07 10:52:15 GMT+2; 2017-12-16 12:30; e70300-dr003
Leicester; ; ; ; ; 3/4; 3/4; 4/5; 8/11; ; ; ; 3/4; ; ; ; 3/4; 3/4; ; 87/100; ; ; ; ; 3/4; ; ; 4/6; ; 
Draw; ; ; ; ; 13/5; 13/5; 5/2; 13/5; ; ; ; 12/5; ; ; ; 23/10; 13/5; ; 13/5; ; ; ; ; 5/2; ; ; 23/10; ; 
Crystal Palace; ; ; ; ; 4; 4; 15/4; 4; ; ; ; 4; ; ; ; 7/2; 4; ; 79/20; ; ; ; ; 4; ; ; 7/2; ; 
META; english/premier-league/leicester-v-crystal-palace; 2017-12-08 12:10:29 GMT+2; 2017-12-16 12:30; e70300-dr003
Leicester; ; ; ; ; 3/4; 3/4; 4/5; 8/11; ; ; ; 3/4; ; ; ; 3/4; 3/4; ; 87/100; ; ; 4/5; ; 8/11; ; ; 4/6; ; 
Draw; ; ; ; ; 13/5; 13/5; 5/2; 13/5; ; ; ; 5/2; ; ; ; 23/10; 13/5; ; 13/5; ; ; 13/5; ; 51/20; ; ; 23/10; ; 
Crystal Palace; ; ; ; ; 4; 4; 15/4; 4; ; ; ; 4; ; ; ; 15/4; 4; ; 79/20; ; ; 4; ; 4; ; ; 7/2; ; 
META; english/premier-league/leicester-v-crystal-palace; 2017-12-11 18:11:05 GMT+2; 2017-12-16 12:30; e70300-dr003
Leicester; 10/11; 10/11; 10/11; 1; 11/13; 10/11; 10/11; 5/6; 11/13; 10/11; 10/11; 10/11; ; 19/20; 19/20; 10/11; 11/13; 10/11; 20/21; 10/11; 11/13; 10/11; 19/20; 10/11; 10/11; ; 9/10; ; 9/10
Draw; 12/5; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 23/10; 12/5; 27/11; 51/20; 5/2; 5/2; 5/2; 5/2; 49/20; 5/2; ; 23/10; ; 5/2
Crystal Palace; 3; 3; 3; 14/5; 13/4; 7/2; 16/5; 7/2; 13/4; 3; 3; 3; ; 3; 3; 14/5; 13/4; 41/13; 7/2; 45/17; 13/4; 3; 10/3; 3; 16/5; ; 14/5; ; 10/3
META; english/premier-league/leicester-v-crystal-palace; 2017-12-12 10:55:39 GMT+2; 2017-12-16 12:30; e70300-dr003
Leicester; 10/11; 10/11; 19/20; 1; 13/15; 19/20; 20/21; 10/11; 11/13; 19/20; 10/11; 10/11; ; 19/20; 19/20; 10/11; 13/15; 10/11; 20/21; 10/11; 11/13; 10/11; 19/20; 10/11; 19/20; ; 20/21; ; 9/10
Draw; 12/5; 12/5; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 5/2; 23/10; 12/5; 12/5; ; 12/5; 5/2; 23/10; 5/2; 27/11; 64/25; 5/2; 5/2; 5/2; 5/2; 49/20; 27/11; ; 23/10; ; 
Crystal Palace; 3; 3; 3; 14/5; 10/3; 10/3; 3; 16/5; 13/4; 29/10; 3; 3; ; 3; 3; 14/5; 10/3; 41/13; 7/2; 45/17; 13/4; 3; 10/3; 3; 58/19; ; 5/2; ; 
