META; english/premier-league/crystal-palace-v-newcastle; 2018-01-22 12:12:44 GMT+2; 2018-02-04 14:15; e70300-dr003
Crystal Palace; 1; 1; ; ; 109/ 100; 11/10; 21/20; 1; 19/20; ; ; 21/20; ; ; 21/20; 11/10; 1; 1; 1; 21/20; 19/20; 21/20; 21/20; 1; 21/20; 20/21; ; 
Draw; 11/5; 23/10; ; ; 129/ 50; 23/10; 23/10; 9/4; 40/17; ; ; 21/10; ; ; 12/5; 12/5; 23/10; 9/4; 23/10; 40/17; 40/17; 12/5; 12/5; 23/10; 23/10; 21/10; ; 
Newcastle; 3; 11/4; ; ; 72/25; 16/5; 14/5; 3; 3; ; ; 14/5; ; ; 11/4; 14/5; 3; 11/4; 3; 12/5; 3; 14/5; 3; 29/10; 14/5; 14/5; ; 
META; english/premier-league/crystal-palace-v-newcastle; 2018-01-23 02:12:18 GMT+2; 2018-02-04 14:15; e70300-dr003
Crystal Palace; 1; 21/20; ; 11/10; 107/ 100; 11/10; 21/20; 1; 19/20; ; ; 21/20; ; 11/10; 21/20; 11/10; 1; 1; 1; 21/20; 19/20; 21/20; 21/20; 19/20; 1; 20/21; ; 
Draw; 11/5; 23/10; ; 9/4; 123/ 50; 23/10; 23/10; 9/4; 40/17; ; ; 21/10; ; 9/4; 12/5; 23/10; 23/10; 9/4; 23/10; 40/17; 40/17; 23/10; 12/5; 23/10; 9/4; 21/10; ; 
Newcastle; 3; 11/4; ; 13/5; 31/10; 16/5; 29/10; 3; 3; ; ; 14/5; ; 11/4; 11/4; 3; 3; 56/19; 3; 12/5; 3; 3; 3; 3; 56/19; 14/5; ; 
META; english/premier-league/crystal-palace-v-newcastle; 2018-01-23 17:18:23 GMT+2; 2018-02-04 14:15; e70300-dr003
Crystal Palace; 1; 21/20; ; 11/10; 107/ 100; 21/20; 21/20; 1; 19/20; ; ; 21/20; ; 11/10; 21/20; 1; 1; 1; 1; 21/20; 19/20; 21/20; 11/10; 19/20; 1; 20/21; ; 
Draw; 11/5; 23/10; ; 9/4; 123/ 50; 9/4; 23/10; 9/4; 40/17; ; ; 21/10; ; 9/4; 12/5; 9/4; 23/10; 9/4; 23/10; 40/17; 40/17; 23/10; 23/10; 23/10; 9/4; 21/10; ; 
Newcastle; 3; 11/4; ; 13/5; 31/10; 3; 29/10; 3; 3; ; ; 14/5; ; 11/4; 11/4; 14/5; 3; 56/19; 3; 12/5; 3; 3; 3; 3; 3; 14/5; ; 
META; english/premier-league/crystal-palace-v-newcastle; 2018-01-24 12:13:47 GMT+2; 2018-02-04 14:15; e70300-dr003
Crystal Palace; 1; 21/20; ; 11/10; 107/ 100; 21/20; 21/20; 1; 19/20; ; ; 21/20; ; 11/10; 21/20; 1; 1; 1; 1; 21/20; 19/20; 21/20; 11/10; 19/20; 1; ; 20/21; ; 
Draw; 11/5; 23/10; ; 9/4; 123/ 50; 9/4; 23/10; 9/4; 40/17; ; ; 21/10; ; 9/4; 12/5; 9/4; 23/10; 9/4; 23/10; 40/17; 40/17; 23/10; 23/10; 23/10; 9/4; ; 21/10; ; 
Newcastle; 3; 11/4; ; 13/5; 31/10; 3; 29/10; 3; 3; ; ; 14/5; ; 11/4; 11/4; 14/5; 3; 56/19; 3; 12/5; 3; 3; 3; 3; 56/19; ; 14/5; ; 
META; english/premier-league/crystal-palace-v-newcastle; 2018-01-30 12:15:13 GMT+2; 2018-02-04 14:15; e70300-dr003
Crystal Palace; 1; 1; 21/20; 11/10; 107/ 100; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; ; 11/10; 1; 1; 1; 1; 1; 17/16; 1; 21/20; 21/20; 19/20; 1; ; 1; ; 
Draw; 11/5; 23/10; 11/5; 9/4; 12/5; 5/2; 23/10; 23/10; 23/10; 11/5; 9/4; 23/10; ; 9/4; 23/10; 21/10; 23/10; 9/4; 23/10; 27/11; 23/10; 23/10; 12/5; 23/10; 9/4; ; 21/10; ; 
Newcastle; 3; 14/5; 11/4; 13/5; 16/5; 3; 29/10; 11/4; 3; 11/4; 3; 11/4; ; 11/4; 3; 11/4; 3; 29/10; 3; 11/4; 3; 3; 3; 3; 29/10; ; 14/5; ; 
