META; english/premier-league/bournemouth-v-liverpool; 2017-12-07 10:52:36 GMT+2; 2017-12-17 16:30; e70300-dr003
Liverpool; ; ; ; ; ; 40/85; 1/2; 4/9; ; ; ; 1/2; ; ; ; 1/2; 6/11; ; 4/7; ; ; ; ; 12/25; ; ; 4/9; ; 
Draw; ; ; ; ; ; 10/3; 16/5; 10/3; ; ; ; 3; ; ; ; 14/5; 3; ; 17/5; ; ; ; ; 16/5; ; ; 3; ; 
Bournemouth; ; ; ; ; ; 13/2; 11/2; 13/2; ; ; ; 11/2; ; ; ; 5; 11/2; ; 28/5; ; ; ; ; 6; ; ; 28/5; ; 
META; english/premier-league/bournemouth-v-liverpool; 2017-12-08 12:10:49 GMT+2; 2017-12-17 16:30; e70300-dr003
Liverpool; ; ; ; ; ; 40/85; 1/2; 4/9; ; ; ; 1/2; ; ; ; 4/9; 6/11; ; 13/25; ; ; 1/2; ; 9/20; ; ; 2/5; ; 
Draw; ; ; ; ; ; 16/5; 16/5; 16/5; ; ; ; 3; ; ; ; 3; 3; ; 17/5; ; ; 3; ; 16/5; ; ; 3; ; 
Bournemouth; ; ; ; ; ; 13/2; 6; 13/2; ; ; ; 11/2; ; ; ; 11/2; 11/2; ; 67/10; ; ; 13/2; ; 13/2; ; ; 28/5; ; 
META; english/premier-league/bournemouth-v-liverpool; 2017-12-11 18:11:25 GMT+2; 2017-12-17 16:30; e70300-dr003
Liverpool; 1/2; 1/2; 1/2; 1/2; 5/11; 1/2; 1/2; 4/9; 5/11; 1/2; 1/2; 1/2; ; 1/2; 1/2; 4/9; 5/11; 10/21; 1/2; 7/15; 5/11; 1/2; 1/2; 12/25; 17/35; ; 4/9; ; 1/2
Draw; 10/3; 10/3; 10/3; 17/5; 10/3; 18/5; 7/2; 7/2; 13/4; 13/4; 16/5; 16/5; ; 10/3; 7/2; 33/10; 10/3; 39/11; 19/5; 7/2; 13/4; 7/2; 15/4; 7/2; 17/5; ; 3; ; 7/2
Bournemouth; 5; 5; 11/2; 5; 23/4; 6; 5; 11/2; 6; 11/2; 11/2; 11/2; ; 11/2; 5; 5; 23/4; 94/19; 61/10; 47/10; 23/4; 21/4; 6; 21/4; 5; ; 7/2; ; 5
META; english/premier-league/bournemouth-v-liverpool; 2017-12-12 10:55:59 GMT+2; 2017-12-17 16:30; e70300-dr003
Liverpool; 1/2; 1/2; 1/2; 1/2; 10/21; 1/2; 1/2; 4/9; 5/11; 1/2; 1/2; 1/2; ; 1/2; 1/2; 4/9; 10/21; 10/21; 1/2; 7/15; 5/11; 1/2; 1/2; 12/25; 10/21; ; 4/9; ; 
Draw; 10/3; 10/3; 10/3; 17/5; 15/4; 18/5; 15/4; 7/2; 13/4; 13/4; 16/5; 16/5; ; 10/3; 7/2; 33/10; 15/4; 18/5; 19/5; 7/2; 13/4; 7/2; 15/4; 7/2; 62/17; ; 3; ; 
Bournemouth; 5; 5; 11/2; 5; 5; 6; 5; 11/2; 6; 11/2; 11/2; 11/2; ; 11/2; 5; 5; 5; 5; 61/10; 47/10; 23/4; 21/4; 6; 21/4; 96/19; ; 21/5; ; 
