META; english/premier-league/everton-v-swansea; 2017-12-07 10:52:38 GMT+2; 2017-12-18 20:00; e70300-dr003
Everton; ; ; ; ; ; 4/6; 7/10; 4/6; ; ; ; 7/10; ; ; ; 8/11; 11/17; ; 3/4; ; ; ; ; 4/6; ; ; 8/13; ; 
Draw; ; ; ; ; ; 13/5; 13/5; 13/5; ; ; ; 13/5; ; ; ; 13/5; 11/4; ; 11/4; ; ; ; ; 13/5; ; ; 13/5; ; 
Swansea; ; ; ; ; ; 9/2; 9/2; 9/2; ; ; ; 4; ; ; ; 4; 9/2; ; 47/10; ; ; ; ; 9/2; ; ; 21/5; ; 
META; english/premier-league/everton-v-swansea; 2017-12-08 12:10:52 GMT+2; 2017-12-18 20:00; e70300-dr003
Everton; ; ; ; ; ; 4/6; 7/10; 4/6; ; ; ; 7/10; ; ; ; 7/10; 11/17; ; 3/4; ; ; 4/6; ; 4/6; ; ; 8/13; ; 
Draw; ; ; ; ; ; 13/5; 13/5; 13/5; ; ; ; 13/5; ; ; ; 13/5; 11/4; ; 11/4; ; ; 13/5; ; 13/5; ; ; 13/5; ; 
Swansea; ; ; ; ; ; 9/2; 9/2; 9/2; ; ; ; 4; ; ; ; 9/2; 9/2; ; 47/10; ; ; 9/2; ; 9/2; ; ; 21/5; ; 
META; english/premier-league/everton-v-swansea; 2017-12-11 18:11:28 GMT+2; 2017-12-18 20:00; e70300-dr003
Everton; 8/11; 8/11; 8/11; 3/4; 4/6; 3/4; 7/10; 8/11; 7/10; 8/11; 7/10; 8/11; ; 3/4; 8/11; 8/11; 4/6; 9/13; 37/50; 10/13; 7/10; 8/11; 8/11; 7/10; 9/13; ; 8/11; ; 4/6
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 11/4; 13/5; 13/5; 45/17; 12/5; 13/5; 13/5; ; 5/2; 13/5; 13/5; 5/2; 13/5; 139/50; 28/11; 45/17; 13/5; 13/5; 13/5; 45/17; ; 9/4; ; 13/5
Swansea; 4; 17/4; 4; 4; 17/4; 9/2; 17/4; 4; 4; 4; 9/2; 4; ; 4; 17/4; 9/2; 17/4; 41/10; ; 33/10; ; 17/4; 19/4; 17/4; 54/13; ; 7/2; ; 23/5
META; english/premier-league/everton-v-swansea; 2017-12-12 10:56:02 GMT+2; 2017-12-18 20:00; e70300-dr003
Everton; 8/11; 8/11; 8/11; 3/4; 4/6; 3/4; 7/10; 8/11; 7/10; 8/11; 7/10; 8/11; ; 3/4; 8/11; 8/11; 4/6; 9/13; 37/50; 10/13; 7/10; 8/11; 8/11; 7/10; 9/13; ; ; ; 
Draw; 5/2; 5/2; 5/2; 5/2; 27/10; 11/4; 13/5; 13/5; 45/17; 12/5; 13/5; 13/5; ; 5/2; 13/5; 13/5; 27/10; 13/5; 139/50; 28/11; 45/17; 13/5; 13/5; 13/5; 45/17; ; ; ; 
Swansea; 4; 17/4; 4; 4; 9/2; 9/2; 17/4; 4; 4; 4; 9/2; 4; ; 4; 17/4; 9/2; 9/2; 41/10; ; 33/10; ; 17/4; 19/4; 17/4; 17/4; ; ; ; 
