META; english/premier-league/brighton-v-arsenal; 2018-02-12 20:46:33 GMT+2; 2018-03-04 13:30; e70300-dr003
Arsenal; 8/11; 8/13; 11/18; 4/6; 4/6; 4/6; ; 8/13; 7/10; 8/13; ; 8/13; ; 13/20; 8/13; 8/13; 11/17; 11/17; 5/8; 7/10; 8/13; 4/6; ; 11/17; ; 4/6; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 13/4; 31/10; ; 11/4; 37/13; 14/5; ; 3; ; 29/10; 16/5; 11/4; 29/10; 29/10; 56/19; 37/13; 3; 29/10; ; 56/19; ; 14/5; ; 
Brighton; 7/2; 17/4; 21/5; 4; 23/5; 9/2; ; 4; 15/4; 21/5; ; 4; ; 17/4; 17/4; 15/4; 4; 17/4; 62/17; 37/10; 17/4; 9/2; ; 77/19; ; 4; ; 
META; english/premier-league/brighton-v-arsenal; 2018-02-16 18:35:38 GMT+2; 2018-03-04 13:30; e70300-dr003
Arsenal; 8/11; 8/13; 11/18; 4/6; 67/ 100; 13/20; 13/20; 8/13; 7/10; 8/13; ; 8/13; 4/6; 13/20; 8/13; 8/13; 11/17; 11/17; 11/17; 7/10; 8/13; 4/6; ; 11/17; ; 4/6; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 16/5; 3; 3; 11/4; 37/13; 14/5; ; 14/5; 3; 29/10; 16/5; 11/4; 29/10; 29/10; 56/19; 37/13; 3; 29/10; ; 56/19; ; 13/5; ; 
Brighton; 7/2; 17/4; 21/5; 4; 23/5; 4; 17/4; 4; 15/4; 21/5; ; 4; 4; 17/4; 17/4; 15/4; 4; 17/4; 39/11; 37/10; 17/4; 9/2; ; 77/19; ; 7/2; ; 
META; english/premier-league/brighton-v-arsenal; 2018-02-19 16:15:58 GMT+2; 2018-03-04 13:30; e70300-dr003
Arsenal; 8/11; 8/13; 11/18; 4/6; 67/100; 13/20; 13/20; 8/13; 5/8; 8/13; 7/10; 8/13; 4/6; 13/20; 13/20; 8/13; 11/17; 11/17; 11/17; 5/8; 8/13; 4/6; ; 11/17; ; 4/6; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 16/5; 3; 3; 11/4; 29/10; 14/5; 3; 14/5; 3; 29/10; 3; 11/4; 29/10; 29/10; 56/19; 29/10; 3; 31/10; ; 56/19; ; 13/5; ; 
Brighton; 7/2; 17/4; 21/5; 4; 23/5; 4; 17/4; 4; 17/4; 21/5; 4; 4; 4; 17/4; 17/4; 15/4; 77/19; 17/4; 39/11; 21/5; 17/4; 22/5; ; 41/10; ; 7/2; ; 
META; english/premier-league/brighton-v-arsenal; 2018-02-20 12:14:57 GMT+2; 2018-03-04 13:30; e70300-dr003
Arsenal; 13/20; 7/10; 11/18; 4/6; 18/25; 4/6; 4/6; 8/13; 13/19; 8/13; 7/10; 7/10; 8/11; 7/10; 7/10; 8/13; 4/6; 11/17; 13/19; 13/19; 4/6; 7/10; ; 4/6; ; 4/6; ; 
Draw; 14/5; 14/5; 29/10; 14/5; 31/10; 3; 29/10; 11/4; 14/5; 14/5; 3; 14/5; 3; 29/10; 14/5; 13/5; 37/13; 29/10; 29/10; 14/5; 3; 3; ; 29/10; ; 13/5; ; 
Brighton; 4; 19/5; 21/5; 4; 43/10; 4; 4; 4; 4; 21/5; 4; 15/4; 15/4; 4; 4; 15/4; 50/13; 17/4; 17/5; 4; 4; 17/4; ; 39/10; ; 7/2; ; 
META; english/premier-league/brighton-v-arsenal; 2018-02-24 12:13:57 GMT+2; 2018-03-04 13:30; e70300-dr003
Arsenal; 8/11; 4/5; 4/5; 4/6; 21/25; 3/4; 4/5; 8/13; 7/9; 4/5; 3/4; 4/5; 5/6; 4/5; 3/4; ; 4/5; 3/4; 4/5; 7/9; 4/5; 4/5; ; 4/5; ; 4/6; ; 
Draw; 11/4; 13/5; 13/5; 14/5; 74/25; 14/5; 14/5; 11/4; 14/5; 13/5; 3; 14/5; 14/5; 27/10; 3; 13/5; 11/4; 29/10; 11/4; 14/5; 14/5; 29/10; ; 11/4; ; 13/5; ; 
Brighton; 7/2; 10/3; 16/5; 4; 71/20; 15/4; 10/3; 4; 33/10; 16/5; 18/5; 16/5; 16/5; 10/3; 100/30; ; 13/4; 7/2; 37/13; 33/10; 100/30; 18/5; ; 13/4; ; 10/3; ; 
META; english/premier-league/brighton-v-arsenal; 2018-02-27 18:13:22 GMT+2; 2018-03-04 13:30; e70300-dr003
Arsenal; 5/6; 5/6; 5/6; 4/5; 10/11; 17/20; 20/23; 8/11; 5/6; 17/20; 17/20; 5/6; 5/6; ; 17/20; 4/5; 13/15; 11/13; 11/13; 5/6; 20/23; 17/20; 13/15; ; 5/6; 5/6; 5/6
Draw; 13/5; 11/4; 13/5; 11/4; 59/20; 11/4; 11/4; 13/5; 37/13; 27/10; 11/4; 13/5; 14/5; ; 14/5; 13/5; 27/10; 27/10; 37/13; 37/13; 14/5; 27/10; 11/4; ; 14/5; 14/5; 14/5
Brighton; 16/5; 3; 3; 16/5; 16/5; 16/5; 3; 3; 41/13; 16/5; 16/5; 16/5; 59/20; ; 3; 16/5; 31/10; 31/10; 16/5; 31/10; 10/3; 3; 41/13; ; 3; 3; 3
META; english/premier-league/brighton-v-arsenal; 2018-03-01 15:54:07 GMT+2; ; e70300-dr003
Arsenal l w l w l l; 5/6; 17/20; 5/6; 4/5; 43/50; 4/5; 5/6; 8/11; 5/6; 5/6; 17/20; 5/6; 5/6; 5/6; 17/20; 4/5; 13/15; 11/13; 11/13; 5/6; 5/6; 5/6; 13/15; 5/6; 5/6; 5/6
Draw; 13/5; 13/5; 13/5; 11/4; 3; 14/5; 11/4; 13/5; 37/13; 27/10; 3; 11/4; 14/5; 11/4; 14/5; 11/4; 27/10; 27/10; 37/13; 14/5; 14/5; 27/10; 11/4; 14/5; 14/5; 14/5
Brighton w d w d w w; 16/5; 16/5; 16/5; 16/5; 17/5; 7/2; 16/5; 10/3; 33/10; 16/5; 10/3; 3; 59/20; 10/3; 3; 16/5; 13/4; 31/10; 16/5; 13/4; 7/2; 3; 33/10; 3; 10/3; 
META; english/premier-league/brighton-v-arsenal; 2018-03-02 08:16:23 GMT+2; 2018-03-04 13:30; e70300-dr003
Arsenal; 10/11; 17/20; 5/6; 4/5; 43/50; 20/23; 17/20; 4/5; 5/6; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 4/5; 13/15; 11/13; 11/13; 5/6; 5/6; 5/6; 13/15; 5/6; 5/6; 5/6
Draw; 11/4; 13/5; 13/5; 11/4; 3; 29/10; 11/4; 13/5; 37/13; 27/10; 11/4; 11/4; 14/5; 11/4; 14/5; 13/5; 27/10; 27/10; 37/13; 14/5; 14/5; 27/10; 27/10; 27/10; 14/5; 14/5
Brighton; 10/3; 16/5; 16/5; 16/5; 17/5; 10/3; 16/5; 16/5; 33/10; 16/5; 3; 59/20; 16/5; 3; 16/5; 13/4; 31/10; 16/5; 13/4; 7/2; 3; 13/4; 3; 10/3; ; 
META; english/premier-league/brighton-v-arsenal; 2018-03-02 13:55:28 GMT+2; 2018-03-04 13:30; e70300-dr003
Arsenal; 10/11; 17/20; 5/6; 4/5; 87/100; 20/23; 5/6; 4/5; 11/13; 5/6; 5/6; 5/6; 5/6; 5/6; 17/20; 4/5; 5/6; 11/13; 11/13; 9/11; 5/6; 13/15; 5/6; 10/11; 9/10
Draw; 11/4; 13/5; 13/5; 11/4; 73/25; 29/10; 11/4; 13/5; 29/10; 27/10; 11/4; 13/5; 14/5; 27/10; 14/5; 13/5; 11/4; 27/10; 37/13; 37/13; 14/5; 14/5; 11/4; 14/5; 5/2
Brighton; 10/3; 16/5; 16/5; 16/5; 69/20; 10/3; 16/5; 16/5; 17/5; 16/5; 3; 16/5; 59/20; 16/5; 100/30; 16/5; 13/4; 31/10; 16/5; 33/10; 7/2; 33/10; 3; 10/3; 10/3
META; english/premier-league/brighton-v-arsenal; 2018-03-03 12:14:39 GMT+2; 2018-03-04 13:30; e70300-dr003
Arsenal; 19/20; 10/11; 20/23; 17/20; 19/20; 10/11; 10/11; 4/5; 39/40; 20/23; 5/6; 20/23; 10/11; 9/10; 19/20; 10/11; 10/11; 11/13; 10/11; 19/20; 9/10; 10/11; 19/20; 10/11; 20/21; 10/11
Draw; 11/4; 13/5; 13/5; 11/4; 137/50; 11/4; 13/5; 13/5; 45/17; 13/5; 11/4; 13/5; 13/5; 27/10; 11/4; 13/5; 13/5; 27/10; 27/10; 13/5; 11/4; 53/20; 45/17; 13/5; 27/10; 27/10
Brighton; 3; 29/10; 3; 10/3; 13/4; 16/5; 3; 16/5; 31/10; 3; 3; 31/10; 3; 58/19; 31/10; 58/19; 3; 10/3; 3; 31/10; 3; 3; ; ; ; 
