META; english/premier-league/newcastle-v-southampton; 2018-02-27 18:13:38 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 29/20; 6/4; 17/11; 6/4; ; 31/20; 8/5; 6/4; 16/11; 31/20; 8/5; 31/20; ; 8/5; 6/4; 6/4; 6/4; 6/4; 13/9; 16/11; 8/5; ; 17/11; ; 7/5; ; 
Southampton; 19/10; 15/8; 28/15; 15/8; ; 19/10; 19/10; 15/8; 19/10; 9/5; 19/10; 19/10; ; 15/8; 19/10; 15/8; 24/13; 19/10; 30/17; 19/10; 2; ; 19/10; ; 9/5; ; 
Draw; 11/5; 9/4; 21/10; 11/5; ; 11/5; 21/10; 21/10; 9/4; 21/10; 9/4; 21/10; ; 21/10; 9/4; 21/10; 28/13; 11/5; 9/4; 9/4; 11/5; ; 28/13; ; 2; ; 
META; english/premier-league/newcastle-v-southampton; 2018-03-01 15:54:26 GMT+2; ; e70300-dr003
Newcastle; 29/20; 6/4; 31/20; 6/4; 31/20; 8/5; 7/5; 16/11; 31/20; 8/5; 31/20; 8/5; 6/4; 6/4; 6/4; 6/4; 13/9; 16/11; 8/5; 7/5; 
Southampton; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 17/10; 19/10; 9/5; 19/10; 19/10; 15/8; 19/10; 15/8; 9/5; 19/10; 30/17; 19/10; 2; 24/13; 9/5
Draw; 11/5; 9/4; 21/10; 11/5; 23/10; 21/10; 21/10; 9/4; 21/10; 9/4; 21/10; 21/10; 9/4; 21/10; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 21/10
META; english/premier-league/newcastle-v-southampton; 2018-03-02 08:16:41 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 29/20; 6/4; 31/20; 6/4; 31/20; 8/5; 7/5; 16/11; 31/20; 8/5; 31/20; 8/5; 6/4; 6/4; 6/4; 6/4; 13/9; 16/11; 8/5; 7/5; 
Southampton; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 17/10; 19/10; 9/5; 19/10; 19/10; 15/8; 19/10; 15/8; 9/5; 19/10; 30/17; 19/10; 2; 24/13; 9/5
Draw; 11/5; 9/4; 21/10; 11/5; 23/10; 21/10; 21/10; 9/4; 21/10; 9/4; 21/10; 21/10; 9/4; 21/10; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 21/10
META; english/premier-league/newcastle-v-southampton; 2018-03-02 13:55:46 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 29/20; 6/4; 31/20; 6/4; 31/20; 8/5; 7/5; 16/11; 31/20; 8/5; 31/20; 8/5; 6/4; 6/4; 17/11; 6/4; 13/9; 16/11; 8/5; 7/5; 
Southampton; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 17/10; 19/10; 9/5; 19/10; 19/10; 15/8; 19/10; 15/8; 24/13; 19/10; 30/17; 19/10; 2; 24/13; 9/5
Draw; 11/5; 9/4; 21/10; 11/5; 23/10; 21/10; 21/10; 9/4; 21/10; 9/4; 21/10; 21/10; 9/4; 21/10; 28/13; 11/5; 9/4; 9/4; 11/5; 28/13; 21/10
META; english/premier-league/newcastle-v-southampton; 2018-03-03 12:14:58 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 29/20; 6/4; 31/20; 6/4; 6/4; 8/5; 7/5; 16/11; 31/20; 8/5; 31/20; 6/4; 8/5; 6/4; 6/4; 17/11; 6/4; 13/9; 16/11; 8/5; 7/5; 
Southampton; 19/10; 15/8; 15/8; 15/8; 19/10; 19/10; 17/10; 19/10; 9/5; 19/10; 19/10; 15/8; 15/8; 19/10; 19/10; 24/13; 19/10; 30/17; 19/10; 2; 24/13; 9/5
Draw; 11/5; 9/4; 21/10; 11/5; 9/4; 21/10; 21/10; 9/4; 21/10; 9/4; 21/10; 23/10; 21/10; 9/4; 11/5; 28/13; 11/5; 9/4; 9/4; 11/5; 2; 
META; english/premier-league/newcastle-v-southampton; 2018-03-05 20:13:40 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 7/4; 7/4; 17/10; 6/4; 9/5; 7/4; 17/10; 7/5; 7/4; 17/10; 6/4; 13/8; 33/20; 7/4; 7/4; 13/8; 17/10; 17/10; 22/13; 7/4; 7/4; 7/4; 7/4; 17/10; 13/8; 7/4
Southampton; 13/8; 17/10; 7/4; 15/8; 37/20; 9/5; 7/4; 17/10; 7/4; 7/4; 9/5; 7/4; 93/50; 7/4; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 7/4; 7/4; 9/5; 9/5
Draw; 21/10; 21/10; 2; 11/5; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 21/10; 11/5; 2; 28/13; 21/10; 11/5; 11/5
META; english/premier-league/newcastle-v-southampton; 2018-03-06 14:59:21 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 7/4; 17/10; 17/10; 6/4; 181/00; 17/10; 17/10; 7/5; 7/4; 33/20; 6/4; 13/8; 33/20; 17/10; 7/4; 13/8; 17/10; 17/10; 22/13; 7/4; 17/10; 7/4; 13/8; 17/10; 7/4
Southampton; 13/8; 7/4; 7/4; 9/5; 46/25; 15/8; 7/4; 17/10; 7/4; 17/10; 9/5; 7/4; 93/50; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; 9/5; 7/4; 9/5; 15/8; 9/5
Draw; 21/10; 21/10; 2; 11/5; 9/4; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 21/10; 2; 28/13; 2; 21/10; 11/5; 
META; english/premier-league/newcastle-v-southampton; 2018-03-08 10:11:16 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 13/8; 13/8; 33/20; 6/4; 89/50; 17/10; 17/10; 8/5; 7/4; 33/20; 6/4; 13/8; 33/20; 17/10; 17/10; 13/8; 17/10; 17/10; 48/29; 17/10; 7/4; 17/10; 17/10; 13/8; 13/8; 17/10; 17/10
Southampton; 7/4; 9/5; 9/5; 9/5; 19/10; 19/10; 9/5; 9/5; 19/10; 9/5; 9/5; 7/4; 93/50; 9/5; 9/5; 7/4; 24/13; 9/5; 24/13; 24/13; 15/8; 9/5; 24/13; 15/8; 9/5; 15/8; 19/10
Draw; 21/10; 21/10; 2; 11/5; 111/50; 11/5; 21/10; 2; 11/5; 21/10; 2; 21/10; 2; 21/10; 21/10; 21/10; 28/13; 21/10; 11/5; 28/13; 85/40; 2; 28/13; 2; 19/10; 21/10; 
META; english/premier-league/newcastle-v-southampton; 2018-03-08 12:14:32 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 13/8; 13/8; 13/8; 13/8; 89/50; 17/10; 17/10; 8/5; 7/4; 33/20; 6/4; 13/8; 33/20; 17/10; 17/10; 8/5; 17/10; 17/10; 48/29; 17/10; 7/4; 17/10; 17/10; 13/8; 13/8; 17/10; 17/10
Southampton; 7/4; 9/5; 9/5; 19/10; 19/10; 19/10; 9/5; 9/5; 19/10; 9/5; 9/5; 7/4; 93/50; 9/5; 9/5; 15/8; 24/13; 9/5; 24/13; 24/13; 15/8; 9/5; 24/13; 15/8; 9/5; 19/10; 19/10
Draw; 21/10; 21/10; 2; 111/0; 11/5; 21/10; 2; 11/5; 21/10; 2; 21/10; 2; 21/10; 21/10; 21/10; 28/13; 21/10; 11/5; 28/13; 85/40; 2; 28/13; 2; 21/10; 21/10; ; 
META; english/premier-league/newcastle-v-southampton; 2018-03-09 12:13:51 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 9/5; 7/4; 7/4; 13/8; 15/8; 9/5; 7/4; 17/10; 24/13; 7/4; 7/4; 7/4; 33/20; 7/4; 9/5; 17/10; 17/10; 17/10; 24/13; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5
Southampton; 9/5; 17/10; 33/20; 19/10; 46/25; 15/8; 7/4; 7/4; 9/5; 17/10; 9/5; 17/10; 93/50; 7/4; 9/5; 7/4; 24/13; 9/5; 48/29; 7/4; 7/4; 9/5; 9/5; 15/8; 9/5
Draw; 11/5; 21/10; 21/10; 2; 109/50; 11/5; 21/10; 21/10; 28/13; 21/10; 21/10; 21/10; 2; 43/20; 21/10; 21/10; 28/13; 21/10; 28/13; 21/10; 21/10; 2; 21/10; 21/10; 21/10
META; english/premier-league/newcastle-v-southampton; 2018-03-09 14:03:18 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 9/5; 17/10; 17/10; 13/8; 91/50; 9/5; 7/4; 17/10; 24/13; 17/10; 7/4; 7/4; 33/20; 7/4; 9/5; 17/10; 17/10; 17/10; 30/17; 9/5; 9/5; 7/4; 17/10; 7/4; 7/4; 9/5; 9/5
Southampton; 9/5; 7/4; 17/10; 19/10; 191/100; 15/8; 9/5; 7/4; 9/5; 7/4; 9/5; 17/10; 93/50; 9/5; 9/5; 7/4; 24/13; 9/5; 30/17; 7/4; 9/5; 9/5; 24/13; 9/5; 9/5; 15/8; 15/8
Draw; 11/5; 21/10; 21/10; 2; 43/20; 11/5; 21/10; 21/10; 28/13; 21/10; 21/10; 21/10; 2; 43/20; 21/10; 21/10; 28/13; 21/10; 28/13; 21/10; 11/5; 21/10; 28/13; 2; 21/10; 21/10; 21/10
META; english/premier-league/newcastle-v-southampton; 2018-03-10 12:14:19 GMT+2; 2018-03-10 15:00; e70300-dr003
Newcastle; 9/5; 17/10; 7/4; 9/5; 37/20; 9/5; 9/5; 17/10; 24/13; 7/4; 9/5; 7/4; 7/4; 7/4; 9/5; 7/4; 17/10; 7/4; 23/13; 9/5; 7/4; 7/4; 17/10; 17/10; 7/4; 9/5; 9/5
Southampton; 9/5; 17/10; 7/4; 9/5; 93/50; 9/5; 9/5; 17/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 24/13; 7/4; 31/18; 7/4; 15/8; 7/4; 24/13; 9/5; 9/5; 9/5; 9/5
Draw; 11/5; 21/10; 21/10; 21/10; 109/0; 9/4; 21/10; 21/10; 28/13; 11/5; 9/4; 21/10; 21/10; 43/20; 11/5; 21/10; 28/13; 21/10; 11/5; 21/10; 11/5; 21/10; 28/13; 21/10; 11/5; 11/5; 11/5
