META; english/premier-league/brighton-v-tottenham; 2018-04-03 18:14:49 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/9; 1/2; 7/15; 4/9; 4/9; 4/9; 4/9
Draw; 16/5; 69/20; 10/3; 13/4; 16/5; 13/4; 16/5
Brighton; 13/2; 71/10; 13/2; 13/2; 13/2; 6; 
META; english/premier-league/brighton-v-tottenham; 2018-04-04 08:14:25 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/9; 1/2; 7/15; 4/9; 4/9; 4/9; 4/9
Draw; 16/5; 69/20; 10/3; 13/4; 16/5; 13/4; 16/5
Brighton; 13/2; 71/10; 13/2; 13/2; 13/2; 6; 
META; english/premier-league/brighton-v-tottenham; 2018-04-04 18:15:33 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/9; 1/2; 7/15; 4/9; 4/9; 4/9; 4/9
Draw; 16/5; 69/20; 10/3; 13/4; 16/5; 13/4; 16/5
Brighton; 13/2; 71/10; 13/2; 13/2; 13/2; 6; 
META; english/premier-league/brighton-v-tottenham; 2018-04-05 13:09:02 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/9; 12/25; 4/9; 4/9; 4/9; 4/9
Draw; 16/5; 71/20; 10/3; 13/4; 16/5; 13/4
Brighton; 13/2; 73/10; 13/2; 13/2; 13/2; 6
META; english/premier-league/brighton-v-tottenham; 2018-04-06 08:14:25 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/9; 12/25; 4/9; 4/9; 4/9; 4/9
Draw; 16/5; 71/20; 10/3; 13/4; 16/5; 13/4
Brighton; 13/2; 73/10; 13/2; 13/2; 13/2; 6
META; english/premier-league/brighton-v-tottenham; 2018-04-07 12:15:15 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/9; 12/25; 4/9; 4/9; 4/9; 4/9
Draw; 16/5; 71/20; 10/3; 13/4; 16/5; 13/4
Brighton; 13/2; 73/10; 13/2; 13/2; 13/2; 6
META; english/premier-league/brighton-v-tottenham; 2018-04-10 08:13:34 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/11; 4/11; 2/5; 21/50; 4/11; 2/5; 1/3; 3/8; 2/5; 4/11; 2/5; 2/5; 4/9; 4/11; 3/8; 4/11; 3/8; 3/8; 3/10; 
Draw; 15/4; 18/5; 7/2; 41/10; 18/5; 15/4; 7/2; 7/2; 7/2; 18/5; 7/2; 18/5; 7/2; 15/4; 62/17; 18/5; 7/2; 15/4; 37/10; 14/5
Brighton; 7; 7; 39/5; 8; 7; 15/2; 7; 15/2; 7; 13/2; 7; 29/5; 7; 21/10; ; ; ; ; ; 
META; english/premier-league/brighton-v-tottenham; 2018-04-11 12:50:59 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/11; 4/11; 2/5; 21/50; 4/11; 2/5; 1/3; 3/8; 2/5; 4/11; 2/5; 2/5; 4/9; 4/11; 3/8; 4/11; 3/8; 3/8; 4/11; 2/5; 
Draw; 15/4; 18/5; 7/2; 41/10; 18/5; 15/4; 7/2; 7/2; 7/2; 18/5; 7/2; 18/5; 7/2; 15/4; 62/17; 18/5; 7/2; 15/4; 37/10; 3; 7/2
Brighton; 7; 7; 39/5; 8; 7; 15/2; 7; 15/2; 7; 13/2; 7; 27/4; 29/5; 7; 11/2; 37/5; ; ; ; ; 
META; english/premier-league/brighton-v-tottenham; 2018-04-11 16:46:11 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/11; 4/11; 2/5; 21/50; 4/11; 2/5; 1/3; 3/8; 2/5; 4/11; 2/5; 2/5; 4/9; 4/11; 3/8; 4/11; 3/8; 3/8; 4/11; 2/5; 
Draw; 15/4; 18/5; 7/2; 41/10; 18/5; 15/4; 7/2; 7/2; 7/2; 18/5; 7/2; 18/5; 7/2; 15/4; 62/17; 18/5; 7/2; 15/4; 37/10; 3; 7/2
Brighton; 7; 7; 39/5; 8; 7; 15/2; 7; 15/2; 7; 13/2; 7; 27/4; 29/5; 7; 11/2; 37/5; ; ; ; ; 
META; english/premier-league/brighton-v-tottenham; 2018-04-11 20:14:56 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/11; 4/11; 2/5; 21/50; 4/11; 2/5; 1/3; 3/8; 2/5; 4/11; 2/5; 2/5; 4/9; 4/11; 3/8; 4/11; 3/8; 4/11; 3/8; 4/11; 2/5
Draw; 15/4; 18/5; 7/2; 41/10; 15/4; 15/4; 7/2; 7/2; 7/2; 19/5; 7/2; 18/5; 7/2; 15/4; 62/17; 18/5; 7/2; 4; 37/10; 7/2; 10/3
Brighton; 7; 7; 39/5; 7; 13/2; 15/2; 7; 15/2; 7; 13/2; 7; 27/4; 29/5; 7; 7; 28/5; 31/5; ; ; ; 
META; english/premier-league/brighton-v-tottenham; 2018-04-12 10:42:18 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/11; 4/11; 2/5; 21/50; 2/5; 1/3; 3/8; 2/5; 2/5; 2/5; 4/9; 4/11; 3/8; 4/11; 3/8; 4/11; 3/8; 2/5; 2/5; ; 
Draw; 15/4; 18/5; 7/2; 41/10; 15/4; 15/4; 7/2; 7/2; 7/2; 19/5; 7/2; 18/5; 7/2; 15/4; 62/17; 18/5; 7/2; 4; 37/10; 7/2; 7/2
Brighton; 7; 7; 39/5; 7; 13/2; 15/2; 7; 15/2; 7; 13/2; 7; 27/4; 29/5; 7; 7; 23/10; 37/5; ; ; ; 
META; english/premier-league/brighton-v-tottenham; 2018-04-13 08:13:23 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/11; 4/11; 2/5; 9/20; 2/5; 1/3; 3/8; 2/5; 2/5; 4/9; 4/9; 4/11; 2/5; 4/11; 3/8; 2/5; 7/17; 2/5; 4/9; ; 
Draw; 15/4; 18/5; 7/2; 79/20; 15/4; 15/4; 7/2; 7/2; 17/5; 19/5; 7/2; 7/2; 7/2; 15/4; 62/17; 18/5; 7/2; 19/5; 37/10; 7/2; 7/2
Brighton; 7; 7; 71/10; 7; 13/2; 15/2; 13/2; 7; 13/2; 7; 13/2; 7; 27/4; 29/5; 7; 27/4; 29/5; 34/5; ; ; 
META; english/premier-league/brighton-v-tottenham; 2018-04-13 16:13:26 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/11; 4/11; 2/5; 9/20; 2/5; 1/3; 3/8; 2/5; 2/5; 4/9; 4/9; 2/5; 5/12; 4/11; 3/8; 4/9; 3/7; 2/5; 4/9; ; 
Draw; 15/4; 18/5; 7/2; 79/20; 15/4; 15/4; 7/2; 7/2; 17/5; 19/5; 7/2; 7/2; 7/2; 15/4; 7/2; 18/5; 7/2; 19/5; 39/11; 7/2; 7/2
Brighton; 7; 7; 71/10; 7; 13/2; 15/2; 13/2; 7; 13/2; 7; 13/2; 7; 13/2; 29/5; 7; 27/4; 33/5; 34/5; ; ; 
META; english/premier-league/brighton-v-tottenham; 2018-04-14 12:15:15 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 4/11; 4/11; 2/5; 9/20; 2/5; 1/3; 3/8; 2/5; 2/5; 2/5; 4/9; 4/9; 2/5; 3/7; 5/12; 4/11; 3/8; 2/5; 3/7; 2/5; 4/9; ; 
Draw; 15/4; 18/5; 7/2; 79/20; 15/4; 15/4; 7/2; 7/2; 17/5; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 18/5; 15/4; 18/5; 7/2; 19/5; 62/17; 7/2; 7/2
Brighton; 7; 7; 71/10; 7; 13/2; 13/2; 15/2; 13/2; 7; 13/2; 7; 13/2; 15/2; 27/4; 25/4; 29/5; 7; 33/5; 34/5; ; ; ; 
META; english/premier-league/brighton-v-tottenham; 2018-04-16 20:34:56 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 11/20; 1/2; 4/7; 8/15; 59/00; 11/20; 5/9; 1/2; 6/11; 4/7; 1/2; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; 10/21; 4/7; 8/15; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7
Draw; 10/3; 16/5; 3; 10/3; 17/5; 10/3; 16/5; 16/5; 17/5; 3; 7/2; 3; 10/3; 3; 16/5; 41/13; 17/5; 57/17; 33/10; 10/3; 16/5; 10/3; 3; 3; ; ; 
Brighton; 11/2; 11/2; 19/4; 11/2; 53/10; 11/2; 5; 11/2; 11/2; 24/5; 6; 9/2; 5; 11/2; 5; 11/2; 5; 23/4; 24/5; 27/5; 21/4; 96/19; 5; 26/5; 26/5; 27/5; 27/5
META; english/premier-league/brighton-v-tottenham; 2018-04-17 20:37:12 GMT+3; 2018-04-17 19:45; e70300-dr003
Tottenham; 8/15; 1/2; 8/15; 8/15; 27/50; 8/15; 8/15; 1/2; 11/21; 8/15; 8/15; 11/20; 8/15; 11/20; 11/20; 8/15; 8/15; 8/15; 5/9; 1/2; 8/15; 18/35; 8/15; 1/2; 8/15; 8/15; 8/15
Draw; 10/3; 10/3; 16/5; 16/5; 69/20; 10/3; 10/3; 16/5; 38/11; 16/5; 10/3; 16/5; 16/5; 10/3; 100/0; 10/3; 13/4; 31/10; 13/4; 57/17; 17/5; 13/4; 7/2; 3; 10/3; 10/3; 10/3
Brighton; 6; 11/2; 5; 11/2; 61/10; 6; 11/2; 11/2; 6; 6; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 5; 23/4; 11/2; 61/11; 11/2; 29/5; 29/5; 6; ; ; 
