META; english/premier-league/man-city-v-west-brom; 2018-01-07 12:12:42 GMT+2; 2018-01-31 20:00; e70300-dr003
Man City; ; ; ; ; 1/9; ; ; 1/16; ; ; ; ; ; ; ; ; 1/9; ; 1/9; ; ; 1/10; ; 1/11; ; ; ; ; 
Draw; ; ; ; ; 23/2; ; ; 10; ; ; ; ; ; ; ; ; 9; ; 9; ; ; 10; ; 9; ; ; ; ; 
West Brom; ; ; ; ; 28; ; ; 22; ; ; ; ; ; ; ; ; 18; ; 18; ; ; 22; ; 22; ; ; ; ; 
META; english/premier-league/man-city-v-west-brom; 2018-01-10 12:18:30 GMT+2; ; e70300-dr003
Man City; ; ; ; ; 1/9; 1/14; ; 1/14; ; ; ; ; ; ; ; ; 1/9; ; 1/9; ; ; 1/10; ; 1/11; ; ; 1/8; ; 
Draw; ; ; ; ; 23/2; 13; ; 13; ; ; ; ; ; ; ; ; 9; ; 9; ; ; 10; ; 9; ; ; 6; ; 
West Brom; ; ; ; ; 28; 28; ; 25; ; ; ; ; ; ; ; ; 18; ; 18; ; ; 22; ; 22; ; ; 76/5; ; 
META; english/premier-league/man-city-v-west-brom; 2018-01-10 13:39:44 GMT+2; 2018-01-31 20:00; e70300-dr003
Man City; ; ; ; ; 1/9; 1/14; ; 1/14; ; ; ; ; ; ; ; ; 1/9; ; 1/9; ; ; 1/10; ; 1/11; ; 1/8; ; 
Draw; ; ; ; ; 23/2; 13; ; 13; ; ; ; ; ; ; ; ; 9; ; 9; ; ; 10; ; 9; ; 6; ; 
West Brom; ; ; ; ; 28; 28; ; 25; ; ; ; ; ; ; ; ; 18; ; 18; ; ; 22; ; 22; ; 76/5; ; 
META; english/premier-league/man-city-v-west-brom; 2018-01-17 12:22:57 GMT+2; 2018-01-31 20:00; e70300-dr003
Man City; 1/10; 1/7; 1/8; 1/8; 2/13; 1/9; 1/9; 1/9; 1/10; 1/8; ; 1/7; ; 1/7; 1/7; 1/9; 2/17; 2/17; 2/17; 2/17; 1/10; 2/15; 1/8; 1/8; 2/17; 1/7; ; 
Draw; 9; 7; 15/2; 15/2; 19/2; 17/2; 17/2; 17/2; 9; 15/2; ; 7; ; 7; 15/2; 7; 35/4; 29/4; 35/4; 71/10; 9; 8; 17/2; 7; 29/4; 7/2; ; 
West Brom; 18; 16; 22; 18; 19; 28; 22; 25; 22; 22; ; 18; ; 20; 16; 14; 18; 75/4; 18; 14; 20; 20; 28; 20; 19; 7/2; ; 
META; english/premier-league/man-city-v-west-brom; 2018-01-18 18:17:03 GMT+2; 2018-01-31 20:00; e70300-dr003
Man City; 1/10; 1/7; 1/8; 1/8; 2/13; 1/9; 1/9; 1/9; 1/10; 1/8; ; 1/7; ; 1/7; 1/7; 1/9; 2/17; 2/17; 2/17; 2/17; 1/10; 2/15; 2/17; 1/8; 2/17; 1/7; ; 
Draw; 9; 7; 15/2; 15/2; 19/2; 17/2; 17/2; 17/2; 9; 15/2; ; 7; ; 7; 15/2; 7; 35/4; 29/4; 35/4; 71/10; 9; 8; 9; 7; 29/4; 7; ; 
West Brom; 18; 16; 22; 18; 19; 28; 22; 25; 22; 22; ; 18; ; 20; 16; 14; 18; 19; 18; 14; 20; 20; 28; 20; 77/4; 23; ; 
META; english/premier-league/man-city-v-west-brom; 2018-01-19 12:13:13 GMT+2; 2018-01-31 20:00; e70300-dr003
Man City; 1/10; 1/7; 1/8; 1/8; 2/13; 1/9; 1/9; 1/9; 2/17; 1/8; ; 1/7; ; 1/7; 1/7; 1/9; 2/17; 2/17; 2/17; 2/17; 2/17; 2/15; 2/17; 1/8; 2/17; ; 2/15; ; 
Draw; 9; 7; 15/2; 15/2; 19/2; 17/2; 8; 17/2; 15/2; 15/2; ; 7; ; 7; 15/2; 7; 35/4; 7; 35/4; 71/10; 15/2; 8; 9; 7; 7; ; 7; ; 
West Brom; 18; 16; 22; 18; 19; 28; 22; 25; 24; 22; ; 18; ; 20; 16; 14; 18; 77/4; 18; 14; 22; 20; 28; 20; 39/2; ; 23; ; 
META; english/premier-league/man-city-v-west-brom; 2018-01-22 12:12:19 GMT+2; 2018-01-31 20:00; e70300-dr003
Man City; 1/9; 1/7; 1/8; 1/8; 2/13; 2/15; 1/9; 1/8; 2/17; 2/15; ; 1/7; ; 1/7; 2/13; 1/9; 1/10; 1/9; 1/10; 1/7; 2/17; 1/7; 1/8; 1/7; 1/9; 2/15; ; 1/7
Draw; 9; 7; 7; 15/2; 43/5; 9; 17/2; 17/2; 15/2; 7; ; 7; ; 13/2; 7; 7; 9; 31/4; 9; 15/2; 15/2; 15/2; 17/2; 13/2; 31/4; 19/2; ; 43/5
West Brom; 14; 16; 25; 18; 22; 25; 22; 22; 24; 25; ; 18; ; 20; 16; 16; 22; 39/2; 22; 20; 22; 18; 28; 18; 79/4; 23; ; 22
META; english/premier-league/man-city-v-west-brom; 2018-01-23 02:11:52 GMT+2; 2018-01-31 20:00; e70300-dr003
Man City; 1/9; 1/7; 1/8; 1/8; 3/20; 2/15; 1/9; 1/8; 2/17; 1/8; ; 1/7; ; 1/7; 2/13; 1/9; 1/10; 1/9; 1/10; 1/7; 2/17; 1/7; 1/8; 2/15; 1/9; 1/8; 1/8; 1/7
Draw; 9; 7; 15/2; 15/2; 44/5; 9; 17/2; 17/2; 15/2; 7; ; 7; ; 7; 7; 7; 9; 31/4; 9; 15/2; 15/2; 15/2; 17/2; 13/2; 31/4; 9; 27/5; 43/5
West Brom; 14; 16; 25; 18; 22; 25; 22; 22; 24; 25; ; 18; ; 20; 16; 16; 22; 79/4; 22; 20; 22; 18; 28; 20; 79/4; 23; 19; 22
META; english/premier-league/man-city-v-west-brom; 2018-01-23 17:17:55 GMT+2; 2018-01-31 20:00; e70300-dr003
Man City; 1/9; 1/7; 1/8; 1/8; 3/20; 2/17; 1/9; 1/8; 2/17; 1/8; ; 1/7; ; 1/7; 2/13; 1/9; 1/10; 2/17; 1/10; 1/7; 2/17; 1/7; 1/8; 2/15; 2/17; 2/15; 1/8; 2/13
Draw; 9; 7; 15/2; 15/2; 44/5; 17/2; 8; 17/2; 15/2; 7; ; 7; ; 7; 7; 7; 9; 29/4; 9; 15/2; 15/2; 15/2; 17/2; 13/2; 29/4; 9; 17/2; 43/5
West Brom; 14; 16; 25; 18; 22; 22; 22; 22; 24; 25; ; 18; ; 20; 16; 18; 22; 37/2; 22; 20; 22; 18; 28; 20; 75/4; 23; 20; 22
META; english/premier-league/man-city-v-west-brom; 2018-01-24 12:13:20 GMT+2; 2018-01-31 20:00; e70300-dr003
Man City; 1/8; 1/7; 1/8; 1/8; 2/13; 1/8; 1/9; 1/8; 2/17; 2/15; 1/8; 1/7; ; 1/7; 2/13; 1/9; 1/7; 2/17; 1/7; 2/13; 2/17; 1/7; 1/8; 2/15; 2/17; ; 1/7; 1/7; 2/13
Draw; 8; 7; 7; 15/2; 43/5; 8; 8; 8; 15/2; 7; 7; 13/2; ; 7; 7; 7; 15/2; 7; 15/2; 15/2; 15/2; 15/2; 17/2; 13/2; 29/4; ; 17/2; 17/2; 43/5
