META; english/premier-league/arsenal-v-stoke; 2018-03-12 20:14:06 GMT+2; 2018-04-01 13:30; e70300-dr003
Arsenal; 4/11; 4/11; 4/11; 2/5; 7/19; 4/11; 2/5; 1/3; 10/29; 2/5; 7/19; 7/19; 4/11; 7/20; 10/29
Draw; 4; 4; 9/2; 15/4; 4; 17/4; 15/4; 21/5; 37/10; 4; 37/10; 21/5; 4; 17/4; 
Stoke; 13/2; 13/2; 7; 15/2; 15/2; 7; 6; 7; 57/10; 7; 15/2; 7; ; ; 
META; english/premier-league/arsenal-v-stoke; 2018-03-13 12:16:42 GMT+2; 2018-04-01 13:30; e70300-dr003
Arsenal; 4/11; 4/11; 4/11; 41/00; 7/19; 4/11; 2/5; 1/3; 10/29; 4/11; 7/19; 7/19; 4/11; 7/20; 10/29
Draw; 4; 4; 22/5; 15/4; 4; 17/4; 15/4; 21/5; 17/4; 4; 37/10; 22/5; 4; 17/4; 
Stoke; 13/2; 13/2; 7; 73/10; 15/2; 7; 6; 27/4; 29/4; 57/10; 7; 15/2; 7; ; 
META; english/premier-league/arsenal-v-stoke; 2018-03-13 20:14:33 GMT+2; 2018-04-01 13:30; e70300-dr003
Arsenal; 4/11; 4/11; 4/11; 41/00; 3/10; 3/10; 7/19; 4/11; 2/5; 1/3; 10/29; 4/11; 7/19; 7/19; 4/11; 7/20; 10/29; 1/4
Draw; 4; 4; 22/5; 15/4; 7/2; 15/4; 4; 17/4; 15/4; 21/5; 17/4; 4; 37/10; 22/5; 4; 17/4; 10/3; 
Stoke; 13/2; 13/2; 7; 73/10; 6; 15/2; 7; 6; 27/4; 29/4; 57/10; 7; 15/2; 7; 11/2; ; ; 
META; english/premier-league/arsenal-v-stoke; 2018-03-14 20:14:19 GMT+2; 2018-04-01 13:30; e70300-dr003
Arsenal; 4/11; 4/11; 4/11; 41/00; 3/10; 3/10; 7/19; 4/11; 4/11; 2/5; 1/3; 10/29; 4/11; 7/19; 7/19; 4/11; 7/20; 10/29; 1/4
Draw; 4; 4; 22/5; 15/4; 7/2; 15/4; 15/4; 4; 17/4; 15/4; 21/5; 17/4; 4; 37/10; 22/5; 4; 17/4; 10/3; 
Stoke; 13/2; 13/2; 7; 73/10; 6; 15/2; 7; 6; 27/4; 29/4; 57/10; 7; 15/2; 7; 11/2; ; ; ; 
META; english/premier-league/arsenal-v-stoke; 2018-03-15 10:20:47 GMT+2; 2018-04-01 13:30; e70300-dr003
Arsenal; 4/11; 4/11; 4/11; 41/00; 3/10; 3/10; 7/19; 4/11; 4/11; 2/5; 1/3; 10/29; 4/11; 6/17; 7/19; 4/11; 7/20; 10/29; 1/4
Draw; 4; 4; 22/5; 15/4; 7/2; 15/4; 15/4; 4; 17/4; 15/4; 21/5; 17/4; 4; 37/10; 22/5; 4; 17/4; 10/3; 
Stoke; 13/2; 13/2; 7; 73/10; 6; 15/2; 7; 6; 27/4; 29/4; 59/10; 7; 15/2; 7; 11/2; ; ; ; 
META; english/premier-league/arsenal-v-stoke; 2018-03-15 13:06:44 GMT+2; 2018-04-01 13:30; e70300-dr003
Arsenal; 4/11; 4/11; 4/11; 41/00; 3/10; 3/10; 7/19; 4/11; 4/11; 2/5; 1/3; 10/29; 4/11; 6/17; 7/19; 4/11; 7/20; 10/29; 1/4
Draw; 4; 4; 22/5; 15/4; 7/2; 15/4; 15/4; 4; 17/4; 15/4; 21/5; 17/4; 4; 37/10; 22/5; 4; 17/4; 10/3; 
Stoke; 13/2; 13/2; 7; 73/10; 6; 15/2; 7; 6; 27/4; 29/4; 59/10; 7; 15/2; 7; 11/2; ; ; ; 
META; english/premier-league/arsenal-v-stoke; 2018-03-15 20:14:26 GMT+2; 2018-04-01 13:30; e70300-dr003
Arsenal; 4/11; 4/11; 4/11; 2/5; 3/10; 4/11; 3/10; 7/19; 4/11; 4/11; 2/5; 1/3; 10/29; 4/11; 6/17; 7/19; 4/11; 7/20; 10/29; 1/4
Draw; 4; 4; 22/5; 15/4; 17/4; 7/2; 15/4; 15/4; 4; 17/4; 15/4; 21/5; 17/4; 4; 37/10; 22/5; 4; 17/4; 10/3; 
Stoke; 13/2; 13/2; 7; 38/5; 6; 6; 15/2; 7; 6; 7; 29/4; 6; 8; 15/2; 7; 11/2; ; ; ; 
META; english/premier-league/arsenal-v-stoke; 2018-03-16 10:15:16 GMT+2; 2018-04-01 13:30; e70300-dr003
Arsenal; 4/11; 4/11; 4/11; 2/5; 3/10; 4/11; 3/10; 7/19; 4/11; 4/11; 2/5; 1/3; 4/11; 4/11; 6/17; 7/19; 4/11; 7/20; 4/11; 3/10
