META; english/premier-league/newcastle-v-burnley; 2018-01-07 12:12:37 GMT+2; 2018-01-31 19:45; e70300-dr003
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; 6/5; ; 6/5; ; ; 5/4; ; 6/5; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; ; 11/5; ; 21/10; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; 5/2; ; 5/2; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-10 12:18:25 GMT+2; ; e70300-dr003
Newcastle; ; ; ; ; 7/5; 23/20; ; 11/10; ; ; ; ; ; ; ; ; 6/5; ; 6/5; ; ; 5/4; ; 6/5; ; ; 1/25; ; 
Draw; ; ; ; ; 54/25; 23/10; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; ; 11/5; ; 21/10; ; ; 2; ; 
Burnley; ; ; ; ; 51/20; 13/5; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; 5/2; ; 5/2; ; ; 20/21; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-10 13:39:39 GMT+2; 2018-01-31 19:45; e70300-dr003
Newcastle; ; ; ; ; 7/5; 23/20; ; 11/10; ; ; ; ; ; ; ; ; 6/5; ; 6/5; ; ; 5/4; ; 6/5; ; 1/25; ; 
Draw; ; ; ; ; 54/25; 23/10; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; ; 11/5; ; 21/10; ; 2; ; 
Burnley; ; ; ; ; 51/20; 13/5; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; 5/2; ; 5/2; ; 20/21; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-17 12:22:52 GMT+2; 2018-01-31 19:45; e70300-dr003
Newcastle; 5/4; 13/10; 23/17; 13/10; 36/25; 13/10; 11/8; 13/10; 23/17; 27/20; ; 11/8; ; 29/20; 11/8; 11/8; 13/10; 23/17; 13/10; 14/11; 23/17; 7/5; 11/8; 27/20; 23/17; 6/5; ; 
Draw; 21/10; 2; 2; 21/10; 52/25; 21/10; 2; 21/10; 2; 2; ; 21/10; ; 2; 19/10; 2; 21/10; 2; 21/10; 28/13; 2; 2; 21/10; 2; 2; 19/10; ; 
Burnley; 12/5; 23/10; 11/5; 23/10; 64/25; 12/5; 12/5; 12/5; 23/10; 11/5; ; 11/5; ; 9/4; 5/2; 23/10; 12/5; 23/10; 12/5; 21/10; 23/10; 12/5; 5/2; 23/10; 40/17; 19/10; ; 
