META; english/premier-league/west-brom-v-stoke; 2017-06-26 14:24:25 GMT+3; 2017-08-26 15:00; e70300-dr003
West Brom; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-stoke; 2017-06-26 14:29:27 GMT+3; 2017-08-26 15:00; e70300-dr003
West Brom; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-stoke; 2017-07-21 16:26:40 GMT+3; 2017-08-26 15:00; e70300-dr003
West Brom; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-stoke; 2017-07-24 13:28:32 GMT+3; 2017-08-26 15:00; e70300-dr003
West Brom; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-stoke; 2017-07-27 14:43:44 GMT+3; 2017-08-26 15:00; e70300-dr003
West Brom; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-stoke; 2017-07-31 11:58:43 GMT+3; 2017-08-26 15:00; e70300-dr003
West Brom; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-stoke; 2017-08-02 12:29:35 GMT+3; 2017-08-26 15:00; e70300-dr003
West Brom; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 
