META; english/premier-league/brighton-v-burnley; 2017-12-07 10:52:20 GMT+2; 2017-12-16 15:00; e70300-dr003
Brighton; ; ; ; ; 17/11; 13/8; 13/8; 13/8; ; ; ; 31/20; ; ; ; 6/4; 17/11; ; 17/10; ; ; ; ; 13/8; ; ; 6/4; ; 
Burnley; ; ; ; ; 2; 19/10; 19/10; 15/8; ; ; ; 2; ; ; ; 19/10; 2; ; 41/20; ; ; ; ; 19/10; ; ; 9/5; ; 
Draw; ; ; ; ; 21/10; 2; 2; 2; ; ; ; 2; ; ; ; 19/10; 21/10; ; 43/20; ; ; ; ; 39/20; ; ; 2; ; 
META; english/premier-league/brighton-v-burnley; 2017-12-08 12:10:34 GMT+2; 2017-12-16 15:00; e70300-dr003
Brighton; ; ; ; ; 17/11; 13/8; 13/8; 13/8; ; ; ; 31/20; ; ; ; 6/4; 17/11; ; 17/10; ; ; 13/8; ; 13/8; ; ; 6/4; ; 
Burnley; ; ; ; ; 2; 19/10; 19/10; 15/8; ; ; ; 2; ; ; ; 19/10; 2; ; 41/20; ; ; 2; ; 19/10; ; ; 9/5; ; 
Draw; ; ; ; ; 21/10; 2; 2; 2; ; ; ; 2; ; ; ; 19/10; 21/10; ; 43/20; ; ; 2; ; 39/20; ; ; 2; ; 
META; english/premier-league/brighton-v-burnley; 2017-12-11 18:11:10 GMT+2; 2017-12-16 15:00; e70300-dr003
Brighton; 29/20; 7/5; ; 29/20; 16/11; 31/20; 6/4; 6/4; 7/5; ; 8/5; 6/4; ; 6/4; 6/4; 7/5; 16/11; 6/4; 157/100; 7/5; ; 6/4; 6/4; 6/4; 6/4; ; 7/5; ; 6/4
Draw; 2; 2; ; 2; 2; 21/10; 2; 2; 21/10; ; 2; 19/10; ; 2; 9/5; 19/10; 2; 2; 21/10; 21/10; ; 2; 2; 2; 39/19; ; 19/10; ; 19/10
Burnley; 21/10; 11/5; ; 21/10; 2; 9/4; 21/10; 21/10; 21/10; ; 2; 21/10; ; 21/10; 12/5; 21/10; 2; 21/10; 23/10; 23/12; ; 11/5; 23/10; 21/10; 28/13; ; 15/8; ; 23/10
META; english/premier-league/brighton-v-burnley; 2017-12-12 10:55:44 GMT+2; 2017-12-16 15:00; e70300-dr003
Brighton; 29/20; 7/5; ; 29/20; 8/5; 31/20; 6/4; 6/4; 7/5; ; 8/5; 31/20; ; 6/4; 6/4; 7/5; 8/5; 6/4; 31/20; 7/5; ; 6/4; 6/4; 6/4; 6/4; ; 7/5; ; 
Draw; 2; 2; ; 2; 2; 21/10; 2; 2; 21/10; ; 2; 19/10; ; 2; 9/5; 19/10; 2; 2; 21/10; 21/10; ; 2; 2; 2; 2; ; 2; ; 
Burnley; 21/10; 11/5; ; 21/10; 2; 9/4; 21/10; 21/10; 21/10; ; 2; 21/10; ; 21/10; 12/5; 2; 2; 21/10; 58/25; 23/12; ; 11/5; 23/10; 21/10; 21/10; ; 15/8; ; 
