META; english/premier-league/arsenal-v-crystal-palace; 2018-01-07 12:12:00 GMT+2; 2018-01-20 15:00; e70300-dr003
Arsenal; 3/10; 4/11; 1/3; 1/3; 37/100; 1/3; 1/3; 1/3; 3/10; 1/3; ; 1/3; ; 1/3; 1/3; 4/11; 1/4; 6/19; 1/4; 4/13; 3/10; 1/3; 1/3; 1/3; 6/19; ; 1/4; ; 
Draw; 19/4; 4; 4; 4; 5; 9/2; 9/2; 9/2; 74/17; 4; ; 4; ; 17/4; 19/4; 9/2; 11/2; 74/17; 11/2; 21/5; 43/10; 9/2; 19/4; 17/4; 22/5; ; 3; ; 
Crystal Palace; 15/2; 7; 8; 8; 15/2; 17/2; 15/2; 17/2; 17/2; 8; ; 15/2; ; 8; 7; 8; 9; 29/4; 9; 34/5; 8; 7; 17/2; 15/2; 29/4; ; 33/5; ; 
META; english/premier-league/arsenal-v-crystal-palace; 2018-01-10 12:17:48 GMT+2; ; e70300-dr003
Arsenal; 1/3; 4/11; 4/11; 1/3; 41/100; 1/3; 7/20; 1/3; 3/10; 4/11; ; 4/11; ; 4/11; 4/11; 1/3; 4/11; 1/3; 4/11; 4/13; 3/10; 2/5; 4/11; 7/20; 1/3; ; 1/3; ; 
Draw; 9/2; 4; 4; 4; 22/5; 9/2; 17/4; 9/2; 74/17; 4; ; 15/4; ; 4; 9/2; 15/4; 17/4; 17/4; 17/4; 21/5; 43/10; 9/2; 22/5; 17/4; 43/10; ; ; ; 
Crystal Palace; 13/2; 13/2; 15/2; 8; 73/10; 8; 7; 8; 17/2; 7; ; 15/2; ; 7; 13/2; 6; 7; 7; 7; 34/5; 8; 13/2; 8; 7; 7; ; ; ; 
META; english/premier-league/arsenal-v-crystal-palace; 2018-01-10 13:39:01 GMT+2; 2018-01-20 15:00; e70300-dr003
Arsenal; 1/3; 4/11; 4/11; 1/3; 41/ 100; 1/3; 7/20; 1/3; 3/10; 4/11; ; 4/11; ; 4/11; 4/11; 1/3; 4/11; 1/3; 4/11; 4/13; 3/10; 2/5; 4/11; 7/20; 1/3; 1/3; ; 
Draw; 9/2; 4; 4; 4; 22/5; 9/2; 17/4; 9/2; 74/17; 4; ; 15/4; ; 4; 9/2; 15/4; 17/4; 17/4; 17/4; 21/5; 43/10; 9/2; 22/5; 17/4; 43/10; ; ; 
Crystal Palace; 13/2; 13/2; 15/2; 8; 73/10; 8; 7; 8; 17/2; 7; ; 15/2; ; 7; 13/2; 6; 7; 7; 7; 34/5; 8; 13/2; 8; 7; 7; ; ; 
META; english/premier-league/arsenal-v-crystal-palace; 2018-01-17 12:22:03 GMT+2; 2018-01-20 15:00; e70300-dr003
Arsenal; 1/2; 8/15; 8/15; 1/2; 57/ 100; 1/2; 8/15; 1/2; 8/15; 8/15; 1/2; 8/15; 4/7; 8/15; 11/20; 8/15; 8/15; 8/15; 8/15; 6/11; 8/15; 4/7; 8/15; 8/15; 5/9; 8/15; 8/15; 8/15
Draw; 7/2; 10/3; 13/4; 17/5; 69/20; 7/2; 10/3; 7/2; 17/5; 10/3; 10/3; 16/5; 16/5; 10/3; 100/ 30; 10/3; 10/3; 57/17; 10/3; 38/11; 57/17; 7/2; 18/5; 10/3; 17/5; 10/3; 10/3; 7/2
Crystal Palace; 19/4; 9/2; 19/4; 5; 11/2; 5; 5; 5; 21/4; 24/5; 5; 5; 9/2; 5; 19/4; 5; 5; 51/10; 5; 24/5; 51/10; 19/4; 21/4; 19/4; 67/13; 11/2; 27/5; 27/5
META; english/premier-league/arsenal-v-crystal-palace; 2018-01-18 18:16:22 GMT+2; 2018-01-20 15:00; e70300-dr003
Arsenal; 1/2; 1/2; 1/2; 1/2; 13/25; 1/2; 1/2; 1/2; 11/21; 1/2; 1/2; 1/2; 8/15; 8/15; 1/2; 1/2; 1/2; 18/35; 1/2; 18/35; 1/2; 8/15; 8/15; 1/2; 18/35; 4/9; 4/9; 1/2
Draw; 7/2; 10/3; 10/3; 17/5; 73/20; 18/5; 7/2; 7/2; 39/11; 10/3; 10/3; 10/3; 16/5; 18/5; 7/2; 10/3; 17/5; 38/11; 17/5; 33/10; 7/2; 7/2; 18/5; 7/2; 38/11; 7/2; 10/3; 7/2
