META; english/premier-league/tottenham-v-newcastle; 2018-05-03 12:39:16 GMT+3; 2018-05-09 20:00; e70300-dr003
Tottenham; 1/5; 2/11; 23/00; 1/8; 1/8; 1/5; 2/11; 1/5; 1/5; 1/5; 1/5; 1/5; 3/16; 1/6; 1/5; 2/11; 1/5; 1/5
Draw; 5; 59/10; 11/2; 11/2; 11/2; 11/2; 6; 11/2; 11/2; 6; 11/2; 21/4; 11/2; 27/5; 13/2; 53/10; 7/2; 
Newcastle; 14; 16; 33/2; 12; 12; 13; 16; 14; 12; 14; 12; 14; 14; 10; 12; 18; 57/4; 7/2
META; english/premier-league/tottenham-v-newcastle; 2018-05-05 12:13:18 GMT+3; 2018-05-09 20:00; e70300-dr003
Tottenham; 1/5; 2/11; 2/11; 1/7; 1/5; 2/11; 1/5; 2/11; 2/11; 1/5; 1/5; 1/5; 1/5; 1/6; 1/5; 2/11; 1/5; 1/5; 1/5; 
Draw; 5; 13/2; 13/2; 11/2; 11/2; 6; 6; 6; 60/11; 23/4; 11/2; 27/5; 7; 11/2; 6; 31/5; ; ; ; 
Newcastle; 14; 16; 17; 15; 13; 13; 16; 14; 12; 15; 12; 14; 59/4; 21/2; 10; 12; 17; 15; 69/5; 83/5
META; english/premier-league/tottenham-v-newcastle; 2018-05-07 10:30:27 GMT+3; 2018-05-09 20:00; e70300-dr003
Tottenham; 2/11; 1/5; 1/6; 2/13; 1/7; 3/16; 2/11; 2/11; 2/11; 2/11; 2/11; 1/6; 2/11; 1/6; 2/11; 2/11; 3/16; 1/6; 1/6; 2/11; 2/11; 1/5; 2/11; 1/5; ; 
Draw; 15/2; 11/2; 6; 7; 13/2; 7; 15/2; 6; 6; 13/2; 13/2; 27/4; 6; 69/10; 7; 15/2; 7; 13/2; 7; 36/5; 27/5; 36/5; ; ; ; 
Newcastle; 16; 12; 18; 14; 67/4; 18; 16; 13; 18; 16; 14; 14; 16; 14; 16; 15; 12; 27/2; 12; 18; 61/4; 12; 83/5; 83/5; 69/5; 17
META; english/premier-league/tottenham-v-newcastle; 2018-05-08 08:09:50 GMT+3; 2018-05-09 20:00; e70300-dr003
Tottenham; 2/11; 1/5; 2/11; 1/6; 2/11; 1/7; 3/16; 2/11; 2/11; 2/11; 2/11; 2/11; 1/5; 2/11; 1/6; 2/11; 3/16; 1/6; 2/11; 1/6; 2/11; 2/11; 2/11; 1/5; 1/5; 
Draw; 15/2; 11/2; 6; 34/5; 15/2; 7; 6; 6; 11/2; 6; 6; 13/2; 13/2; 67/10; 7; 27/4; 13/2; 36/5; 29/5; 6; 37/5; ; ; ; ; 
Newcastle; 16; 12; 16; 16; 31/2; 17; 14; 16; 16; 16; 14; 14; 16; 12; 14; 67/4; 13; 27/2; 15; 18; 67/4; 14; 16; 73/5; 88/5; 83/5
META; english/premier-league/tottenham-v-newcastle; 2018-05-09 10:09:49 GMT+3; 2018-05-09 20:00; e70300-dr003
Tottenham; 2/11; 1/5; 1/5; 1/6; 2/9; 2/11; 2/11; 1/7; 1/5; 1/5; 2/11; 1/5; 1/5; 1/5; 2/9; 2/11; 3/16; 2/11; 1/5; 3/16; 2/11; 3/16; 1/5; 2/11; 1/5; 1/5; 1/5
Draw; 15/2; 11/2; 11/2; 7; 32/5; 15/2; 13/2; 7; 13/2; 11/2; 7; 11/2; 11/2; 11/2; 7; 25/4; 13/2; 13/2; 13/2; 7; 25/4; 6; 31/5; 29/5; 36/5; ; 
Newcastle; 16; 12; 14; 16; 15; 17; 14; 14; 16; 16; 16; 14; 12; 14; 12; 14; 61/4; 13; 13; 15; 16; 31/2; 14; 78/5; 71/5; 64/5; 81/5
