META; english/premier-league/newcastle-v-tottenham; 2017-06-16 11:13:24 GMT+3; 2017-08-12 15:00; e70300-dr003
Tottenham; 3/4; 4/5; 4/5; 4/5; 8/13; 8/11; 17/20; 7/10; ; 4/6; 8/13; 5/6; 10/13; 7/10; 5/6; 8/11; 4/5; 7/9; 4/6; 4/5; 5/6; 10/13; 13/18; 3/4; 13/18; ; 8/15; ; 
Draw; 11/4; 13/5; 11/4; 5/2; 11/4; 11/4; 11/4; 11/4; ; 11/4; 11/4; 5/2; 27/10; 11/4; 11/4; 27/10; 45/17; 13/5; 11/4; 45/17; 14/5; 14/5; 11/4; 13/5; 11/4; ; 2; ; 
Newcastle; 10/3; 3; 17/5; 3; 4; 7/2; 7/2; 7/2; ; 7/2; 4; 7/2; 10/3; 7/2; 16/5; 10/3; 33/10; 10/3; 7/2; 33/10; 77/20; 7/2; 37/10; 7/2; 15/4; ; 1/20; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-26 14:23:28 GMT+3; 2017-08-12 15:00; e70300-dr003
Tottenham; 10/11; 17/20; 4/5; 10/11; 5/6; 8/11; 37/40; 7/10; 9/10; 3/4; 3/4; 10/11; 5/6; 7/10; 17/20; 11/13; 5/6; 5/6; 4/5; 5/6; 9/10; 8/9; 4/5; 10/11; 4/5; ; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 13/5; 11/4; 11/4; 13/5; 13/5; 12/5; 53/20; 11/4; 13/5; 5/2; 45/17; 13/5; 27/10; 45/17; 11/4; 45/17; 27/10; 12/5; 27/10; ; ; 
Newcastle; 11/4; 29/10; 17/5; 13/5; 3; 7/2; 33/10; 7/2; 3; 16/5; 16/5; 3; 3; 7/2; 10/3; 29/10; 41/13; 3; 3; 41/13; 7/2; 3; 13/4; 3; 13/4; ; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-06-26 14:28:25 GMT+3; 2017-08-12 15:00; e70300-dr003
Tottenham; 10/11; 17/20; 4/5; 10/11; 5/6; 8/11; 37/40; 7/10; 9/10; 3/4; 3/4; 10/11; 5/6; 7/10; 17/20; 11/13; 5/6; 5/6; 4/5; 5/6; 9/10; 8/9; 4/5; 10/11; 4/5; ; ; 
Draw; 13/5; 5/2; 11/4; 5/2; 11/4; 11/4; 13/5; 11/4; 11/4; 13/5; 13/5; 12/5; 53/20; 11/4; 13/5; 5/2; 45/17; 13/5; 27/10; 45/17; 11/4; 45/17; 27/10; 12/5; 27/10; ; ; 
Newcastle; 11/4; 29/10; 17/5; 13/5; 3; 7/2; 33/10; 7/2; 3; 16/5; 16/5; 3; 3; 7/2; 10/3; 29/10; 41/13; 3; 3; 41/13; 7/2; 3; 13/4; 3; 13/4; ; ; 
META; english/premier-league/newcastle-v-tottenham; 2017-07-21 16:25:50 GMT+3; 2017-08-13 13:30; e70300-dr003
Tottenham; 4/5; 17/20; 17/20; 17/20; 5/6; 8/11; 20/23; 4/5; 4/5; 3/4; 3/4; 5/6; ; 4/5; 17/20; 4/5; 5/6; 4/5; 4/5; 22/25; 16/19; 4/5; 17/20; 9/10; 5/6; ; 4/5; ; 4/5
Draw; 11/4; 13/5; 27/10; 5/2; 11/4; 11/4; 27/10; 13/5; 27/10; 13/5; 13/5; 13/5; ; 11/4; 13/5; 13/5; 13/5; 27/10; 45/17; 14/5; 27/10; 27/10; 5/2; 11/4; 13/5; ; 5/2; ; 11/4
Newcastle; 16/5; 16/5; 16/5; 11/4; 3; 7/2; 17/5; 10/3; 13/4; 16/5; 16/5; 10/3; ; 10/3; 10/3; 31/10; 3; 3; 13/4; 71/20; 13/4; 13/4; 16/5; 3; 16/5; ; 3; ; 7/2
META; english/premier-league/newcastle-v-tottenham; 2017-07-24 13:27:24 GMT+3; 2017-08-13 13:30; e70300-dr003
Tottenham; 3/4; 4/5; 4/5; 4/5; 5/6; 8/11; 4/5; 8/11; 4/5; 8/11; 3/4; 4/5; 10/13; 3/4; 3/4; 8/11; 3/4; 4/5; 10/13; 41/50; 11/14; 4/5; 4/5; 5/6; 3/4; ; 4/6; ; 8/11
Draw; 11/4; 13/5; 27/10; 5/2; 11/4; 11/4; 11/4; 11/4; 27/10; 11/4; 27/10; 11/4; 53/20; 14/5; 13/5; 13/5; 27/10; 27/10; 27/10; 73/25; 11/4; 27/10; 5/2; 14/5; 11/4; ; 14/5; ; 14/5
