META; english/premier-league/leicester-v-liverpool; 2017-08-25 20:14:05 GMT+3; 2017-09-23 17:30; e70300-dr003
Liverpool; ; 11/10; ; 8/11; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leicester; ; 9/4; ; 3; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/leicester-v-liverpool; 2017-08-28 14:20:06 GMT+3; 2017-09-23 17:30; e70300-dr003
Liverpool; ; 11/10; ; 8/11; ; ; ; 4/5; ; ; ; ; ; ; ; 19/20; 9/10; ; ; 21/20; ; ; ; 10/11; 10/11; ; ; ; 
Draw; ; 23/10; ; 12/5; ; ; ; 5/2; ; ; ; ; ; ; ; 5/2; 12/5; ; ; 13/5; ; ; ; 5/2; 5/2; ; ; ; 
Leicester; ; 9/4; ; 3; ; ; ; 16/5; ; ; ; ; ; ; ; 29/10; 3; ; ; 3; ; ; ; 3; 3; ; ; ; 
META; english/premier-league/leicester-v-liverpool; 2017-09-04 20:14:38 GMT+3; 2017-09-23 17:30; e70300-dr003
Liverpool; ; 11/10; ; 8/11; ; ; ; 4/5; ; ; ; ; 9/10; ; ; 11/13; 9/10; ; ; 1; ; ; ; 10/11; 9/10; ; ; ; 
Draw; ; 23/10; ; 12/5; ; ; ; 5/2; ; ; ; ; 5/2; ; ; 19/8; 12/5; ; ; 13/5; ; ; ; 5/2; 5/2; ; ; ; 
Leicester; ; 9/4; ; 3; ; ; ; 16/5; ; ; ; ; 3; ; ; 37/13; 3; ; ; 16/5; ; ; ; 3; 3; ; ; ; 
META; english/premier-league/leicester-v-liverpool; 2017-09-07 19:15:28 GMT+3; 2017-09-23 17:30; e70300-dr003
Liverpool; ; 11/10; ; 8/11; ; ; ; 4/5; ; ; ; ; 9/10; ; ; 11/13; 9/10; ; ; 1; ; ; ; 10/11; 9/10; ; ; ; 
Draw; ; 23/10; ; 12/5; ; ; ; 5/2; ; ; ; ; 5/2; ; ; 19/8; 12/5; ; ; 13/5; ; ; ; 5/2; 5/2; ; ; ; 
Leicester; ; 9/4; ; 3; ; ; ; 16/5; ; ; ; ; 3; ; ; 37/13; 3; ; ; 16/5; ; ; ; 3; 3; ; ; ; 
