META; english/premier-league/newcastle-v-west-brom; 2018-04-16 20:35:40 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/6; 4/6; 4/5; 81/00; 4/6; 8/11; 4/6; 4/6; 4/6; 3/4; 4/5; 3/4; 8/11; 14/19; 7/9; 4/6; 4/5; 14/19; 4/6
Draw; 13/5; 13/5; 12/5; 11/4; 12/5; 13/5; 12/5; 45/17; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 13/5; 2
West Brom; 17/4; 9/2; 15/4; 41/10; 18/5; 17/4; 7/2; 9/2; 4; 7/2; 19/5; 4; 39/10; 16/5; 22/5; 21/5; 75/19; 14/5; 
META; english/premier-league/newcastle-v-west-brom; 2018-04-17 20:37:55 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/6; 3/4; 4/5; 4/5; 4/6; 3/4; 4/6; 4/6; 4/6; 3/4; 4/5; 3/4; 8/11; 14/19; 7/9; 4/6; 4/5; 14/19; 4/6
Draw; 13/5; 13/5; 12/5; 14/5; 12/5; 13/5; 12/5; 45/17; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 28/11; 2
West Brom; 17/4; 19/5; 15/4; 41/10; 18/5; 17/4; 7/2; 9/2; 4; 7/2; 19/5; 4; 39/10; 16/5; 22/5; 21/5; 75/19; 3; 
META; english/premier-league/newcastle-v-west-brom; 2018-04-19 08:13:59 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/6; 3/4; 4/5; 4/5; 4/6; 3/4; 4/6; 4/6; 4/6; 3/4; 4/5; 3/4; 8/11; 14/19; 3/4; 7/9; 4/6; 4/5; 14/19; 4/6
Draw; 13/5; 13/5; 12/5; 14/5; 12/5; 13/5; 12/5; 45/17; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 28/11; 45/17; 13/5; 28/11; 23/10
West Brom; 17/4; 19/5; 15/4; 41/10; 18/5; 17/4; 7/2; 9/2; 4; 7/2; 19/5; 4; 75/19; 4; 16/5; 22/5; 21/5; 75/19; 14/5; 
META; english/premier-league/newcastle-v-west-brom; 2018-04-20 10:23:26 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/6; 3/4; 4/5; 4/5; 4/6; 3/4; 4/6; 4/6; 4/6; 3/4; 4/5; 3/4; 8/11; 14/19; 3/4; 7/9; 4/6; 4/5; 14/19; 4/7
Draw; 13/5; 13/5; 12/5; 14/5; 12/5; 13/5; 12/5; 45/17; 13/5; 13/5; 5/2; 11/4; 13/5; 5/2; 13/5; 28/11; 45/17; 13/5; 28/11; 19/10
West Brom; 17/4; 19/5; 15/4; 41/10; 18/5; 17/4; 7/2; 9/2; 4; 7/2; 19/5; 15/4; 4; 75/19; 4; 16/5; 22/5; 21/5; 4; 
META; english/premier-league/newcastle-v-west-brom; 2018-04-21 14:15:03 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/6; 3/4; 4/5; 79/00; 4/6; 8/11; 4/6; 4/6; 4/6; 3/4; 3/4; 8/11; 8/11; 5/7; 3/4; 7/9; 4/6; 3/4; 5/7; 4/7
Draw; 13/5; 5/2; 12/5; 71/25; 12/5; 13/5; 12/5; 45/17; 13/5; 13/5; 5/2; 13/5; 13/5; 28/11; 13/5; 28/11; 45/17; 27/10; 13/5; 23/10
West Brom; 17/4; 19/5; 15/4; 41/10; 18/5; 17/4; 7/2; 9/2; 4; 15/4; 4; 17/4; 4; 41/10; 4; 16/5; 22/5; 17/4; 54/13; 10/3
META; english/premier-league/newcastle-v-west-brom; 2018-04-23 10:13:04 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/5; 4/5; 4/5; 4/5; 17/20; 4/5; 4/6; 4/5; 3/4; 8/11; 4/5; 4/5; 4/5; 4/5; 4/5; 3/4; 7/9; 4/5; 4/5; 10/13; 8/11; 4/6; 4/5; 5/6; ; 
Draw; 12/5; 5/2; 12/5; 12/5; 68/25; 27/10; 13/5; 5/2; 13/5; 5/2; 13/5; 12/5; 5/2; 5/2; 13/5; 5/2; 13/5; 45/17; 13/5; 13/5; 28/11; 12/5; 11/5; 13/5; 13/5; 
West Brom; 15/4; 18/5; 15/4; 15/4; 77/20; 15/4; 15/4; 7/2; 62/17; 7/2; 7/2; 15/4; 15/4; 37/10; 15/4; 15/4; 18/5; 4; 19/5; 18/5; 4; 62/17; 7/2; 14/5; 7/2; 7/2
META; english/premier-league/newcastle-v-west-brom; 2018-04-24 08:13:10 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/5; 3/4; 3/4; 4/5; 4/5; 4/6; 4/5; 3/4; 8/11; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 11/14; 4/5; 4/5; 5/6; 4/5; 8/11; 4/6; 4/5; 
Draw; 12/5; 13/5; 12/5; 12/5; 27/10; 5/2; 5/2; 13/5; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 45/17; 13/5; 13/5; 28/11; 13/5; 12/5; 11/5; 13/5; 
West Brom; 15/4; 18/5; 15/4; 15/4; 15/4; 15/4; 7/2; 62/17; 18/5; 7/2; 15/4; 15/4; 15/4; 15/4; 15/4; 18/5; 15/4; 19/5; 18/5; 21/5; 62/17; 7/2; 7/2; 14/5; 7/2
META; english/premier-league/newcastle-v-west-brom; 2018-04-25 08:13:03 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/5; 3/4; 3/4; 4/5; 21/25; 4/5; 4/6; 4/5; 4/5; 8/11; 3/4; 8/11; 4/5; 4/5; 4/5; 4/5; 4/5; 11/14; 4/5; 4/5; 5/6; 4/5; 4/5; 8/11; 4/5; 5/6
Draw; 12/5; 5/2; 12/5; 12/5; 131/0; 27/10; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 11/4; 49/20; 5/2; 5/2; 28/11; 5/2; 45/17; 13/5; 13/5; 28/11; 5/2; 5/2; 23/10; 13/5
West Brom; 15/4; 19/5; 19/5; 15/4; 41/10; 15/4; 15/4; 7/2; 62/17; 19/5; 7/2; 15/4; 19/5; 19/5; 15/4; 15/4; 50/13; 15/4; 19/5; 18/5; 21/5; 39/10; 15/4; 7/2; 7/2; 7/2
META; english/premier-league/newcastle-v-west-brom; 2018-04-25 12:13:32 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/5; 4/5; 4/5; 4/5; 21/25; 4/5; 4/6; 4/5; 4/5; 3/4; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 4/5; 11/14; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 
Draw; 12/5; 5/2; 12/5; 12/5; 131/0; 27/10; 5/2; 5/2; 13/5; 12/5; 5/2; 12/5; 11/4; 49/20; 5/2; 5/2; 28/11; 5/2; 45/17; 13/5; 13/5; 28/11; 5/2; 5/2; 13/5; 13/5; 13/5
West Brom; 15/4; 18/5; 15/4; 15/4; 41/10; 15/4; 15/4; 7/2; 62/17; 19/5; 19/5; 15/4; 19/5; 19/5; 15/4; 15/4; 75/19; 15/4; 19/5; 18/5; 4; 75/19; 15/4; 7/2; 7/2; 7/2; 7/2
META; english/premier-league/newcastle-v-west-brom; 2018-04-26 12:13:37 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 4/5; 4/5; 4/5; 4/5; 21/25; 4/5; 4/5; 8/11; 9/11; 4/5; 3/4; 4/5; 8/11; 4/5; 4/5; 4/5; 4/5; 4/5; 11/14; 4/5; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6
Draw; 12/5; 5/2; 12/5; 5/2; 131/0; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 12/5; 11/4; 49/20; 5/2; 5/2; 28/11; 5/2; 45/17; 28/11; 13/5; 28/11; 5/2; 5/2; 13/5; 13/5; 13/5
West Brom; 15/4; 18/5; 15/4; 18/5; 41/10; 4; 15/4; 7/2; 77/19; 19/5; 19/5; 15/4; 19/5; 19/5; 15/4; 15/4; 39/10; 15/4; 19/5; 4; 75/19; 4; 7/2; 4; 7/2; 4; 
META; english/premier-league/newcastle-v-west-brom; 2018-04-27 08:12:44 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 5/6; 4/5; 4/5; 4/5; 43/50; 4/5; 5/6; 8/11; 11/13; 4/5; 5/6; 4/5; 8/11; 5/6; 5/6; 4/5; 5/6; 4/5; 9/11; 9/11; 4/5; 5/6; 5/6; 5/6; 8/11; 5/6; 5/6
Draw; 13/5; 5/2; 12/5; 5/2; 51/20; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 23/10; 11/4; 49/20; 12/5; 5/2; 5/2; 13/5; 28/11; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; ; 
West Brom; 4; 18/5; 15/4; 7/2; 41/10; 4; 15/4; 7/2; 50/13; 18/5; 18/5; 15/4; 19/5; 15/4; 15/4; 15/4; 50/13; 15/4; 37/10; 15/4; 21/5; 39/10; 4; 7/2; 7/2; 7/2; 4
META; english/premier-league/newcastle-v-west-brom; 2018-04-28 12:14:13 GMT+3; 2018-04-28 15:00; e70300-dr003
Newcastle; 19/20; 17/20; 10/11; 10/11; 24/25; 19/20; 20/21; 10/11; 22/23; 19/20; 10/11; 20/21; 19/20; 19/20; 19/20; 10/11; 19/20; 13/15; 22/23; 11/12; 19/20; 19/20; 19/20; 20/21; 1; 20/21
Draw; 12/5; 12/5; 9/4; 12/5; 49/20; 12/5; 12/5; 23/10; 27/11; 23/10; 5/2; 12/5; 12/5; 47/20; 23/10; 12/5; 40/17; 12/5; 40/17; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5
West Brom; 7/2; 10/3; 16/5; 7/2; 73/20; 7/2; 10/3; 10/3; 7/2; 16/5; 18/5; 16/5; 10/3; 10/3; 7/2; 10/3; 57/17; 7/2; 33/10; 17/5; 7/2; 17/5; 7/2; 7/2; 10/3; 7/2
