META; english/premier-league/west-brom-v-swansea; 2018-03-18 14:14:15 GMT+2; 2018-04-07 15:00; e70300-dr003
West Brom; 13/10; 13/10; 139/100; 13/10; 7/5; 11/8; 29/20; 11/8; 11/8; 7/5; 11/8; 27/20; 7/5; 
Swansea; 11/5; 21/10; 57/25; 15/8; 2; 9/4; 43/20; 21/10; 9/4; 2; 12/5; 21/10; 39/19; 19/10
Draw; 21/10; 9/4; 121/50; 2; 11/5; 2; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 
META; english/premier-league/west-brom-v-swansea; 2018-03-19 08:13:21 GMT+2; 2018-04-07 15:00; e70300-dr003
West Brom; 13/10; 13/10; 139/100; 13/10; 13/10; 7/5; 11/8; 7/5; 11/8; 11/8; 7/5; 23/17; 7/5; 11/8; 27/20; 7/5; 
Swansea; 11/5; 21/10; 57/25; 19/10; 15/8; 2; 9/4; 43/20; 21/10; 9/4; 37/19; 21/11; 2; 12/5; 21/10; 37/19; 19/10
Draw; 21/10; 9/4; 121/50; 2; 11/5; 2; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; ; 
META; english/premier-league/west-brom-v-swansea; 2018-03-20 08:13:39 GMT+2; 2018-04-07 15:00; e70300-dr003
West Brom; 7/5; 13/10; 13/10; 141/100; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 23/17; 13/10; 11/8; 27/20; 7/5; 
Draw; 21/10; 11/5; 11/5; 117/50; 2; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 28/13; 11/5; 21/10; 11/5; 21/10; 11/5; ; 
Swansea; 21/10; 21/10; 11/5; 58/25; 19/10; 15/8; 23/10; 9/4; 43/20; 9/4; 11/5; 2; 9/4; 21/11; 23/10; 12/5; 11/5; 39/19; 19/10
META; english/premier-league/west-brom-v-swansea; 2018-03-21 14:14:31 GMT+2; 2018-04-07 15:00; e70300-dr003
West Brom; 7/5; 13/10; 13/10; 141/00; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 13/10; 23/17; 23/17; 23/17; 13/10; 7/5; 27/20; 23/17; 13/10
Swansea; 21/10; 21/10; 11/5; 58/25; 19/10; 15/8; 23/10; 9/4; 43/20; 9/4; 21/10; 28/13; 23/10; 21/11; 23/10; 23/10; 11/5; 11/5; 21/10
Draw; 21/10; 11/5; 11/5; 117/0; 2; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; 21/10; 
META; english/premier-league/west-brom-v-swansea; 2018-03-22 12:33:30 GMT+2; 2018-04-07 15:00; e70300-dr003
West Brom; 7/5; 13/10; 13/10; 139/100; 6/5; 11/8; 6/5; 13/10; 11/8; 7/5; 11/8; 13/10; 23/17; 23/17; 9/7; 13/10; 7/5; 27/20; 23/17; 13/10
Swansea; 21/10; 11/5; 11/5; 47/20; 21/10; 11/5; 21/10; 23/10; 9/4; 43/20; 9/4; 21/10; 28/13; 23/10; 57/29; 23/10; 23/10; 11/5; 11/5; 21/10
Draw; 21/10; 11/5; 11/5; 47/20; 19/10; 21/10; 15/8; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 9/4; 21/10; 11/5; 21/10; 21/10; 21/10
META; english/premier-league/west-brom-v-swansea; 2018-03-23 14:40:05 GMT+2; 2018-04-07 15:00; e70300-dr003
West Brom; 7/5; 13/10; 13/10; 139/00; 6/5; 7/5; 6/5; 13/10; 11/8; 7/5; 11/8; 13/10; 23/17; 23/17; 9/7; 13/10; 7/5; 23/17; 13/10
Swansea; 21/10; 11/5; 11/5; 47/20; 21/10; 11/5; 21/10; 23/10; 9/4; 43/20; 9/4; 21/10; 28/13; 23/10; 57/29; 23/10; 23/10; 11/5; 21/10
Draw; 21/10; 11/5; 11/5; 47/20; 19/10; 21/10; 15/8; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 21/10; 9/4; 21/10; 11/5; 21/10; 21/10
META; english/premier-league/west-brom-v-swansea; 2018-03-26 12:13:54 GMT+3; 2018-04-07 15:00; e70300-dr003
West Brom; 7/5; 13/10; 13/10; 139/100; 6/5; 7/5; 6/5; 13/10; 11/8; 13/10; 7/5; 11/8; 5/4; 23/17; 23/17; 9/7; 13/10; 11/8; 27/20; 23/17; 13/10
Draw; 21/10; 11/5; 11/5; 47/20; 19/10; 21/10; 15/8; 21/10; 21/10; 2; 21/10; 21/10; 2; 39/19; 11/5; 9/4; 21/10; 11/5; 11/5; 21/10; 21/10
Swansea; 21/10; 21/10; 11/5; 47/20; 21/10; 11/5; 21/10; 23/10; 11/5; 23/10; 43/20; 9/4; 2; 11/5; 9/4; 57/29; 23/10; 12/5; 11/5; 21/10; 
META; english/premier-league/west-brom-v-swansea; 2018-03-27 08:13:42 GMT+3; 2018-04-07 15:00; e70300-dr003
West Brom; 7/5; 13/10; 13/10; 139/100; 6/5; 7/5; 6/5; 13/10; 11/8; 13/10; 7/5; 11/8; 5/4; 23/17; 23/17; 9/7; 13/10; 7/5; 27/20; 23/17; 13/10
Swansea; 21/10; 21/10; 11/5; 47/20; 21/10; 11/5; 21/10; 23/10; 11/5; 23/10; 43/20; 9/4; 2; 28/13; 9/4; 57/29; 23/10; 23/10; 11/5; 21/10; 
Draw; 21/10; 11/5; 11/5; 47/20; 19/10; 21/10; 15/8; 21/10; 21/10; 2; 21/10; 21/10; 2; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 21/10; 21/10
META; english/premier-league/west-brom-v-swansea; 2018-03-28 08:14:25 GMT+3; 2018-04-07 15:00; e70300-dr003
West Brom; 7/5; 13/10; 13/10; 139/100; 6/5; 7/5; 6/5; 13/10; 11/8; 13/10; 7/5; 11/8; 5/4; 23/17; 23/17; 9/7; 13/10; 7/5; 27/20; 23/17; 13/10
Swansea; 21/10; 21/10; 11/5; 47/20; 21/10; 11/5; 21/10; 23/10; 11/5; 23/10; 43/20; 9/4; 2; 28/13; 9/4; 57/29; 23/10; 23/10; 11/5; 21/10; 
Draw; 21/10; 11/5; 11/5; 47/20; 19/10; 21/10; 15/8; 21/10; 21/10; 2; 21/10; 21/10; 2; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 21/10; 21/10
META; english/premier-league/west-brom-v-swansea; 2018-03-29 08:14:02 GMT+3; 2018-04-07 15:00; e70300-dr003
West Brom; 7/5; 13/10; 13/10; 139/100; 13/10; 7/5; 5/4; 13/10; 11/8; 13/10; 7/5; 11/8; 5/4; 23/17; 23/17; 9/7; 13/10; 7/5; 27/20; 23/17; 13/10
Draw; 21/10; 11/5; 11/5; 47/20; 11/5; 21/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 2; 21/10; 11/5; 9/4; 21/10; 11/5; 11/5; 21/10; 21/10
Swansea; 21/10; 21/10; 21/10; 47/20; 23/10; 11/5; 23/10; 11/5; 23/10; 43/20; 9/4; 2; 28/13; 9/4; 57/29; 23/10; 23/10; 21/10; 11/5; 21/10; 
META; english/premier-league/west-brom-v-swansea; 2018-03-31 12:14:42 GMT+3; 2018-04-07 15:00; e70300-dr003
West Brom; 7/5; 7/5; 13/10; 141/100; 13/10; 7/5; 5/4; 13/10; 11/8; 13/10; 29/20; 11/8; 13/10; 23/17; 23/17; 9/7; 13/10; 29/20; 7/5; 13/10
Swansea; 21/10; 2; 21/10; 58/25; 23/10; 11/5; 23/10; 11/5; 23/10; 21/10; 9/4; 21/10; 28/13; 9/4; 57/29; 23/10; 9/4; 21/10; 21/10; 
Draw; 21/10; 11/5; 11/5; 117/50; 11/5; 21/10; 2; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 11/5; 9/4; 21/10; 11/5; 21/10; 21/10
META; english/premier-league/west-brom-v-swansea; 2018-04-03 18:14:05 GMT+3; 2018-04-07 15:00; e70300-dr003
West Brom; 29/20; 7/5; 29/20; 13/10; 38/25; 6/4; 6/4; 11/8; 6/4; 29/20; 29/20; 29/20; 27/20; 29/20; 7/5; 11/8; 16/11; 16/11; 16/11; 6/4; 7/5; 29/20; 16/11; 7/5; 13/10; 7/5; 7/5
Draw; 21/10; 9/4; 2; 11/5; 11/5; 21/10; 21/10; 2; 28/13; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 28/13; 21/10; 11/5; 28/13; 11/5; 21/10; 28/13; 21/10; 19/10; 21/10; 9/4
Swansea; 2; 21/10; 21/10; 113/50; 21/10; 21/10; 15/8; 2; 21/10; 2; 21/10; 9/4; 21/10; 11/5; 2; 28/13; 21/10; 21/10; 2; 23/10; 2; 28/13; 2; 11/5; 2; ; 
META; english/premier-league/west-brom-v-swansea; 2018-04-04 08:13:41 GMT+3; 2018-04-07 15:00; e70300-dr003
