META; english/premier-league/brighton-v-man-city; 2017-06-16 11:13:11 GMT+3; 2017-08-12 15:00; e70300-dr003
Man City; 2/5; 2/5; 2/5; 2/5; 4/11; 7/20; 2/5; 2/5; ; 1/3; 1/3; 2/5; 4/11; 2/5; 4/9; 4/11; 3/8; 2/5; 4/11; 3/8; 21/50; 3/7; 3/8; 2/5; 3/8; ; 1/16; ; 
Draw; 10/3; 7/2; 15/4; 10/3; 7/2; 7/2; 19/5; 16/5; ; 7/2; 7/2; 7/2; 15/4; 16/5; 7/2; 7/2; 62/17; 18/5; 7/2; 62/17; 4; 19/5; 7/2; 7/2; 7/2; ; 2; ; 
Brighton; 15/2; 11/2; 13/2; 6; 13/2; 8; 15/2; 7; ; 15/2; 15/2; 13/2; 13/2; 7; 13/2; 13/2; 27/4; 13/2; 15/2; 27/4; 8; 59/10; 15/2; 13/2; 8; ; 6/5; ; 
META; english/premier-league/brighton-v-man-city; 2017-06-26 14:23:15 GMT+3; 2017-08-12 15:00; e70300-dr003
Man City; 4/11; 4/11; 2/5; 4/11; 4/11; 7/20; 4/11; 2/5; 2/5; 2/5; 2/5; 4/11; 7/20; 2/5; 4/11; 4/11; 1/3; 1/3; 1/3; 1/3; 4/11; 3/8; 6/17; 2/5; 6/17; ; 1/3; ; 
Draw; 7/2; 18/5; 15/4; 7/2; 7/2; 7/2; 19/5; 16/5; 19/5; 7/2; 7/2; 15/4; 15/4; 16/5; 17/4; 7/2; 75/19; 17/4; 7/2; 75/19; 22/5; 75/19; 19/5; 4; 50/13; ; 7/2; ; 
Brighton; 8; 7; 13/2; 6; 13/2; 8; 9; 7; 13/2; 13/2; 13/2; 7; 15/2; 7; 7; 7; 8; 7; 15/2; 8; 19/2; 7; 15/2; 11/2; 8; ; 41/5; ; 
META; english/premier-league/brighton-v-man-city; 2017-06-26 14:28:12 GMT+3; 2017-08-12 15:00; e70300-dr003
Man City; 4/11; 4/11; 2/5; 4/11; 4/11; 7/20; 4/11; 2/5; 2/5; 2/5; 2/5; 4/11; 7/20; 2/5; 4/11; 4/11; 1/3; 1/3; 1/3; 1/3; 4/11; 3/8; 6/17; 2/5; 6/17; ; 1/3; ; 
Draw; 7/2; 18/5; 15/4; 7/2; 7/2; 7/2; 19/5; 16/5; 19/5; 7/2; 7/2; 15/4; 15/4; 16/5; 17/4; 7/2; 75/19; 17/4; 7/2; 75/19; 22/5; 75/19; 19/5; 4; 50/13; ; 7/2; ; 
Brighton; 8; 7; 13/2; 6; 13/2; 8; 9; 7; 13/2; 13/2; 13/2; 7; 15/2; 7; 7; 7; 8; 7; 15/2; 8; 19/2; 7; 15/2; 11/2; 8; ; 41/5; ; 
META; english/premier-league/brighton-v-man-city; 2017-07-21 16:25:47 GMT+3; 2017-08-12 17:30; e70300-dr003
Man City; 4/11; 4/11; 4/11; 4/11; 4/11; 7/20; 4/11; 1/3; 6/17; 2/5; 2/5; 1/3; ; 3/10; 4/11; 4/11; 1/3; 1/3; 10/29; 19/50; 7/19; 6/17; 4/11; 2/5; 4/11; ; 4/11; ; 4/11
Draw; 7/2; 19/5; 19/5; 7/2; 7/2; 7/2; 4; 4; 50/13; 7/2; 7/2; 15/4; ; 4; 17/4; 7/2; 4; 7/2; 50/13; 21/5; 4; 19/5; 4; 4; 15/4; ; 7/2; ; 7/2
Brighton; 8; 15/2; 8; 6; 13/2; 8; 9; 17/2; 8; 13/2; 13/2; 17/2; ; 8; 7; 7; 29/4; 15/2; 31/4; 19/2; 7; 15/2; 13/2; 15/2; 15/2; ; 31/5; ; 46/5
META; english/premier-league/brighton-v-man-city; 2017-07-24 13:27:21 GMT+3; 2017-08-12 17:30; e70300-dr003
Man City; 4/11; 4/11; 4/11; 4/11; 4/11; 7/20; 4/11; 1/3; 6/17; 2/5; 2/5; 4/11; 7/20; 1/3; 4/11; 4/11; 1/3; 1/3; 10/29; 19/50; 7/19; 6/17; 2/5; 2/5; 4/11; ; 4/11; ; 4/11
Draw; 7/2; 19/5; 19/5; 7/2; 7/2; 7/2; 4; 7/2; 50/13; 7/2; 7/2; 15/4; 7/2; 19/5; 17/4; 7/2; 4; 7/2; 19/5; 21/5; 4; 19/5; 15/4; 4; 15/4; ; 7/2; ; 4
Brighton; 8; 7; 15/2; 6; 13/2; 8; 9; 17/2; 8; 13/2; 13/2; 15/2; 8; 8; 7; 7; 29/4; 15/2; 31/4; 19/2; 7; 15/2; 6; 15/2; 15/2; ; 36/5; ; 46/5
META; english/premier-league/brighton-v-man-city; 2017-07-27 14:42:53 GMT+3; 2017-08-12 17:30; e70300-dr003
Man City; 4/11; 4/11; 4/11; 4/11; 4/11; 7/20; 4/11; 1/3; 6/17; 2/5; 2/5; 1/3; 7/20; 3/10; 4/11; 4/11; 1/3; 1/3; 10/29; 19/50; 7/19; 6/17; 4/11; 2/5; 4/11; ; 1/3; ; 4/11
Draw; 7/2; 19/5; 19/5; 7/2; 7/2; 7/2; 19/5; 4; 50/13; 7/2; 7/2; 15/4; 7/2; 4; 17/4; 7/2; 4; 7/2; 50/13; 21/5; 4; 19/5; 4; 4; 15/4; ; 21/5; ; 7/2
Brighton; 8; 15/2; 8; 6; 13/2; 8; 19/2; 17/2; 8; 13/2; 13/2; 17/2; 8; 8; 7; 15/2; 29/4; 15/2; 8; 19/2; 7; 15/2; 6; 15/2; 15/2; ; 39/5; ; 46/5
META; english/premier-league/brighton-v-man-city; 2017-07-31 11:57:50 GMT+3; 2017-08-12 17:30; e70300-dr003
Man City; 3/10; 1/3; 7/20; 4/11; 4/11; 4/11; 1/3; 3/10; 10/29; 1/3; 1/3; 1/3; 1/3; 1/3; 4/11; 1/3; 1/3; 1/3; 6/19; 9/25; 6/17; 10/29; 4/11; 1/3; 1/3; ; 1/3; ; 4/11
Draw; 4; 4; 4; 7/2; 7/2; 17/4; 4; 4; 50/13; 18/5; 15/4; 15/4; 15/4; 4; 17/4; 15/4; 4; 7/2; 75/19; 43/10; 4; 19/5; 4; 17/4; 4; ; 4; ; 4
Brighton; 10; 17/2; 8; 6; 13/2; 8; 10; 9; 17/2; 8; 15/2; 17/2; 17/2; 10; 7; 8; 29/4; 8; 17/2; 10; 79/10; 8; 7; 8; 17/2; ; 9; ; 49/5
META; english/premier-league/brighton-v-man-city; 2017-08-02 12:28:43 GMT+3; 2017-08-12 17:30; e70300-dr003
Man City; 3/10; 1/3; 1/3; 4/11; 4/11; 4/11; 1/3; 1/3; 10/29; 1/3; 1/3; 1/3; 1/3; 1/3; 4/11; 1/3; 1/3; 1/3; 6/19; 9/25; 6/17; 10/29; 4/11; 1/3; 1/3; ; 1/3; ; 1/3
Draw; 4; 4; 4; 7/2; 7/2; 17/4; 4; 4; 50/13; 18/5; 15/4; 15/4; 15/4; 4; 17/4; 4; 4; 7/2; 75/19; 43/10; 4; 19/5; 4; 17/4; 4; ; 21/5; ; 4
Brighton; 10; 17/2; 17/2; 6; 13/2; 8; 11; 9; 17/2; 8; 15/2; 17/2; 9; 9; 7; 17/2; 29/4; 8; 17/2; 10; 79/10; 8; 7; 8; 17/2; ; 19/2; ; 49/5
META; english/premier-league/brighton-v-man-city; 2017-08-11 12:35:26 GMT+3; 2017-08-12 17:30; e70300-dr003
Man City; 1/3; 1/3; 7/20; 3/10; 3/10; 3/10; 1/3; 3/10; 10/29; 3/10; 1/3; 1/3; 2/7; 3/10; 30/100; 1/3; 3/10; 6/19; 4/13; 17/50; 1/3; 6/19; 5/14; 1/3; 3/10; ; 3/10; ; 1/3
Draw; 9/2; 17/4; 17/4; 9/2; 9/2; 460/100; 9/2; 9/2; 9/2; 4; 21/5; 4; 9/2; 9/2; 9/2; 9/2; 17/4; 22/5; 22/5; 23/5; 43/10; 22/5; 4; 9/2; 4; ; 22/5; ; 9/2
Brighton; 10; 9; 9; 8; 10; 19/2; 9; 10; 19/2; 9; 9; 9; 10; 10; 9; 9; 10; 9; 19/2; 10; 9; 9; 7; 17/2; 9; ; 52/5; ; 54/5
