META; english/premier-league/man-city-v-tottenham; 2017-12-07 10:52:30 GMT+2; 2017-12-16 17:30; e70300-dr003
Man City; ; ; ; ; 5/12; 4/9; ; 4/9; ; ; ; 2/5; ; ; ; 2/5; 5/12; ; ; ; ; ; ; 21/50; ; ; 4/9; ; 
Draw; ; ; ; ; 7/2; 7/2; ; 7/2; ; ; ; 7/2; ; ; ; 33/10; 7/2; ; ; ; ; ; ; 10/3; ; ; 3; ; 
Tottenham; ; ; ; ; 7; 13/2; 13/2; 13/2; ; ; ; 13/2; ; ; ; 11/2; 7; ; ; ; ; ; ; 7; ; ; 29/5; ; 
META; english/premier-league/man-city-v-tottenham; 2017-12-08 12:10:44 GMT+2; 2017-12-16 17:30; e70300-dr003
Man City; ; ; ; ; 5/12; 2/5; ; 2/5; ; ; ; 2/5; ; ; ; 2/5; 5/12; ; ; ; ; 4/9; ; 2/5; ; ; 4/9; ; 
Draw; ; ; ; ; 7/2; 18/5; ; 7/2; ; ; ; 7/2; ; ; ; 33/10; 7/2; ; ; ; ; 7/2; ; 10/3; ; ; 3; ; 
Tottenham; ; ; ; ; 7; 7; 13/2; 7; ; ; ; 13/2; ; ; ; 6; 7; ; ; ; ; 7; ; 15/2; ; ; 28/5; ; 
META; english/premier-league/man-city-v-tottenham; 2017-12-11 18:11:20 GMT+2; 2017-12-16 17:30; e70300-dr003
Man City; 1/2; 8/15; 8/15; 1/2; 10/21; 8/15; 8/15; 1/2; 1/2; 8/15; 1/2; 8/15; ; 8/15; 11/20; 1/2; 10/21; 18/35; 11/20; 17/35; 1/2; 8/15; 8/15; 8/15; 18/35; ; 4/9; ; 8/15
Draw; 10/3; 10/3; 10/3; 17/5; 31/10; 18/5; 7/2; 7/2; 57/17; 13/4; 18/5; 10/3; ; 17/5; 100/30; 33/10; 31/10; 17/5; 71/20; 18/5; 57/17; 7/2; 18/5; 7/2; 38/11; ; 3; ; 7/2
Tottenham; 5; 9/2; 19/4; 5; 23/4; 11/2; 5; 5; 21/4; 9/2; 11/2; 5; ; 5; 19/4; 9/2; 23/4; 19/4; 57/10; 21/5; 51/10; 19/4; 11/2; 9/2; 24/5; ; 24/5; ; 5
META; english/premier-league/man-city-v-tottenham; 2017-12-12 10:55:54 GMT+2; 2017-12-16 17:30; e70300-dr003
Man City; 1/2; 8/15; 8/15; 1/2; 6/11; 8/15; 8/15; 1/2; 1/2; 8/15; 1/2; 1/2; ; 8/15; 11/20; 1/2; 6/11; 18/35; 11/20; 17/35; 1/2; 8/15; 8/15; 8/15; 8/15; ; 1/2; ; 
Draw; 10/3; 10/3; 10/3; 17/5; 10/3; 18/5; 7/2; 7/2; 57/17; 13/4; 18/5; 16/5; ; 17/5; 100/30; 33/10; 10/3; 7/2; 18/5; 18/5; 57/17; 7/2; 18/5; 7/2; 7/2; ; 7/2; ; 
Tottenham; 5; 9/2; 19/4; 5; 19/4; 11/2; 5; 5; 21/4; 9/2; 11/2; 5; ; 5; 19/4; 9/2; 19/4; 63/13; 28/5; 21/5; 51/10; 19/4; 11/2; 9/2; 49/10; ; 23/5; ; 
