META; english/premier-league/tottenham-v-watford; 2018-04-16 20:35:56 GMT+3; 2018-04-30 20:00; e70300-dr003
Tottenham; 1/6; 2/11; 1/6; 1/5; 1/9; 2/13; 1/9; 1/6; 1/6; 1/6; 2/11; 1/5; 3/19; 2/11; 1/6; 2/11; 3/19; 1/5
Draw; 6; 6; 11/2; 13/2; 11/2; 6; 6; 6; 25/4; 28/5; 6; 13/2; 25/4; 10/3; ; ; ; 
Watford; 14; 14; 18; 33/2; 16; 16; 16; 14; 18; 16; 16; 12; 59/4; 11; 13; 20; 59/4; 3
META; english/premier-league/tottenham-v-watford; 2018-04-17 20:38:11 GMT+3; 2018-04-30 20:00; e70300-dr003
Tottenham; 1/6; 2/11; 1/6; 1/5; 1/9; 2/13; 1/9; 1/6; 1/6; 1/6; 1/6; 2/11; 1/5; 3/19; 2/11; 1/6; 2/11; 3/19; 2/9
Draw; 6; 6; 36/5; 11/2; 13/2; 11/2; 6; 6; 6; 25/4; 28/5; 6; 13/2; 25/4; 21/10; ; ; ; 
Watford; 14; 14; 18; 31/2; 16; 16; 16; 14; 18; 16; 16; 16; 12; 59/4; 11; 13; 20; 59/4; 1/14
META; english/premier-league/tottenham-v-watford; 2018-04-19 08:14:14 GMT+3; 2018-04-30 20:00; e70300-dr003
Tottenham; 1/6; 2/11; 1/6; 19/100; 1/9; 2/13; 1/9; 1/6; 1/6; 1/6; 1/6; 2/11; 1/5; 3/19; 2/11; 1/6; 1/6; 1/6; 3/19; 2/9
Draw; 6; 6; 15/2; 11/2; 7; 11/2; 6; 6; 6; 25/4; 13/2; 6; 7; 25/4; 14/5; ; ; ; ; 
Watford; 14; 14; 18; 33/2; 16; 16; 16; 14; 18; 16; 16; 16; 12; 29/2; 14; 11; 13; 20; 59/4; 1/12
META; english/premier-league/tottenham-v-watford; 2018-04-20 10:23:42 GMT+3; 2018-04-30 20:00; e70300-dr003
Tottenham; 1/6; 2/11; 1/6; 1/9; 2/13; 1/9; 1/6; 1/6; 1/6; 1/6; 2/11; 1/6; 3/19; 2/11; 2/13; 1/6; 1/6; 3/19; 2/9; 
Draw; 6; 6; 37/5; 11/2; 7; 11/2; 6; 6; 6; 13/2; 25/4; 13/2; 61/10; 6; 25/4; 22/5; ; ; ; 
Watford; 14; 14; 18; 17; 16; 16; 16; 14; 18; 16; 16; 16; 14; 29/2; 14; 25/2; 13; 20; 59/4; 7/2
META; english/premier-league/tottenham-v-watford; 2018-04-21 14:15:20 GMT+3; 2018-04-30 20:00; e70300-dr003
Tottenham; 1/6; 2/11; 1/6; 19/00; 1/9; 2/13; 1/9; 1/6; 1/6; 1/6; 1/6; 2/11; 1/6; 3/19; 2/11; 2/13; 1/6; 1/6; 3/19; 2/9
Draw; 6; 6; 37/5; 11/2; 7; 11/2; 6; 6; 6; 13/2; 25/4; 13/2; 61/10; 6; 25/4; 5; ; ; ; 
Watford; 14; 14; 18; 17; 16; 16; 16; 14; 18; 16; 16; 16; 14; 29/2; 14; 25/2; 13; 20; 59/4; 7
META; english/premier-league/tottenham-v-watford; 2018-04-23 10:13:19 GMT+3; 2018-04-30 20:00; e70300-dr003
Tottenham; 1/6; 2/11; 2/13; 9/50; 1/7; 1/7; 1/9; 3/19; 1/7; 1/6; 2/13; 1/6; 2/13; 1/6; 1/6; 1/8; 3/19; 1/6; 3/19; 1/7; 1/7; 2/11; 1/7; 1/6
Draw; 6; 13/2; 73/10; 7; 13/2; 7; 13/2; 11/2; 13/2; 7; 13/2; 7; 13/2; 27/4; 27/4; 7; 15/2; 27/4; 34/5; 26/5; 37/5; ; ; 
Watford; 14; 14; 22; 20; 19; 18; 14; 16; 22; 16; 16; 16; 18; 14; 18; 35/2; 33/2; 15; 15; 25; 71/4; 20; 59/5; 21
META; english/premier-league/tottenham-v-watford; 2018-04-24 08:13:26 GMT+3; 2018-04-30 20:00; e70300-dr003
