META; english/premier-league/west-ham-v-burnley; 2018-02-27 18:13:43 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 23/20; 6/5; 5/4; 5/4; 131/100; 11/10; 5/4; 11/10; 15/13; 5/4; 5/4; 5/4; ; 13/10; 13/10; 6/5; 6/5; 6/5; 16/13; 15/13; 13/10; ; 6/5; ; 10/9; ; 
Draw; 21/10; 21/10; 2; 21/10; 85/40; 15/8; 2; 15/8; 21/10; 2; ; 21/10; ; 41/20; 2; 21/10; 39/19; 21/10; 28/13; 21/10; 21/10; ; 39/19; ; 2; ; 
Burnley; 13/5; 5/2; 12/5; 12/5; 141/50; 5/2; 13/5; 5/2; 45/17; 12/5; 13/5; 12/5; ; 5/2; 13/5; 5/2; 28/11; 13/5; 28/13; 45/17; 27/10; ; 28/11; ; 23/10; ; 
META; english/premier-league/west-ham-v-burnley; 2018-03-01 15:54:32 GMT+2; ; e70300-dr003
West Ham; 23/20; 6/5; 5/4; 5/4; 131/100; 11/10; 5/4; 11/10; 15/13; 5/4; 6/5; 5/4; 13/10; 13/10; 6/5; 6/5; 5/4; 16/13; 15/13; 13/10; 6/5; 11/10
Draw; 21/10; 21/10; 2; 21/10; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 41/20; 2; 21/10; 21/10; 21/10; 28/13; 21/10; 21/10; 28/13; ; 
Burnley; 13/5; 5/2; 12/5; 12/5; 141/50; 5/2; 13/5; 5/2; 45/17; 12/5; 11/4; 12/5; 5/2; 13/5; 27/11; 5/2; 28/13; 45/17; 27/10; 27/11; 23/10; 
META; english/premier-league/west-ham-v-burnley; 2018-03-02 08:16:47 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 23/20; 6/5; 5/4; 5/4; 13/10; 11/10; 5/4; 11/10; 15/13; 5/4; 6/5; 5/4; 13/10; 13/10; 6/5; 6/5; 5/4; 16/13; 15/13; 13/10; 6/5; 11/10
Draw; 21/10; 21/10; 2; 21/10; 11/5; 15/8; 21/10; 15/8; 21/10; 2; 21/10; 41/20; 2; 21/10; 21/10; 21/10; 28/13; 21/10; 21/10; 28/13; ; 
Burnley; 13/5; 5/2; 12/5; 12/5; 137/50; 5/2; 13/5; 5/2; 45/17; 12/5; 11/4; 12/5; 5/2; 13/5; 27/11; 5/2; 28/13; 45/17; 27/10; 27/11; 23/10; 
META; english/premier-league/west-ham-v-burnley; 2018-03-02 13:55:52 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 23/20; 6/5; 5/4; 5/4; 13/10; 11/10; 5/4; 11/10; 15/13; 5/4; 6/5; 5/4; 13/10; 13/10; 6/5; 6/5; 5/4; 16/13; 15/13; 13/10; 6/5; 11/10
Draw; 21/10; 21/10; 2; 21/10; 11/5; 15/8; 21/10; 15/8; 21/10; 2; 21/10; 41/20; 2; 21/10; 21/10; 21/10; 28/13; 21/10; 21/10; 21/10; 2; 
Burnley; 13/5; 5/2; 12/5; 12/5; 137/50; 5/2; 13/5; 5/2; 45/17; 12/5; 11/4; 12/5; 5/2; 13/5; 5/2; 5/2; 28/13; 45/17; 27/10; 5/2; 23/10; 
META; english/premier-league/west-ham-v-burnley; 2018-03-03 12:15:05 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 23/20; 6/5; 5/4; 5/4; 13/10; 11/10; 5/4; 11/10; 15/13; 5/4; 6/5; 5/4; 13/10; 13/10; 13/10; 5/4; 6/5; 5/4; 16/13; 15/13; 13/10; 6/5; 6/5
Draw; 21/10; 21/10; 2; 21/10; 11/5; 15/8; 21/10; 15/8; 21/10; 2; 21/10; 9/4; 41/20; 2; 21/10; 21/10; 21/10; 28/13; 21/10; 21/10; 21/10; 21/10; 
Burnley; 13/5; 5/2; 12/5; 12/5; 137/50; 5/2; 13/5; 5/2; 45/17; 12/5; 11/4; 12/5; 23/10; 5/2; 13/5; 5/2; 5/2; 28/13; 45/17; 27/10; 5/2; 12/5; 
META; english/premier-league/west-ham-v-burnley; 2018-03-05 20:13:46 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 23/20; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 11/10; 6/5; 5/4; 13/10; 5/4; 6/5; 13/10; 13/10; 6/5; 5/4; 6/5; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4
Draw; 21/10; 21/10; 2; 21/10; 56/25; 21/10; 21/10; 15/8; 28/13; 2; 2; 43/20; 41/20; 2; 28/13; 21/10; 11/5; 28/13; 21/10; 2; 28/13; 21/10; 11/5; 21/10; ; 
Burnley; 13/5; 12/5; 5/2; 12/5; 67/25; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 49/20; 13/5; 12/5; 5/2; 13/5; 5/2; 13/5; 27/10; 5/2; 5/2; 5/2; 12/5; 13/5
META; english/premier-league/west-ham-v-burnley; 2018-03-06 14:59:27 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 5/4; 5/4; 5/4; 5/4; 131/00; 5/4; 5/4; 11/10; 6/5; 5/4; 13/10; 5/4; 6/5; 13/10; 13/10; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4
Draw; 21/10; 21/10; 2; 21/10; 111/0; 21/10; 21/10; 15/8; 28/13; 2; 2; 43/20; 41/20; 2; 21/10; 21/10; 11/5; 28/13; 2; 28/13; 21/10; 21/10; 21/10; ; 
Burnley; 12/5; 12/5; 5/2; 12/5; 67/25; 13/5; 5/2; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 5/2; 13/5; 23/10; 27/11; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5
META; english/premier-league/west-ham-v-burnley; 2018-03-08 10:11:22 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 5/4; 5/4; 5/4; 5/4; 69/50; 5/4; 13/10; 11/10; 23/18; 5/4; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; 13/10; 6/5; 24/19; 5/4; 13/10; 5/4; 13/10; 5/4; 5/4; 13/10; 13/10
Draw; 21/10; 21/10; 2; 21/10; 11/5; 21/10; 21/10; 15/8; 11/5; 2; 21/10; 43/20; 41/20; 11/5; 2; 28/13; 21/10; 11/5; 28/13; 85/40; 21/10; 28/13; 21/10; 2; 21/10; 11/5; 
Burnley; 12/5; 12/5; 12/5; 12/5; 51/20; 13/5; 12/5; 12/5; 45/17; 5/2; 5/2; 12/5; 5/2; 49/20; 12/5; 23/10; 27/11; 13/5; 5/2; 13/5; 13/5; 49/20; 27/11; 12/5; 23/10; 5/2; 13/5
META; english/premier-league/west-ham-v-burnley; 2018-03-08 12:14:39 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 5/4; 5/4; 5/4; 5/4; 69/50; 5/4; 13/10; 11/10; 23/18; 5/4; 13/10; 13/10; 6/5; 5/4; 5/4; 13/10; 13/10; 6/5; 24/19; 5/4; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 27/20
Draw; 21/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 15/8; 11/5; 21/10; 2; 43/20; 21/10; 11/5; 21/10; 28/13; 21/10; 11/5; 28/13; 85/40; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 
Burnley; 12/5; 12/5; 12/5; 12/5; 51/20; 13/5; 12/5; 12/5; 45/17; 12/5; 5/2; 12/5; 5/2; 49/20; 12/5; 12/5; 27/11; 13/5; 5/2; 13/5; 13/5; 49/20; 27/11; 12/5; 23/10; 5/2; 13/5
META; english/premier-league/west-ham-v-burnley; 2018-03-09 12:13:57 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 13/10; 5/4; 5/4; 5/4; 131/100; 13/10; 5/4; 6/5; 23/18; 5/4; 5/4; 6/5; 6/5; 13/10; 13/10; 5/4; 13/10; 6/5; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10
Draw; 11/5; 21/10; 2; 21/10; 54/25; 11/5; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 11/5; 28/13; 21/10; 2; 21/10; 21/10; 21/10
Burnley; 13/5; 12/5; 12/5; 12/5; 11/4; 27/10; 5/2; 5/2; 45/17; 5/2; 13/5; 5/2; 5/2; 49/20; 13/5; 5/2; 27/11; 13/5; 28/11; 13/5; 51/20; 5/2; 13/5; 13/5; 13/5
META; english/premier-league/west-ham-v-burnley; 2018-03-09 14:03:24 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 13/10; 6/5; 6/5; 5/4; 131/100; 13/10; 5/4; 6/5; 23/18; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 
Draw; 11/5; 21/10; 2; 21/10; 109/50; 11/5; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 28/13; 28/13; 11/5; 21/10; 11/5; 2; 21/10; 21/10; 21/10
Burnley; 13/5; 5/2; 5/2; 12/5; 68/25; 27/10; 5/2; 5/2; 45/17; 5/2; 13/5; 5/2; 5/2; 13/5; 11/4; 5/2; 27/11; 13/5; 13/5; 11/4; 51/20; 27/11; 13/5; 13/5; 13/5; 13/5; 
META; english/premier-league/west-ham-v-burnley; 2018-03-10 12:14:26 GMT+2; 2018-03-10 15:00; e70300-dr003
West Ham; 6/5; 23/20; 6/5; 5/4; 123/00; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 5/4; 11/10; 13/10; 15/13; 19/16; 7/6; 6/5; 6/5; 13/10; 23/20; 6/5; 6/5; 6/5
Draw; 9/4; 11/5; 21/10; 21/10; 9/4; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 43/20; 11/5; 11/5; 28/13; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5
Burnley; 14/5; 13/5; 11/4; 13/5; 143/0; 14/5; 11/4; 13/5; 14/5; 14/5; 11/4; 14/5; 13/5; 27/10; 13/5; 13/5; 27/11; 27/10; 27/10; 11/4; 29/10; 27/10; 27/11; 14/5; 14/5; 14/5; 14/5
