META; english/premier-league/everton-v-arsenal; 2017-10-18 11:59:31 GMT+3; 2017-10-22 13:30; e70300-dr003
Arsenal ; 19/20; 1; 1; 10/11; 1; ; 1; 1; 1; 1; 1; 1; 10/11; 1; 1; 19/20; 9/10; 1; 53/50; 68/67; 1; 1; 21/20; 19/20; 1; ; 1; 1; 1
Draw; 13/5; 13/5; 5/2; 13/5; 13/5; 27/10; 12/5; 13/5; 13/5; 5/2; 5/2; 5/2; 27/10; 11/4; 5/2; 12/5; 13/5; 5/2; 27/10; 45/17; 13/5; 13/5; 13/5; 51/20; 28/11; ; 13/5; 5/2; 13/5
Everton; 13/5; 13/5; 13/5; 14/5; 13/5; 29/10; 11/4; 11/4; 14/5; 27/10; 11/4; 27/10; 11/4; 29/10; 11/4; 13/5; 11/4; 11/4; 57/20; 27/10; 14/5; 11/4; 14/5; 27/10; 11/4; ; 13/5; 13/5; 14/5
