META; english/premier-league/west-brom-v-southampton; 2018-01-22 12:12:39 GMT+2; 2018-02-03 15:00; e70300-dr003
Southampton; 13/8; 9/5; ; ; 87/50; 7/4; 17/10; 17/10; 8/5; ; ; 17/10; ; ; 17/10; 7/4; 7/4; 28/17; 7/4; 11/7; 8/5; 9/5; 9/5; 7/4; 28/17; 17/10; ; 
West Brom; 7/4; 13/8; ; ; 181/ 100; 15/8; 7/4; 9/5; 9/5; ; ; 7/4; ; ; 9/5; 9/5; 7/4; 7/4; 7/4; 18/11; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; ; 
Draw; 21/10; 21/10; ; ; 12/5; 11/5; 21/10; 21/10; 21/10; ; ; 21/10; ; ; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 21/10; 85/40; 85/40; 2; 21/10; 19/10; ; 
META; english/premier-league/west-brom-v-southampton; 2018-01-23 02:12:13 GMT+2; 2018-02-03 15:00; e70300-dr003
Southampton; 13/8; 17/10; ; 7/4; 179/ 100; 7/4; 7/4; 17/10; 8/5; ; ; 17/10; ; 7/4; 17/10; 7/4; 7/4; 28/17; 7/4; 11/7; 8/5; 9/5; 9/5; 7/4; 17/10; 17/10; ; 
West Brom; 7/4; 17/10; ; 7/4; 93/50; 15/8; 9/5; 9/5; 9/5; ; ; 7/4; ; 7/4; 9/5; 15/8; 7/4; 7/4; 7/4; 28/17; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; ; 
Draw; 21/10; 21/10; ; 2; 9/4; 11/5; 21/10; 21/10; 21/10; ; ; 21/10; ; 41/20; 21/10; 21/10; 21/10; 39/19; 21/10; 28/13; 21/10; 85/40; 85/40; 2; 39/19; 19/10; ; 
META; english/premier-league/west-brom-v-southampton; 2018-01-23 17:18:18 GMT+2; 2018-02-03 15:00; e70300-dr003
Southampton; 13/8; 17/10; ; 7/4; 179/ 100; 17/10; 7/4; 17/10; 8/5; ; ; 17/10; ; 7/4; 17/10; 17/10; 7/4; 17/10; 7/4; 11/7; 8/5; 9/5; 9/5; 7/4; 17/10; 8/5; ; 
West Brom; 7/4; 17/10; ; 7/4; 93/50; 9/5; 9/5; 9/5; 9/5; ; ; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; 7/4; 28/17; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; ; 
Draw; 21/10; 21/10; ; 2; 9/4; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; 41/20; 21/10; 2; 21/10; 39/19; 21/10; 28/13; 21/10; 85/40; 85/40; 2; 39/19; 19/10; ; 
META; english/premier-league/west-brom-v-southampton; 2018-01-24 12:13:42 GMT+2; 2018-02-03 15:00; e70300-dr003
Southampton; 13/8; 17/10; ; 7/4; 179/ 100; 17/10; 7/4; 17/10; 8/5; ; ; 17/10; ; 7/4; 17/10; 17/10; 7/4; 17/10; 7/4; 11/7; 8/5; 9/5; 9/5; 7/4; 17/10; ; 13/8; ; 
West Brom; 7/4; 17/10; ; 7/4; 93/50; 9/5; 9/5; 9/5; 9/5; ; ; 7/4; ; 7/4; 9/5; 7/4; 7/4; 7/4; 7/4; 28/17; 9/5; 9/5; 9/5; 7/4; 7/4; ; 9/5; ; 
Draw; 21/10; 21/10; ; 2; 9/4; 21/10; 21/10; 21/10; 21/10; ; ; 21/10; ; 41/20; 21/10; 2; 21/10; 39/19; 21/10; 28/13; 21/10; 85/40; 85/40; 2; 39/19; ; 19/10; ; 
META; english/premier-league/west-brom-v-southampton; 2018-01-30 12:15:08 GMT+2; 2018-02-03 15:00; e70300-dr003
West Brom; 13/8; 7/4; 13/8; 7/4; 44/25; 9/5; 17/10; 17/10; 9/5; 33/20; 7/4; 13/8; ; 17/10; 17/10; 13/8; 7/4; 28/17; 7/4; 48/29; 9/5; 13/8; 17/10; 33/20; 17/10; ; 17/10; ; 
Southampton; 7/4; 7/4; 9/5; 7/4; 197/ 100; 9/5; 15/8; 7/4; 17/10; 9/5; 7/4; 15/8; ; 9/5; 9/5; 7/4; 7/4; 9/5; 7/4; 19/10; 17/10; 15/8; 19/10; 37/20; 24/13; ; 9/5; ; 
Draw; 21/10; 2; 2; 2; 54/25; 11/5; ; 21/10; 39/19; 21/10; 2; 2; ; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 39/19; 85/40; 11/5; 2; 21/10; ; 2; ; 
