META; english/premier-league/chelsea-v-southampton; 2017-12-07 10:52:22 GMT+2; 2017-12-16 15:00; e70300-dr003
Chelsea; ; ; ; ; 4/11; 2/7; 3/10; 1/4; ; ; ; 3/10; ; ; ; 3/10; 4/11; ; 7/20; ; ; ; ; 1/4; ; ; 1/4; ; 
Draw; ; ; ; ; 4; 4; 17/4; 4; ; ; ; 4; ; ; ; 15/4; 4; ; 23/5; ; ; ; ; 17/4; ; ; 7/2; ; 
Southampton; ; ; ; ; 15/2; 12; 19/2; 12; ; ; ; 9; ; ; ; 8; 15/2; ; 19/2; ; ; ; ; 12; ; ; 17/2; ; 
META; english/premier-league/chelsea-v-southampton; 2017-12-08 12:10:36 GMT+2; 2017-12-16 15:00; e70300-dr003
Chelsea; ; ; ; ; 4/11; 2/7; 3/10; 2/7; ; ; ; 3/10; ; ; ; 2/7; 4/11; ; 7/20; ; ; 3/10; ; 2/7; ; ; 1/4; ; 
Draw; ; ; ; ; 4; 9/2; 17/4; 9/2; ; ; ; 4; ; ; ; 4; 4; ; 23/5; ; ; 19/4; ; 4; ; ; 7/2; ; 
Southampton; ; ; ; ; 15/2; 11; 19/2; 11; ; ; ; 9; ; ; ; 17/2; 15/2; ; 19/2; ; ; 11; ; 11; ; ; 17/2; ; 
META; english/premier-league/chelsea-v-southampton; 2017-12-11 18:11:12 GMT+2; 2017-12-16 15:00; e70300-dr003
Chelsea; 1/3; 2/5; 4/11; 2/5; ; 4/11; 7/20; 1/3; 6/17; 4/11; 4/11; 4/11; ; 2/5; 4/11; 4/11; 4/11; 4/11; 37/100; 6/17; 6/17; 2/5; 4/11; 7/20; 4/11; ; 1/3; ; 4/11
Draw; 4; 18/5; 15/4; 15/4; 15/4; 4; 4; 4; 4; 18/5; 4; 15/4; ; 15/4; 17/4; 15/4; 15/4; 75/19; 43/10; 19/5; 4; 4; 4; 15/4; 4; ; 7/2; ; 7/2
Southampton; 8; 7; 15/2; 13/2; 27/4; 9; 8; 17/2; 31/4; 15/2; 8; 7; ; 15/2; 7; 13/2; 27/4; 31/4; 19/2; 33/5; ; 15/2; 9; 8; 31/4; ; 17/2; ; 43/5
META; english/premier-league/chelsea-v-southampton; 2017-12-12 10:55:47 GMT+2; 2017-12-16 15:00; e70300-dr003
Chelsea; 1/3; 2/5; 4/11; 4/11; 6/17; 4/11; 7/20; 1/3; 6/17; 4/11; 4/11; 4/11; ; 2/5; 4/11; 4/11; 6/17; 4/11; 37/100; 6/17; 6/17; 2/5; 4/11; 7/20; 4/11; ; 1/3; ; 
Draw; 4; 18/5; 15/4; 19/5; 4; 4; 4; 4; 4; 18/5; 4; 15/4; ; 15/4; 4; 15/4; 4; 75/19; 43/10; 19/5; 4; 4; 4; 15/4; 75/19; ; 7/2; ; 
Southampton; 8; 7; 15/2; 15/2; 8; 9; 8; 17/2; 31/4; 15/2; 8; 15/2; ; 15/2; 15/2; 13/2; 8; 15/2; 19/2; 33/5; ; 15/2; 9; 8; 15/2; ; 17/2; ; 
