META; english/premier-league/everton-v-leicester; 2018-01-07 12:12:35 GMT+2; 2018-01-31 19:45; e70300-dr003
Everton; ; ; ; ; 31/20; ; ; 6/4; ; ; ; ; ; ; ; ; 16/11; ; 16/11; ; ; 6/4; ; 29/20; ; ; ; ; 
Leicester; ; ; ; ; 85/40; ; ; 15/8; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 2; ; 2; ; ; ; ; 
Draw; ; ; ; ; 23/10; ; ; 2; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 11/5; ; 21/10; ; ; ; ; 
META; english/premier-league/everton-v-leicester; 2018-01-10 12:18:22 GMT+2; ; e70300-dr003
Everton; ; ; ; ; 31/20; 6/4; ; 6/4; ; ; ; ; ; ; ; ; 16/11; ; 16/11; ; ; 6/4; ; 29/20; ; ; 1/20; ; 
Leicester; ; ; ; ; 85/40; 2; ; 2; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 2; ; 2; ; ; 1/25; ; 
Draw; ; ; ; ; 23/10; 11/5; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 11/5; ; 21/10; ; ; 2; ; 
META; english/premier-league/everton-v-leicester; 2018-01-10 13:39:36 GMT+2; 2018-01-31 19:45; e70300-dr003
Everton; ; ; ; ; 31/20; 6/4; ; 6/4; ; ; ; ; ; ; ; ; 16/11; ; 16/11; ; ; 6/4; ; 29/20; ; 1/20; ; 
Leicester; ; ; ; ; 85/40; 2; ; 2; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 2; ; 2; ; 1/25; ; 
Draw; ; ; ; ; 23/10; 11/5; ; 11/5; ; ; ; ; ; ; ; ; 21/10; ; 21/10; ; ; 11/5; ; 21/10; ; 2; ; 
META; english/premier-league/everton-v-leicester; 2018-01-17 12:22:49 GMT+2; 2018-01-31 19:45; e70300-dr003
Everton; 11/8; 7/5; 7/5; 29/20; 38/25; 29/20; 6/4; 7/5; 16/11; 11/8; ; 7/5; ; 7/5; 6/4; 13/10; 16/11; 7/5; 16/11; 17/13; 16/11; 6/4; 29/20; 29/20; 7/5; 11/8; ; 
Leicester; 11/5; 2; 2; 19/10; 113/ 50; 2; 21/10; 2; 37/19; 2; ; 21/10; ; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 13/7; 37/19; 2; 85/40; 2; 21/10; 6/4; ; 
Draw; 2; 9/4; 21/10; 9/4; 11/5; 9/4; 21/10; 9/4; 11/5; 21/10; ; 2; ; 11/5; 21/10; 2; 21/10; 39/19; 21/10; 40/17; 11/5; 11/5; 23/10; 21/10; 21/10; 2; ; 
META; english/premier-league/everton-v-leicester; 2018-01-18 18:16:56 GMT+2; 2018-01-31 19:45; e70300-dr003
Everton; 13/10; 7/5; 7/5; 29/20; 38/25; 7/5; 7/5; 7/5; 16/11; 7/5; ; 11/8; ; 7/5; 6/4; 13/10; 23/17; 7/5; 23/17; 23/17; 16/11; 6/4; 29/20; 29/20; 7/5; 7/5; ; 
Draw; 2; 9/4; 21/10; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 21/10; ; 11/5; ; 11/5; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 9/4; 21/10; 21/10; 2; ; 
Leicester; 12/5; 2; 2; 19/10; 113/ 50; 11/5; 21/10; 11/5; 37/19; 2; ; 21/10; ; 21/10; 21/10; 2; 23/10; 21/10; 23/10; 19/10; 37/19; 2; 11/5; 2; 28/13; 21/10; ; 
META; english/premier-league/everton-v-leicester; 2018-01-19 12:13:05 GMT+2; 2018-01-31 19:45; e70300-dr003
Everton; 13/10; 7/5; 16/11; 29/20; 39/25; 7/5; 6/4; 7/5; 16/11; 7/5; ; 11/8; ; 7/5; 6/4; 11/8; 16/11; 7/5; 16/11; 7/5; 16/11; 6/4; 29/20; 29/20; 7/5; ; 11/8; ; 
Draw; 2; 9/4; 21/10; 9/4; 11/5; 21/10; 21/10; 21/10; 11/5; 21/10; ; 11/5; ; 11/5; 21/10; 21/10; 21/10; 39/19; 21/10; 21/10; 11/5; 11/5; 9/4; 21/10; 21/10; ; 2; ; 
Leicester; 12/5; 2; 2; 19/10; 11/5; 11/5; 21/10; 11/5; 37/19; 19/10; ; 21/10; ; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 19/10; 37/19; 2; 11/5; 2; 21/10; ; 21/10; ; 
META; english/premier-league/everton-v-leicester; 2018-01-22 12:12:11 GMT+2; 2018-01-31 19:45; e70300-dr003
Leicester; 6/4; 6/4; 16/11; 6/4; 39/25; 6/4; 6/4; 6/4; 6/4; 7/5; ; 7/5; ; 29/20; 6/4; 7/5; 16/11; 16/11; 16/11; 19/13; 6/4; 7/5; 6/4; 7/5; 16/11; 6/4; ; 6/4
Everton; 9/5; 2; 2; 15/8; 54/25; 11/5; 2; 21/10; 21/10; 2; ; 2; ; 41/20; 11/5; 19/10; 21/10; 2; 21/10; 28/13; 21/10; 85/40; 85/40; 21/10; 2; 2; ; 21/10
Draw; 11/5; 21/10; 21/10; 21/10; 9/4; 9/4; 21/10; 21/10; 2; 21/10; ; 11/5; ; 43/20; 2; 21/10; 21/10; 21/10; 21/10; 28/13; 2; 11/5; 11/5; 21/10; 21/10; 2; ; 11/5
META; english/premier-league/everton-v-leicester; 2018-01-23 02:11:45 GMT+2; 2018-01-31 19:45; e70300-dr003
Leicester; 11/8; 7/5; 7/5; 6/4; 39/25; 31/20; 6/4; 6/4; 6/4; 7/5; ; 7/5; ; 29/20; 6/4; 7/5; 16/11; 16/11; 16/11; 19/13; 6/4; 7/5; 6/4; 7/5; 16/11; 6/4; 7/5; 6/4
Everton; 2; 2; 2; 15/8; 85/40; 21/10; 2; 2; 21/10; 2; ; 2; ; 41/20; 11/5; 2; 21/10; 2; 21/10; 28/13; 21/10; 85/40; 85/40; 21/10; 2; 2; 15/8; 21/10
Draw; 11/5; 9/4; 21/10; 21/10; 57/25; 11/5; 21/10; 21/10; 2; 21/10; ; 11/5; ; 43/20; 2; 21/10; 21/10; 21/10; 21/10; 28/13; 2; 11/5; 9/4; 21/10; 21/10; 2; 15/8; 11/5
META; english/premier-league/everton-v-leicester; 2018-01-23 17:17:47 GMT+2; 2018-01-31 19:45; e70300-dr003
Leicester; 11/8; 7/5; 7/5; 6/4; 39/25; 6/4; 6/4; 6/4; 6/4; 7/5; ; 7/5; ; 29/20; 6/4; 7/5; 16/11; 16/11; 16/11; 19/13; 6/4; 7/5; 6/4; 7/5; 16/11; 6/4; 6/4; 6/4
Everton; 2; 2; 2; 15/8; 85/40; 2; 2; 2; 21/10; 2; ; 2; ; 41/20; 11/5; 2; 21/10; 2; 21/10; 28/13; 21/10; 85/40; 85/40; 21/10; 2; 2; 19/10; 21/10
Draw; 11/5; 9/4; 21/10; 21/10; 57/25; 21/10; 21/10; 21/10; 2; 21/10; ; 11/5; ; 43/20; 2; 21/10; 21/10; 21/10; 21/10; 28/13; 2; 11/5; 9/4; 21/10; 21/10; 2; 2; 11/5
META; english/premier-league/everton-v-leicester; 2018-01-24 12:13:13 GMT+2; 2018-01-31 19:45; e70300-dr003
Leicester; 11/8; 7/5; 16/11; 6/4; 159/ 100; 6/4; 6/4; 6/4; 6/4; 29/20; 29/20; 29/20; ; 6/4; 6/4; 7/5; 17/11; 16/11; 17/11; 22/15; 6/4; 6/4; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4
Everton; 2; 2; 2; 15/8; 21/10; 2; 2; 2; 21/10; 2; 2; 19/10; ; 2; 2; 19/10; 2; 2; 2; 21/10; 21/10; 2; 21/10; 2; 2; ; 19/10; 19/10; 2
Draw; 11/5; 9/4; 21/10; 21/10; 113/ 50; 21/10; 21/10; 21/10; 2; 21/10; 21/10; 11/5; ; 43/20; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 2; 11/5; 9/4; 21/10; 21/10; ; 2; 2; 11/5
META; english/premier-league/everton-v-leicester; 2018-01-30 12:14:39 GMT+2; 2018-01-31 19:45; e70300-dr003
Leicester; 13/8; 6/4; 6/4; 13/8; 13/8; 13/8; 8/5; 6/4; 13/8; 6/4; 13/8; 31/20; 6/4; 31/20; 33/20; 6/4; 17/11; 17/11; 17/11; 23/15; 17/11; 6/4; 31/20; 31/20; 8/5; ; 8/5; 8/5; 13/8
Everton; 2; 2; 19/10; 2; 85/40; 2; 2; ; 39/19; 2; 2; 19/10; 15/8; 2; 2; 2; 37/19; 39/19; 37/19; 2; 2; 2; 21/10; 2; 39/19; ; 19/10; 2; 21/10
Draw; 11/5; 21/10; 21/10; 21/10; 109/ 50; 9/4; 21/10; ; 11/5; 21/10; 9/4; 9/4; 11/5; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 11/5; 28/13; 11/5; 11/5; 21/10; 21/10; ; 2; 21/10; 21/10
META; english/premier-league/everton-v-leicester; 2018-01-30 12:40:22 GMT+2; 2018-01-31 19:45; e70300-dr003
Leicester; 13/8; 6/4; 6/4; 13/8; 13/8; 13/8; 8/5; 6/4; 13/8; 6/4; 13/8; 31/20; 6/4; 31/20; 33/20; 6/4; 17/11; 17/11; 17/11; 23/15; 17/11; 6/4; 31/20; 31/20; 8/5; ; 8/5; 8/5; 13/8
Everton; 2; 2; 19/10; 2; 85/40; 2; 2; ; 39/19; 2; 2; 19/10; 15/8; 2; 2; 2; 37/19; 39/19; 37/19; 2; 2; 2; 21/10; 2; 39/19; ; 19/10; 2; 2
Draw; 11/5; 21/10; 21/10; 21/10; 109/ 50; 9/4; 21/10; ; 11/5; 21/10; 9/4; 9/4; 11/5; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 11/5; 28/13; 11/5; 11/5; 21/10; 21/10; ; 2; 21/10; 21/10
