META; english/premier-league/everton-v-liverpool; 2018-03-18 14:14:21 GMT+2; 2018-04-08 14:15; e70300-dr003
Liverpool; 1/2; 8/15; 4/9
Draw; 10/3; 10/3; 14/5
Everton; 5; 19/4; 23/5
META; english/premier-league/everton-v-liverpool; 2018-03-19 08:13:27 GMT+2; 2018-04-08 14:15; e70300-dr003
Liverpool; 1/2; 8/15; 4/9
Draw; 10/3; 10/3; 14/5
Everton; 5; 19/4; 23/5
META; english/premier-league/everton-v-liverpool; 2018-03-20 08:13:45 GMT+2; 2018-04-08 14:15; e70300-dr003
Liverpool; 1/2; 8/15; 4/9
Draw; 10/3; 10/3; 14/5
Everton; 5; 19/4; 23/5
META; english/premier-league/everton-v-liverpool; 2018-03-21 14:14:12 GMT+2; 2018-04-07 12:30; e70300-dr003
Liverpool; 1/2; 8/15; 11/20; 57/00; 4/9; 8/15; 4/9; 1/2; 8/15; 11/20; 11/20; 8/15; 18/35; 8/15; 1/2; 1/2; 8/15; 1/2; 18/35; 1/2
Draw; 10/3; 10/3; 10/3; 18/5; 3; 10/3; 3; 17/5; 3; 16/5; 16/5; 33/10; 10/3; 17/5; 17/5; 17/5; 10/3; 33/10; 3; 
Everton; 5; 19/4; 9/2; 26/5; 5; 5; 5; 19/4; 19/4; 9/2; 49/10; 5; 43/10; 24/5; 11/2; 19/4; 94/19; 23/5; ; 
META; english/premier-league/everton-v-liverpool; 2018-03-22 12:33:12 GMT+2; 2018-04-07 12:30; e70300-dr003
Liverpool; 1/2; 8/15; 11/20; 57/100; 4/9; 8/15; 4/9; 1/2; 8/15; 11/20; 11/20; 8/15; 18/35; 8/15; 1/2; 1/2; 8/15; 1/2; 8/15; 1/2
Draw; 10/3; 10/3; 10/3; 18/5; 3; 10/3; 3; 17/5; 3; 16/5; 16/5; 33/10; 10/3; 17/5; 17/5; 17/5; 10/3; 33/10; 14/5; 
Everton; 5; 19/4; 9/2; 26/5; 5; 5; 5; 19/4; 19/4; 9/2; 49/10; 5; 43/10; 24/5; 11/2; 19/4; 49/10; 23/5; ; 
META; english/premier-league/everton-v-liverpool; 2018-03-26 12:13:37 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 1/2; 8/15; 8/15; 11/20; 29/50; 4/9; 8/15; 4/9; 1/2; 8/15; 1/2; 8/15; 11/20; 11/20; 1/2; 8/15; 1/2; 1/2; 8/15; 8/15; 8/15; 8/15
Draw; 10/3; 10/3; 16/5; 10/3; 18/5; 31/10; 10/3; 3; 17/5; 16/5; 10/3; 16/5; 16/5; 3; 33/10; 10/3; 17/5; 17/5; 17/5; 16/5; 33/10; 3
Everton; 5; 19/4; 24/5; 9/2; 26/5; 9/2; 5; 9/2; 5; 24/5; 5; 19/4; 19/4; 4; 24/5; 5; 43/10; 24/5; 11/2; 5; 24/5; 23/5
META; english/premier-league/everton-v-liverpool; 2018-03-27 08:13:24 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 1/2; 8/15; 8/15; 11/20; 29/50; 4/9; 8/15; 4/9; 1/2; 8/15; 1/2; 8/15; 11/20; 11/20; 1/2; 8/15; 1/2; 1/2; 8/15; 8/15; 8/15; 8/15
Draw; 10/3; 10/3; 16/5; 10/3; 18/5; 31/10; 10/3; 3; 17/5; 16/5; 10/3; 16/5; 16/5; 3; 33/10; 10/3; 17/5; 17/5; 17/5; 16/5; 33/10; 3
Everton; 5; 19/4; 24/5; 9/2; 51/10; 9/2; 5; 9/2; 5; 24/5; 5; 19/4; 19/4; 4; 19/4; 5; 43/10; 24/5; 11/2; 5; 19/4; 23/5
META; english/premier-league/everton-v-liverpool; 2018-03-28 08:14:06 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 1/2; 8/15; 8/15; 11/20; 29/50; 4/9; 8/15; 4/9; 11/21; 8/15; 8/15; 8/15; 4/7; 11/20; 1/2; 8/15; 1/2; 11/21; 8/15; 8/15; 8/15; 8/15
Draw; 10/3; 10/3; 16/5; 10/3; 18/5; 31/10; 10/3; 3; 57/17; 16/5; 16/5; 16/5; 16/5; 3; 13/4; 10/3; 17/5; 57/17; 17/5; 10/3; 33/10; 3
Everton; 5; 19/4; 19/4; 9/2; 51/10; 9/2; 19/4; 9/2; 19/4; 19/4; 5; 19/4; 19/4; 4; 47/10; 5; 43/10; 23/5; 11/2; 9/2; 19/4; 23/5
META; english/premier-league/everton-v-liverpool; 2018-03-29 08:13:43 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 8/15; 8/13; 6/10; 11/20; 63/100; 4/7; 4/7; 1/2; 11/21; 4/7; 4/7; 6/10; 6/10; 3/5; 8/15; 4/7; 6/11; 4/7; 11/21; 3/5; 4/7; 10/17; 8/15
Draw; 16/5; 3; 10/3; 17/5; 17/5; 16/5; 3; 57/17; 3; 16/5; 3; 31/10; 16/5; 14/5; 31/10; 13/4; 16/5; 57/17; 16/5; 16/5; 41/13; 3; 
Everton; 19/4; 17/4; 9/2; 9/2; 47/10; 9/2; 9/2; 4; 19/4; 17/4; 9/2; 9/2; 9/2; 17/4; 4; 22/5; 19/4; 39/10; 23/5; 5; 9/2; 49/11; 22/5
META; english/premier-league/everton-v-liverpool; 2018-03-31 12:14:23 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 4/7; 8/13; 6/10; 11/20; 63/100; 4/7; 3/5; 1/2; 11/21; 4/7; 4/7; 6/10; 6/10; 8/13; 4/7; 4/7; 6/11; 4/7; 11/21; 8/15; 4/7; 8/15
Draw; 16/5; 3; 10/3; 17/5; 16/5; 16/5; 3; 57/17; 3; 16/5; 31/10; 3; 13/4; 16/5; 57/17; 16/5; 16/5; 3; ; ; ; 
Everton; 17/4; 17/4; 9/2; 9/2; 47/10; 9/2; 9/2; 4; 19/4; 17/4; 9/2; 9/2; 9/2; 9/2; 74/17; 19/4; 39/10; 23/5; 11/2; 9/2; 22/5; 21/5
META; english/premier-league/everton-v-liverpool; 2018-04-03 18:13:46 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 8/13; 4/6; 4/6; 13/20; 18/25; 4/6; 4/6; 8/13; 11/17; 4/6; 8/13; 7/10; 4/7; 7/10; 4/6; 8/13; 9/13; 8/13; 13/19; 11/17; 4/6; 4/6; 9/13; 4/6; 8/13; 4/6; 4/6
Draw; 16/5; 29/10; 29/10; 3; 61/20; 31/10; 29/10; 3; 31/10; 29/10; 3; 13/5; 16/5; 29/10; 16/5; 14/5; 56/19; 31/10; 58/19; 31/10; 31/10; 59/20; 3; 14/5; 12/5; 3; 
Everton; 15/4; 19/5; 19/5; 4; 22/5; 4; 4; 4; 4; 9/2; 19/5; 15/4; 15/4; 77/19; 17/4; 75/19; 39/10; 17/4; 15/4; 41/10; 21/5; 4; 22/5; ; ; ; 
META; english/premier-league/everton-v-liverpool; 2018-04-04 08:13:23 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 8/13; 4/6; 4/6; 13/20; 18/25; 4/6; 4/6; 8/13; 11/17; 4/6; 4/6; 4/6; 4/7; 4/6; 4/6; 8/13; 9/13; 4/6; 13/19; 11/17; 8/15; 4/6; 9/13; 4/6; 4/6; 4/6; 4/6
Draw; 16/5; 29/10; 29/10; 3; 63/20; 3; 29/10; 11/4; 31/10; 29/10; 11/4; 14/5; 16/5; 29/10; 16/5; 14/5; 3; 58/19; 31/10; 17/5; 59/20; 58/19; 14/5; 14/5; 3; ; 
Everton; 15/4; 19/5; 19/5; 4; 21/5; 4; 4; 19/5; 4; 15/4; 9/2; 4; 15/4; 15/4; 77/19; 4; 75/19; 39/10; 11/2; 4; 41/10; 7/2; 4; 4; ; ; 
META; english/premier-league/everton-v-liverpool; 2018-04-04 18:14:27 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 8/13; 4/6; 4/6; 13/20; 18/25; 4/6; 4/6; 8/13; 13/18; 4/6; 4/6; 4/6; 4/7; 4/6; 4/6; 8/13; 9/13; 4/6; 13/19; 7/10; 7/10; 4/6; 9/13; 4/6; 4/6; 4/6; 4/6
Draw; 16/5; 29/10; 29/10; 3; 31/10; 31/10; 29/10; 11/4; 58/19; 29/10; 11/4; 3; 16/5; 29/10; 16/5; 14/5; 3; 58/19; 56/19; 31/10; 59/20; 3; 3; 3; ; ; 
Everton; 15/4; 19/5; 19/5; 4; 43/10; 9/2; 4; 41/10; 19/5; 4; 15/4; 9/2; 4; 15/4; 15/4; 77/19; 4; 75/19; 4; 4; 41/10; 7/2; 4; 4; ; ; 
META; english/premier-league/everton-v-liverpool; 2018-04-05 13:08:00 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 10/11; 17/20; 10/11; 5/6; 97/100; 10/11; 10/11; 5/6; 10/11; 10/11; 9/10; 20/23; 4/5; 19/20; 10/11; 17/20; 19/20; 11/13; 10/11; 7/8; 37/40; 19/20; 20/21; 10/11; 20/21; 20/21
Draw; 13/5; 13/5; 5/2; 13/5; 11/4; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 5/2; 14/5; 13/5; 13/5; 12/5; 13/5; 11/4; 11/4; 27/10; 27/10; 45/17; 13/5; 13/5; 27/10; 13/5
Everton; 3; 29/10; 16/5; 63/20; 10/3; 3; 13/4; 29/10; 3; 10/3; 29/10; 3; 14/5; 58/19; 31/10; 3; 16/5; 16/5; 31/10; 3; 3; ; ; ; ; 
META; english/premier-league/everton-v-liverpool; 2018-04-06 08:13:22 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 10/11; 17/20; 20/23; 10/11; 93/100; 10/11; 10/11; 5/6; 10/11; 20/23; 20/21; 10/11; 10/11; 10/11; 10/11; 17/20; 10/11; 11/13; 9/10; 7/8; 37/40; 10/11; 10/11; 10/11; 10/11; 10/11
Draw; 11/4; 13/5; 5/2; 13/5; 69/25; 11/4; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 13/5; 27/10; 13/5; 12/5; 45/17; 11/4; 27/10; 27/10; 27/10; 27/10; 13/5; 13/5; 13/5; 13/5
Everton; 16/5; 16/5; 3; 10/3; 10/3; 3; 13/4; 3; 31/10; 3; 31/10; 3; 14/5; 58/19; 31/10; 31/10; 16/5; 16/5; 31/10; 3; 3; ; ; ; ; 
META; english/premier-league/everton-v-liverpool; 2018-04-06 09:15:16 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 10/11; 17/20; 20/23; 10/11; 10/11; 10/11; 5/6; 10/11; 20/23; 20/21; 10/11; 10/11; 10/11; 10/11; 17/20; 10/11; 11/13; 11/12; 7/8; 37/40; 10/11; 9/10; 10/11; 10/11; 10/11
Draw; 11/4; 13/5; 5/2; 13/5; 11/4; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 13/5; 27/10; 13/5; 12/5; 45/17; 11/4; 27/10; 27/10; 27/10; 27/10; 13/5; 13/5; 11/4; 27/10
Everton; 16/5; 16/5; 3; 10/3; 3; 13/4; 3; 31/10; 3; 31/10; 3; 14/5; 58/19; 31/10; 3; 16/5; 16/5; 31/10; 3; 3; ; ; ; ; 
META; english/premier-league/everton-v-liverpool; 2018-04-06 16:26:00 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 10/11; 10/11; 20/23; 10/11; 10/11; 10/11; 10/11; 5/6; 15/16; 20/23; 20/21; 10/11; 10/11; 19/20; 19/20; 17/20; 10/11; 9/10; 15/16; 10/11; 9/10; 10/11; 9/10; 10/11; 20/21; 10/11
Draw; 11/4; 13/5; 5/2; 13/5; 11/4; 11/4; 13/5; 13/5; 11/4; 5/2; 13/5; 5/2; 13/5; 11/4; 11/4; 12/5; 45/17; 13/5; 27/10; 27/10; 11/4; 27/10; 13/5; 27/10; 11/4; 27/10
Everton; 16/5; 29/10; 3; 16/5; 69/20; 16/5; 16/5; 3; 41/13; 3; 31/10; 16/5; 3; 29/10; 3; 14/5; 16/5; 31/10; 29/10; 31/10; 10/3; 16/5; 3; 3; ; 
META; english/premier-league/everton-v-liverpool; 2018-04-07 12:14:08 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 1; 19/20; 1; 51/50; 1; 20/21; 10/11; 42/41; 1; 19/20; 1; 1; 1; 19/20; 19/20; 66/67; 39/40; 20/21; 1; 20/21; 1; 1; ; ; ; 
Draw; 27/10; 13/5; 5/2; 13/5; 27/10; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 5/2; 13/5; 27/10; 53/20; 13/5; 45/17; 13/5; 45/17; 13/5; 27/10; 45/17; 13/5; 13/5; 13/5; 13/5
Everton; 29/10; 14/5; 11/4; 14/5; 3; 29/10; 29/10; 11/4; 29/10; 29/10; 11/4; 14/5; 11/4; 11/4; 14/5; 14/5; 37/13; 29/10; 14/5; 14/5; 31/10; 29/10; 14/5; 14/5; 14/5; 14/5
META; english/premier-league/everton-v-liverpool; 2018-04-07 13:21:55 GMT+3; 2018-04-07 12:30; e70300-dr003
Liverpool; 11/10; 11/10; 21/20; 11/10; 111/100; 11/10; 1; 13/12; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 1; 12/11; 21/20; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 
Draw; 5/2; 5/2; 12/5; 5/2; 131/50; 13/5; 13/5; 12/5; 13/5; 5/2; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 28/11; 28/11; 13/5; 28/11; 12/5; 5/2; 13/5; 5/2
Everton; 11/4; 13/5; 5/2; 13/5; 139/50; 14/5; 11/4; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 11/4; 13/5; 27/10; 27/10; 45/17; 27/10; 11/4; 14/5; 14/5
