META; english/premier-league/arsenal-v-west-ham; 2018-04-03 18:15:04 GMT+3; 2018-04-22 13:30; e70300-dr003
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-04 08:14:40 GMT+3; 2018-04-22 13:30; e70300-dr003
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-04 18:15:49 GMT+3; 2018-04-22 13:30; e70300-dr003
Arsenal; 2/5; 4/9; 3/8; 3/8; 4/11
Draw; 7/2; 41/10; 15/4; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2; 15/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-05 13:09:18 GMT+3; 2018-04-22 13:30; e70300-dr003
Arsenal; 2/5; 4/9; 3/8; 3/8
Draw; 7/2; 41/10; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-06 08:14:40 GMT+3; 2018-04-22 13:30; e70300-dr003
Arsenal; 2/5; 3/8; 3/8
Draw; 7/2; 15/4; 15/4
West Ham; 13/2; 27/4; 13/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-07 12:15:32 GMT+3; 2018-04-22 13:30; e70300-dr003
Arsenal; 2/5; 4/9; 3/8; 3/8
Draw; 7/2; 41/10; 15/4; 15/4
West Ham; 13/2; 7; 27/4; 13/2
META; english/premier-league/arsenal-v-west-ham; 2018-04-10 08:13:48 GMT+3; 2018-04-22 13:30; e70300-dr003
Arsenal; 4/11; 2/5; 2/5; 21/50; 1/3; 4/11; 3/10; 7/19; 4/11; 4/11; 2/5; 2/5; 2/5; 7/19; 10/29; 7/19; 4/11; 7/19; 1/3
Draw; 17/4; 7/2; 19/5; 43/10; 15/4; 4; 7/2; 4; 15/4; 4; 15/4; 19/5; 17/4; 4; 75/19; 4; 17/4; 77/19; 3
