META; english/premier-league/man-utd-v-bournemouth; 2017-12-07 10:52:06 GMT+2; 2017-12-13 20:00; e70300-dr003
Man Utd; ; 1/4; ; ; 2/9; 2/9; 1/4; 2/9; 1/4; ; 2/9; 1/4; ; 2/7; 1/4; ; 2/9; 4/17; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; ; 2/9; ; 
Draw; ; 9/2; ; ; 11/2; 5; 19/4; 5; 19/4; 9/2; 5; 9/2; ; 9/2; 5; ; 11/2; 19/4; 28/5; 22/5; 19/4; 5; 5; 19/4; 24/5; ; 3; ; 
Bournemouth; ; 12; ; ; 12; 14; 11; 14; 11; ; 14; 12; ; 11; ; ; 12; 21/2; 29/2; 19/2; 21/2; 11; 14; 11; 43/4; ; 66/5; ; 
META; english/premier-league/man-utd-v-bournemouth; 2017-12-08 12:10:21 GMT+2; 2017-12-13 20:00; e70300-dr003
Man Utd; ; 1/4; ; ; 5/19; 2/9; 1/4; 2/9; 1/4; 1/4; 2/9; 1/4; ; 2/7; 2/7; ; 5/19; 1/4; 27/100; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; ; 2/9; ; 
Draw; ; 9/2; ; ; 19/4; 5; 19/4; 5; 19/4; 9/2; 5; 9/2; ; 9/2; 9/2; ; 19/4; 24/5; 27/5; 22/5; 19/4; 5; 5; 19/4; 63/13; ; 3; ; 
Bournemouth; ; 12; 11; ; 21/2; 14; 11; 14; 11; 11; 14; 10; ; 11; 10; ; 21/2; 41/4; 13; 19/2; 21/2; 11; 14; 11; 41/4; ; 66/5; ; 
META; english/premier-league/man-utd-v-bournemouth; 2017-12-11 18:10:55 GMT+2; 2017-12-13 20:00; e70300-dr003
Man Utd; 2/7; 3/10; 5/18; 2/7; 5/19; 1/4; 1/4; 1/4; 2/7; 2/7; 2/7; 2/7; 1/5; 2/7; 2/7; 2/7; 5/19; 2/7; 2/7; 2/7; 2/7; 3/10; 2/7; 1/4; 2/7; ; 1/4; 1/4; 3/10
Draw; ; 9/2; 9/2; 9/2; 19/4; 5; 19/4; 5; 5; 9/2; 5; 9/2; 11/2; 19/4; 5; 9/2; 19/4; 50/11; 11/2; 24/5; 24/5; 19/4; 5; 19/4; 23/5; ; 24/5; 24/5; 5
Bournemouth; 11; 9; 11; 11; 21/2; 12; 11; 11; 10; 11; 11; 11; 12; 11; 11; 11; 21/2; 21/2; 11; 19/2; 19/2; 10; 12; 12; 43/4; ; 59/5; 58/5; 59/5
META; english/premier-league/man-utd-v-bournemouth; 2017-12-12 10:55:32 GMT+2; 2017-12-13 20:00; e70300-dr003
Man Utd; 2/7; 2/7; 5/18; 2/7; 5/19; 1/4; 1/4; 1/4; 3/11; 2/7; 2/7; 2/7; 1/5; 1/4; 2/7; 2/7; 5/19; 2/7; 29/100; 2/7; 1/4; 3/10; 2/7; 1/4; 2/7; ; 1/4; 1/4; 3/10
Draw ; ; 9/2; 9/2; 9/2; 19/4; 5; 19/4; 5; 91/17; 9/2; 5; 9/2; 11/2; 19/4; 5; 9/2; 19/4; 23/5; 51/10; 24/5; 21/4; 5; 5; 19/4; 79/17; ; 24/5; 23/5; 26/5
Bournemouth; 11; 9; 11; 11; 21/2; 12; 11; 11; 23/2; 11; 11; 11; 12; 11; 11; 11; 21/2; 43/4; 12; 19/2; 11; 10; 12; 12; 43/4; ; 57/5; 11; 57/5
META; english/premier-league/man-utd-v-bournemouth; 2017-12-13 12:41:21 GMT+2; 2017-12-13 20:00; e70300-dr003
Man Utd; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 2/9; 1/4; 1/4; ; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4; 3/13; 1/4; 2/9; 1/4; 1/4; ; 1/4; 1/4; 1/4
Draw ; 11/2; 19/4; 11/2; 5; 11/2; 11/2; 11/2; 5; 11/2; ; 11/2; 9/2; 5; 11/2; 11/2; 11/2; 11/2; 49/10; 57/10; 53/10; 27/5; 11/2; 11/2; 5; 94/19; ; 11/2; 27/5; 28/5
Bournemouth; 13; 11; 14; 12; 23/2; 14; 14; 11; 13; ; 14; 12; 12; 13; 12; 12; 23/2; 27/2; 14; 11; 13; 12; 16; 12; 55/4; ; 64/5; 68/5; 67/5
