META; english/premier-league/watford-v-burnley; 2018-03-18 14:14:12 GMT+2; 2018-04-07 15:00; e70300-dr003
Watford; 5/4; 5/4; 127/100; 11/10; 19/17; 13/10; 27/20; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; 21/20
Draw; 11/5; 9/4; 61/25; 15/8; 23/10; 21/10; 21/10; 11/5; 9/4; 9/4; 11/5; 11/5; 19/10; 
Burnley; 23/10; 23/10; 63/25; 11/5; 5/2; 23/10; 9/4; 23/10; 12/5; 11/5; 9/4; 11/5; 2; 
META; english/premier-league/watford-v-burnley; 2018-03-19 08:13:18 GMT+2; 2018-04-07 15:00; e70300-dr003
Watford; 5/4; 5/4; 127/100; 23/20; 11/10; 19/17; 13/10; 27/20; 13/10; 5/4; 13/10; 17/14; 19/17; 13/10; 13/10; 13/10; 21/20
Draw; 11/5; 9/4; 61/25; 19/10; 15/8; 23/10; 21/10; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 11/5; 19/10; 
Burnley; 23/10; 23/10; 63/25; 11/5; 11/5; 5/2; 23/10; 9/4; 23/10; 12/5; 28/13; 28/13; 5/2; 9/4; 28/13; 2; 
META; english/premier-league/watford-v-burnley; 2018-03-20 08:13:36 GMT+2; 2018-04-07 15:00; e70300-dr003
Watford; 5/4; 5/4; 5/4; 129/100; 23/20; 11/10; 5/4; 13/10; 27/20; 13/10; 5/4; 5/4; 5/4; 17/14; 5/4; 13/10; 5/4; 5/4; 21/20
Draw; 11/5; 9/4; 11/5; 59/25; 19/10; 15/8; 21/10; 21/10; 21/10; 11/5; 9/4; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 9/4; 19/10
Burnley; 23/10; 23/10; 23/10; 64/25; 11/5; 11/5; 27/11; 23/10; 23/10; 23/10; 12/5; 11/5; 12/5; 28/13; 27/11; 47/20; 11/5; 2; 
META; english/premier-league/watford-v-burnley; 2018-03-21 14:14:28 GMT+2; 2018-04-07 15:00; e70300-dr003
Watford; 5/4; 5/4; 5/4; 129/00; 23/20; 11/10; 5/4; 13/10; 27/20; 13/10; 6/5; 5/4; 5/4; 17/14; 5/4; 13/10; 5/4; 5/4; 10/9
Draw; 11/5; 9/4; 11/5; 59/25; 19/10; 15/8; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 11/5; 21/10; 11/5; 11/5; 28/13; 2
Burnley; 23/10; 23/10; 23/10; 64/25; 11/5; 11/5; 27/11; 23/10; 23/10; 23/10; 23/10; 40/17; 12/5; 28/13; 27/11; 5/2; 47/20; 40/17; 2
META; english/premier-league/watford-v-burnley; 2018-03-22 12:33:27 GMT+2; 2018-04-07 15:00; e70300-dr003
