META; english/premier-league/man-utd-v-swansea; 2018-03-12 20:13:48 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 6/25; 2/13; 1/7; 1/5; 2/9; 2/9; 2/11; 1/5; 1/5; 3/16; 1/5; 1/5; 1/5; 1/5; 2/9
Draw; 6; 5; 29/5; 5; 6; 11/2; 5; 26/5; 23/4; 51/10; 6; 5; 21/4; 21/5; ; ; ; 
Swansea; 14; 12; 12; 31/2; 11; 11; 21/2; 14; 12; 12; 53/4; 13; 23/2; 10; 18; 16; 27/2; 34/5
META; english/premier-league/man-utd-v-swansea; 2018-03-13 12:16:22 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 6/25; 1/8; 1/8; 1/5; 2/9; 2/9; 2/11; 1/5; 1/5; 3/16; 1/5; 1/5; 1/5; 1/5; 2/9
Draw; 6; 5; 29/5; 5; 6; 11/2; 5; 53/10; 11/2; 51/10; 6; 5; 91/17; 21/5; ; ; ; 
Swansea; 14; 12; 12; 31/2; 14; 14; 21/2; 14; 12; 12; 53/4; 14; 23/2; 10; 18; 16; 27/2; 64/5
META; english/premier-league/man-utd-v-swansea; 2018-03-13 20:14:14 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 6/25; 1/8; 1/8; 1/5; 2/9; 2/9; 2/11; 1/5; 1/5; 3/16; 1/5; 1/5; 1/5; 1/5; 2/9
Draw; 6; 5; 29/5; 5; 6; 11/2; 5; 53/10; 11/2; 51/10; 6; 5; 91/17; 21/5; ; ; ; 
Swansea; 14; 12; 12; 31/2; 14; 14; 21/2; 14; 12; 12; 53/4; 14; 23/2; 10; 18; 16; 27/2; 64/5
META; english/premier-league/man-utd-v-swansea; 2018-03-14 20:14:00 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 6/25; 1/8; 2/11; 1/8; 1/5; 1/5; 2/9; 2/9; 2/11; 1/5; 1/5; 3/16; 1/5; 1/5; 1/5; 1/5; 2/9
Draw; 6; 5; 29/5; 5; 5; 5; 11/2; 5; 53/10; 11/2; 51/10; 6; 5; 91/17; 21/5; ; ; ; ; 
Swansea; 14; 12; 12; 31/2; 14; 16; 14; 21/2; 14; 14; 12; 12; 53/4; 14; 23/2; 10; 18; 16; 27/2; 64/5
META; english/premier-league/man-utd-v-swansea; 2018-03-15 10:20:28 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 6/25; 1/8; 2/11; 1/8; 1/5; 1/5; 2/9; 2/9; 2/11; 1/5; 1/5; 3/16; 1/5; 1/5; 1/5; 1/5; 2/9
Draw; 6; 5; 29/5; 5; 5; 5; 11/2; 5; 53/10; 11/2; 51/10; 6; 5; 91/17; 21/5; ; ; ; ; 
Swansea; 14; 12; 12; 31/2; 14; 16; 14; 21/2; 14; 14; 12; 12; 27/2; 14; 23/2; 10; 18; 16; 27/2; 66/5
META; english/premier-league/man-utd-v-swansea; 2018-03-15 13:06:22 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 23/00; 1/8; 2/11; 1/8; 1/5; 1/5; 2/9; 2/9; 2/11; 1/5; 1/5; 3/16; 1/5; 1/5; 1/5; 1/5; 2/9
Draw; 6; 5; 5; 5; 5; 11/2; 5; 53/10; 11/2; 51/10; 6; 5; 91/17; 21/5; ; ; ; ; ; 
Swansea; 14; 12; 12; 16; 14; 16; 14; 21/2; 14; 14; 12; 12; 27/2; 14; 23/2; 10; 18; 16; 27/2; 66/5
META; english/premier-league/man-utd-v-swansea; 2018-03-15 20:14:07 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 23/100; 1/8; 2/11; 1/8; 1/5; 1/5; 2/9; 2/9; 2/11; 3/16; 1/5; 3/16; 1/5; 1/5; 1/5; 3/16; 2/9
Draw; 6; 5; 5; 5; 5; 11/2; 5; 91/17; 11/2; 51/10; 6; 5; 27/5; 21/5; ; ; ; ; ; 
Swansea; 14; 12; 12; 16; 14; 16; 14; 21/2; 14; 14; 12; 12; 55/4; 14; 23/2; 10; 18; 16; 14; 66/5
META; english/premier-league/man-utd-v-swansea; 2018-03-16 10:14:57 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 23/100; 1/8; 2/11; 1/8; 1/5; 1/5; 2/9; 2/9; 2/11; 3/14; 1/5; 3/16; 1/5; 1/5; 1/5; 3/14; 2/9
Draw; 6; 19/4; 5; 5; 5; 5; 11/2; 5; 60/11; 11/2; 51/10; 6; 5; 11/2; 21/5; ; ; ; ; 
Swansea; 14; 12; 12; 16; 14; 16; 14; 21/2; 14; 14; 12; 12; 45/4; 14; 23/2; 10; 18; 16; 45/4; 64/5
META; english/premier-league/man-utd-v-swansea; 2018-03-16 16:17:39 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 23/100; 1/8; 2/11; 1/8; 1/5; 1/5; 2/9; 2/9; 2/11; 3/14; 1/5; 3/16; 1/5; 1/5; 1/5; 3/14; 2/9
Draw; 6; 19/4; 5; 5; 5; 5; 11/2; 5; 60/11; 11/2; 51/10; 6; 5; 11/2; 9/2; ; ; ; ; 
Swansea; 14; 12; 12; 16; 14; 16; 14; 21/2; 14; 14; 12; 12; 45/4; 14; 23/2; 10; 18; 16; 45/4; 64/5
META; english/premier-league/man-utd-v-swansea; 2018-03-17 12:14:05 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 23/100; 1/8; 2/11; 1/8; 1/5; 1/5; 2/9; 2/9; 2/11; 1/5; 3/16; 1/5; 1/5; 1/5; 3/16; 2/9; 
Draw; 6; 19/4; 5; 5; 5; 5; 11/2; 5; 11/2; 51/10; 6; 5; 91/17; 21/5; ; ; ; ; ; 
Swansea; 14; 14; 12; 16; 14; 16; 14; 21/2; 14; 14; 12; 12; 55/4; 14; 23/2; 10; 18; 16; 57/4; 64/5
META; english/premier-league/man-utd-v-swansea; 2018-03-18 14:13:34 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 6/25; 1/8; 1/5; 1/8; 1/5; 1/5; 2/9; 2/9; 1/5; 3/16; 1/5; 3/16; 1/5; 2/9; 1/5; 3/16; 1/5
Draw; 6; 5; 29/5; 5; 11/2; 5; 5; 11/2; 5; 53/10; 23/4; 51/10; 6; 11/2; 5; 91/17; 6; ; ; 
Swansea; 14; 12; 12; 31/2; 14; 16; 14; 21/2; 14; 14; 12; 12; 57/4; 27/2; 23/2; 10; 18; 16; 57/4; 16
META; english/premier-league/man-utd-v-swansea; 2018-03-19 08:12:43 GMT+2; 2018-03-31 15:00; e70300-dr003
Man Utd; 1/6; 2/9; 2/9; 2/9; 6/25; 1/7; 1/5; 1/7; 1/5; 1/5; 1/5; 2/9; 2/9; 2/9; 1/5; 3/16; 1/5; 3/16; 1/5; 2/9; 1/5; 3/16; 2/9; 1/5
Draw; 6; 5; 28/5; 5; 11/2; 5; 5; 11/2; 11/2; 5; 26/5; 23/4; 51/10; 6; 11/2; 5; 21/4; 6; 21/5; ; ; ; ; 
Swansea; 14; 12; 16; 12; 33/2; 13; 16; 13; 21/2; 16; 14; 14; 14; 12; 12; 15; 27/2; 23/2; 10; 18; 16; 15; 83/5; 
META; english/premier-league/man-utd-v-swansea; 2018-03-20 08:13:00 GMT+2; 2018-03-31 15:00; e70300-dr003
