META; english/premier-league/liverpool-v-tottenham; 2018-01-22 12:12:47 GMT+2; 2018-02-04 16:30; e70300-dr003
Liverpool; 19/20; 1; ; ; 103/ 100; 1; 21/20; 1; 1; ; ; 1; ; ; 21/20; 21/20; 1; 1; 1; 28/29; 1; 21/20; 1; 1; 1; ; ; 
Draw; 13/5; 13/5; ; ; 14/5; 29/10; 13/5; 11/4; 13/5; ; ; 11/4; ; ; 13/5; 14/5; 12/5; 13/5; 12/5; 11/4; 13/5; 11/4; 14/5; 53/20; 45/17; ; ; 
Tottenham; 13/5; 12/5; ; ; 143/ 50; 11/4; 5/2; 13/5; 13/5; ; ; 12/5; ; ; 5/2; 13/5; 29/10; 5/2; 29/10; 9/4; 13/5; 13/5; 11/4; 51/20; 5/2; ; ; 
META; english/premier-league/liverpool-v-tottenham; 2018-01-23 02:12:20 GMT+2; 2018-02-04 16:30; e70300-dr003
Liverpool; 19/20; 19/20; ; 1; 53/50; 21/20; 1; 1; 1; ; ; 1; ; 1; 21/20; 1; 1; 1; 1; 28/29; 1; 21/20; 1; 1; 1; ; ; 
Draw; 13/5; 11/4; ; 11/4; 139/ 50; 11/4; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 13/5; 14/5; 12/5; 13/5; 12/5; 11/4; 13/5; 11/4; 11/4; 53/20; 13/5; ; ; 
Tottenham; 13/5; 5/2; ; 12/5; 139/ 50; 11/4; 13/5; 13/5; 13/5; ; ; 5/2; ; 5/2; 5/2; 13/5; 29/10; 28/11; 29/10; 9/4; 13/5; 13/5; 11/4; 51/20; 13/5; ; ; 
META; english/premier-league/liverpool-v-tottenham; 2018-01-23 17:18:26 GMT+2; 2018-02-04 16:30; e70300-dr003
Liverpool; 19/20; 19/20; ; 1; 53/50; 1; 1; 1; 1; ; ; 1; ; 1; 21/20; 1; 1; 1; 1; 28/29; 1; 21/20; 1; 1; 1; ; ; 
Draw; 13/5; 11/4; ; 11/4; 139/ 50; 13/5; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 13/5; 13/5; 12/5; 13/5; 12/5; 11/4; 13/5; 11/4; 11/4; 53/20; 13/5; ; ; 
Tottenham; 13/5; 5/2; ; 12/5; 139/ 50; 27/10; 13/5; 13/5; 13/5; ; ; 5/2; ; 5/2; 5/2; 5/2; 29/10; 28/11; 29/10; 9/4; 13/5; 13/5; 11/4; 51/20; 13/5; ; ; 
META; english/premier-league/liverpool-v-tottenham; 2018-01-24 12:13:50 GMT+2; 2018-02-04 16:30; e70300-dr003
Liverpool; 19/20; 19/20; ; 1; 53/50; 1; 1; 1; 1; ; ; 1; ; 1; 21/20; 1; 1; 1; 1; 28/29; 1; 21/20; 1; 1; 1; ; ; ; 
Draw; 13/5; 11/4; ; 11/4; 139/ 50; 13/5; 13/5; 13/5; 13/5; ; ; 13/5; ; 27/10; 13/5; 13/5; 12/5; 13/5; 12/5; 11/4; 13/5; 11/4; 11/4; 53/20; 13/5; ; ; ; 
Tottenham; 13/5; 5/2; ; 12/5; 139/ 50; 27/10; 13/5; 13/5; 13/5; ; ; 5/2; ; 5/2; 5/2; 5/2; 29/10; 28/11; 29/10; 9/4; 13/5; 13/5; 11/4; 51/20; 13/5; ; ; ; 
META; english/premier-league/liverpool-v-tottenham; 2018-01-30 12:15:16 GMT+2; 2018-02-04 16:30; e70300-dr003
Liverpool; 19/20; 19/20; 1; 1; 53/50; 1; 1; 1; 1; 19/20; 1; 1; ; 21/20; 21/20; 19/20; 1; ; 1; 68/67; 1; 21/20; 1; 1; ; ; 20/21; ; 
Draw; 13/5; 11/4; 13/5; 11/4; 11/4; 11/4; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; ; 27/10; 13/5; 13/5; 12/5; ; 12/5; 14/5; 13/5; 11/4; 14/5; 53/20; 13/5; ; 11/5; ; 
Tottenham; 13/5; 5/2; 5/2; 12/5; 14/5; 13/5; 13/5; 13/5; 45/17; 5/2; 5/2; 5/2; ; 49/20; 5/2; 12/5; 29/10; 28/11; 29/10; 13/5; 45/17; 13/5; 27/10; 51/20; 28/11; ; 13/5; ; 
