META; english/premier-league/huddersfield-v-man-utd; 2017-10-18 11:59:15 GMT+3; 2017-10-21 15:00; e70300-dr003
Man Utd; 3/10; 1/3; 1/3; 3/10; 1/3; 1/3; 1/3; 3/10; 6/19; 1/3; 1/3; 1/3; 1/3; 1/3; 1/3; 3/10; 3/10; 6/19; 9/25; 10/29; 6/19; 1/3; 1/3; 3/10; 1/3; ; 3/10; 3/10; 1/3
Draw; 4; 18/5; 15/4; 4; 4; 21/5; 4; 4; 17/4; 15/4; 7/2; 15/4; 18/5; 4; 4; 15/4; 4; 41/10; 43/10; 41/10; 21/5; 4; 4; 15/4; 54/13; ; 21/5; 4; 21/5
Huddersfield; 9; 9; 10; 10; 10; 9; 9; 11; 19/2; 10; 10; 9; 10; 11; 9; 17/2; 17/2; 10; 10; 9; 9; 9; 10; 11; 10; ; 54/5; 51/5; 52/5
