META; english/premier-league/brighton-v-west-ham; 2018-01-22 12:12:32 GMT+2; 2018-02-03 15:00; e70300-dr003
Brighton; 29/20; 6/4; ; ; 167/ 100; 31/20; 6/4; 6/4; 23/17; ; ; 31/20; ; ; 8/5; 8/5; 16/11; 16/11; 16/11; 23/17; 23/17; 8/5; 13/8; 31/20; 16/11; 5/4; ; 
Draw; 2; 11/5; ; ; 85/40; 11/5; 21/10; 21/10; 21/10; ; ; 21/10; ; ; 21/10; 21/10; 21/10; 39/19; 21/10; 11/5; 21/10; 85/40; 85/40; 2; 39/19; 19/10; ; 
West Ham; 21/10; 19/10; ; ; 85/40; 11/5; 2; 21/10; 9/4; ; ; 19/10; ; ; 19/10; 2; 21/10; 2; 21/10; 31/16; 9/4; 2; 2; 39/20; 39/19; 19/10; ; 
META; english/premier-league/brighton-v-west-ham; 2018-01-23 02:12:05 GMT+2; 2018-02-03 15:00; e70300-dr003
Brighton; 29/20; 7/5; ; 8/5; 159/ 100; 31/20; 6/4; 6/4; 23/17; ; ; 6/4; ; 6/4; 8/5; 6/4; 16/11; 16/11; 16/11; 23/17; 23/17; 6/4; 31/20; 31/20; 16/11; 5/4; ; 
Draw; 2; 11/5; ; 2; 107/ 50; 11/5; 21/10; 21/10; 21/10; ; ; 19/10; ; 41/20; 21/10; 21/10; 21/10; 2; 21/10; 28/13; 21/10; 2; 85/40; 2; 39/19; 19/10; ; 
West Ham; 21/10; 2; ; 19/10; 111/ 50; 11/5; 21/10; 21/10; 9/4; ; ; 21/10; ; 21/10; 19/10; 21/10; 21/10; 39/19; 21/10; 31/16; 9/4; 85/40; 85/40; 2; 21/10; 19/10; ; 
META; english/premier-league/brighton-v-west-ham; 2018-01-23 17:18:10 GMT+2; 2018-02-03 15:00; e70300-dr003
Brighton; 29/20; 7/5; ; 8/5; 159/ 100; 6/4; 6/4; 6/4; 23/17; ; ; 6/4; ; 6/4; 8/5; 6/4; 16/11; 16/11; 16/11; 23/17; 23/17; 6/4; 31/20; 31/20; 16/11; 5/4; ; 
Draw; 2; 11/5; ; 2; 107/ 50; 21/10; 21/10; 21/10; 21/10; ; ; 19/10; ; 41/20; 21/10; 2; 21/10; 2; 21/10; 28/13; 21/10; 2; 85/40; 2; 39/19; 19/10; ; 
West Ham; 21/10; 2; ; 19/10; 111/ 50; 21/10; 21/10; 21/10; 9/4; ; ; 21/10; ; 21/10; 19/10; 2; 21/10; 39/19; 21/10; 31/16; 9/4; 85/40; 85/40; 2; 21/10; 19/10; ; 
META; english/premier-league/brighton-v-west-ham; 2018-01-24 12:13:34 GMT+2; 2018-02-03 15:00; e70300-dr003
Brighton; 29/20; 7/5; ; 8/5; 8/5; 6/4; 6/4; 6/4; 23/17; ; ; 6/4; ; 6/4; 8/5; 6/4; 16/11; 16/11; 16/11; 23/17; 23/17; 6/4; 31/20; 31/20; 16/11; ; 5/4; ; 
Draw; 2; 11/5; ; 2; 85/40; 21/10; 2; 21/10; 21/10; ; ; 19/10; ; 41/20; 21/10; 2; 21/10; 2; 21/10; 28/13; 21/10; 2; 85/40; 2; 39/19; ; 19/10; ; 
West Ham; 21/10; 2; ; 19/10; 111/ 50; 21/10; 21/10; 21/10; 9/4; ; ; 21/10; ; 21/10; 19/10; 2; 21/10; 39/19; 21/10; 31/16; 9/4; 85/40; 85/40; 2; 21/10; ; 19/10; ; 
META; english/premier-league/brighton-v-west-ham; 2018-01-30 12:15:00 GMT+2; 2018-02-03 15:00; e70300-dr003
Brighton; 13/10; 13/10; 13/10; 13/10; 71/50; 7/5; 11/8; 11/8; 13/10; 13/10; 6/4; 13/10; ; 7/5; 7/5; 13/10; 13/10; ; 13/10; 4/3; 13/10; 13/10; 11/8; 13/10; 23/17; ; 11/8; ; 
Draw; 2; 2; 2; 2; 52/25; 21/10; ; 2; 2; 2; 2; 2; ; ; 2; 19/10; 21/10; 2; 21/10; 39/19; 2; 2; 21/10; 2; 39/19; ; ; ; 
West Ham; 12/5; 12/5; 23/10; 12/5; 13/5; 12/5; 12/5; 23/10; 28/11; 12/5; 21/10; 12/5; ; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 5/2; 28/11; 5/2; 5/2; 49/20; 27/11; ; 23/10; ; 
