META; english/premier-league/bournemouth-v-southampton; 2017-12-01 18:21:41 GMT+2; 2017-12-03 13:30; e70300-dr003
Southampton; 6/4; 6/4; 7/5; 8/5; 17/11; 8/5; 8/5; 6/4; 17/11; 29/20; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 16/11; 153/100; 13/9; 6/4; 6/4; 6/4; 29/20; 16/11; ; 6/4; 6/4; 6/4
Bournemouth; 21/10; 19/10; 2; 2; 37/19; 2; 19/10; 15/8; 28/13; 2; 15/8; 21/10; 9/5; 41/20; 21/10; 2; 37/19; 39/19; 85/40; 21/10; 21/10; 2; 85/40; 2; 21/10; ; 2; 2; 21/10
Draw; 9/4; 11/5; 21/10; 21/10; 21/10; 23/10; 11/5; 23/10; 11/5; 21/10; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 21/10; 9/4; 117/50; 11/5; 28/13; 9/4; 23/10; 9/4; 9/4; ; 21/10; 21/10; 9/4
