META; english/premier-league/chelsea-v-everton; 2017-06-26 14:24:05 GMT+3; 2017-08-26 15:00; e70300-dr003
Chelsea; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-everton; 2017-06-26 14:29:04 GMT+3; 2017-08-26 15:00; e70300-dr003
Chelsea; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-everton; 2017-07-21 16:26:24 GMT+3; 2017-08-26 15:00; e70300-dr003
Chelsea; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-everton; 2017-07-24 13:28:06 GMT+3; 2017-08-26 15:00; e70300-dr003
Chelsea; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-everton; 2017-07-27 14:43:29 GMT+3; 2017-08-26 15:00; e70300-dr003
Chelsea; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-everton; 2017-07-31 11:58:28 GMT+3; 2017-08-26 15:00; e70300-dr003
Chelsea; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-everton; 2017-08-02 12:29:20 GMT+3; 2017-08-26 15:00; e70300-dr003
Chelsea; ; ; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; 1/2; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; ; 
Everton; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-everton; 2017-08-15 20:15:29 GMT+3; 2017-08-26 15:00; e70300-dr003
Chelsea; ; ; ; ; ; 9/20; ; 4/9; ; ; ; ; 12/25; 4/9; ; ; 1/2; ; 1/2; ; ; ; ; 1/2; ; ; ; ; 
Draw; ; ; ; ; ; 3; ; 14/5; ; ; ; ; 3; 14/5; ; ; 3; ; 3; ; ; ; ; 3; ; ; ; ; 
Everton; ; ; ; ; ; 6; ; 6; ; ; ; ; 13/2; 6; ; ; 11/2; ; 59/10; ; ; ; ; 13/2; ; ; ; ; 
META; english/premier-league/chelsea-v-everton; 2017-08-16 20:02:01 GMT+3; 2017-08-26 15:00; e70300-dr003
Chelsea; ; ; ; ; ; 9/20; ; 4/9; ; ; ; ; 12/25; 4/9; ; ; 1/2; ; 1/2; ; ; ; ; 1/2; ; ; ; ; 
Draw; ; ; ; ; ; 3; ; 10/3; ; ; ; ; 3; 10/3; ; ; 3; ; 3; ; ; ; ; 3; ; ; ; ; 
Everton; ; ; ; ; ; 6; ; 7; ; ; ; ; 13/2; 7; ; ; 11/2; ; 59/10; ; ; ; ; 13/2; ; ; ; ; 
META; english/premier-league/chelsea-v-everton; 2017-08-25 20:12:46 GMT+3; 2017-08-27 13:30; e70300-dr003
Chelsea; 9/20; 4/9; 40/85; 4/9; 4/9; 4/9; 9/20; 4/9; 7/15; 4/9; 4/9; 4/9; 21/50; 40/85; 4/9; 4/9; 5/12; 4/9; 5/11; 47/100; 6/13; 4/9; 4/9; 4/9; 4/9; ; ; ; 4/9
Draw; 7/2; 7/2; 10/3; 16/5; 7/2; 7/2; 7/2; 7/2; 39/11; 16/5; 13/4; 7/2; 7/2; 18/5; 7/2; 7/2; 18/5; 7/2; 57/17; 18/5; 7/2; 7/2; 10/3; 7/2; 10/3; ; ; ; 7/2
Everton; 15/2; 6; 7; 7; 7; 13/2; 7; 7; 29/4; 7; 7; 7; 15/2; 15/2; 15/2; 7; 7; 7; 7; 15/2; 13/2; 7; 13/2; 13/2; 13/2; ; ; ; 34/5
